GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1970,A43AB1970,B37AA1970,B37AB1970,B39AA1970,B39AB1970
"G0101230","1970","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",10458,1755,6764,3694,1026,1386
"G0101250","1970","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",32916,2602,19965,12951,3276,4082
"G0101270","1970","Alabama","01","010","Walker County","127","1270","Walker",17697,1707,13069,4628,948,484
"G0101290","1970","Alabama","01","010","Washington County","129","1290","Washington",4346,333,3423,923,758,329
"G0101310","1970","Alabama","01","010","Wilcox County","131","1310","Wilcox",4211,504,2435,1776,1066,1408
"G0101330","1970","Alabama","01","010","Winston County","133","1330","Winston",5378,663,3983,1395,19,15
"G0200100","1970","Alaska","02","020","Aleutian Islands","010","0100","Aleutian Islands",1225,107,289,936,0,16
"G0200200","1970","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage",34988,2662,16961,18027,333,1016
"G0200300","1970","Alaska","02","020","Angoon","030","0300","Angoon",134,51,78,56,0,0
"G0200400","1970","Alaska","02","020","Barrow","040","0400","Barrow",463,36,321,142,0,1
"G0200500","1970","Alaska","02","020","Bethel Census Area","050","0500","Bethel",1435,272,1101,334,1,3
"G0200600","1970","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",192,22,81,111,0,0
"G0200620","1970","Alaska","02","020","Bristol Bay Division","062","0620","Bristol Bay Division",724,227,529,195,0,2
"G0200800","1970","Alaska","02","020","Cordova-McCarthy","080","0800","Cordova-Mc Carthy",591,352,325,266,0,0
"G0200900","1970","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks",11590,930,4619,6971,155,385
"G0201000","1970","Alaska","02","020","Haines Borough","100","1000","Haines",424,91,253,171,0,0
"G0201100","1970","Alaska","02","020","Juneau City and Borough","110","1100","Juneau",4223,306,2111,2112,12,23
"G0201200","1970","Alaska","02","020","Kenai-Cook Inlet","120","1200","Kenai-Cook Inlet",3889,988,2553,1336,5,17
"G0201300","1970","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan",3006,259,1513,1493,4,8
"G0201400","1970","Alaska","02","020","Kobuk","140","1400","Kobuk",814,176,551,263,0,0
"G0201500","1970","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak",2384,155,860,1524,6,38
"G0201600","1970","Alaska","02","020","Kuskokwim","160","1600","Kuskokwim",463,64,310,153,0,1
"G0201700","1970","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna",1841,2380,1313,528,1,2
"G0201800","1970","Alaska","02","020","Nome Census Area","180","1800","Nome",1209,491,729,480,1,4
"G0201900","1970","Alaska","02","020","Outer Ketchikan","190","1900","Outer Ketchikan",391,7,185,206,0,2
"G0202000","1970","Alaska","02","020","Prince Of Wales","200","2000","Prince Of Wales",560,49,243,317,0,1
"G0202100","1970","Alaska","02","020","Seward","210","2100","Seward",722,470,454,268,1,0
"G0202200","1970","Alaska","02","020","Sitka City and Borough","220","2200","Sitka",1767,148,837,930,1,10
"G0202300","1970","Alaska","02","020","Skagway Municipality","230","2300","Skagway-Yakutat",607,108,337,270,0,0
"G0202400","1970","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks",1027,298,379,648,4,36
"G0202500","1970","Alaska","02","020","Upper Yukon","250","2500","Upper Yukon",338,145,241,97,0,0
"G0202600","1970","Alaska","02","020","Valdez-Chitina-Whittier","260","2600","Valdez-Chitina-Whittier",921,521,540,381,1,3
"G0202700","1970","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton",643,47,571,72,0,1
"G0202800","1970","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg",1473,146,873,600,0,0
"G0202900","1970","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk",1015,162,590,425,5,3
"G0400010","1970","Arizona","04","040","Apache County","001","0010","Apache",6832,2202,4071,2761,19,101
"G0400030","1970","Arizona","04","040","Cochise County","003","0030","Cochise",17878,1608,10863,7015,142,282
"G0400050","1970","Arizona","04","040","Coconino County","005","0050","Coconino",12474,2334,6900,5574,113,218
"G0400070","1970","Arizona","04","040","Gila County","007","0070","Gila",8806,2325,6285,2521,15,13
"G0400090","1970","Arizona","04","040","Graham County","009","0090","Graham",4325,543,2953,1372,23,57
"G0400110","1970","Arizona","04","040","Greenlee County","011","0110","Greenlee",3022,510,1332,1690,3,5
"G0400130","1970","Arizona","04","040","Maricopa County","013","0130","Maricopa",302633,16081,200716,101917,4587,4513
"G0400150","1970","Arizona","04","040","Mohave County","015","0150","Mohave",8626,1924,6287,2339,7,0
"G0400170","1970","Arizona","04","040","Navajo County","017","0170","Navajo",11278,2626,7226,4052,111,102
