GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1980,A43AB1980,B37AA1980,B37AB1980,B39AA1980,B39AB1980
"G0100010","1980","Alabama","01","010","Autauga County","001","0010","AUTAUGA COUNTY",10197,766,8136,2061,1392,562
"G0100030","1980","Alabama","01","010","Baldwin County","003","0030","BALDWIN COUNTY",26775,6502,21285,5490,2315,801
"G0100050","1980","Alabama","01","010","Barbour County","005","0050","BARBOUR COUNTY",8375,950,6049,2326,2034,1195
"G0100070","1980","Alabama","01","010","Bibb County","007","0070","BIBB COUNTY",5167,592,3934,1233,591,392
"G0100090","1980","Alabama","01","010","Blount County","009","0090","BLOUNT COUNTY",12682,1164,10308,2374,123,38
"G0100110","1980","Alabama","01","010","Bullock County","011","0110","BULLOCK COUNTY",3455,440,2507,948,1424,699
"G0100130","1980","Alabama","01","010","Butler County","013","0130","BUTLER COUNTY",7471,646,5315,2156,1367,1032
"G0100150","1980","Alabama","01","010","Calhoun County","015","0150","CALHOUN COUNTY",39651,2931,27522,12129,3148,2862
"G0100170","1980","Alabama","01","010","Chambers County","017","0170","CHAMBERS COUNTY",13520,908,10102,3418,0,0
"G0100190","1980","Alabama","01","010","Cherokee County","019","0190","CHEROKEE COUNTY",6505,1692,5065,1440,308,65
"G0100210","1980","Alabama","01","010","Chilton County","021","0210","CHILTON COUNTY",10742,2127,8588,2154,0,0
"G0100230","1980","Alabama","01","010","Choctaw County","023","0230","CHOCTAW COUNTY",5405,679,4474,931,0,0
"G0100250","1980","Alabama","01","010","Clarke County","025","0250","CLARKE COUNTY",8916,1103,7031,1885,2347,866
"G0100270","1980","Alabama","01","010","Clay County","027","0270","CLAY COUNTY",4767,561,3604,1163,363,207
"G0100290","1980","Alabama","01","010","Cleburne County","029","0290","CLEBURNE COUNTY",4373,425,3439,934,0,0
"G0100310","1980","Alabama","01","010","Coffee County","031","0310","COFFEE COUNTY",13430,1152,9799,3631,1160,773
"G0100330","1980","Alabama","01","010","Colbert County","033","0330","COLBERT COUNTY",19181,1615,14720,4461,1850,954
"G0100350","1980","Alabama","01","010","Conecuh County","035","0350","CONECUH COUNTY",5456,544,4313,1143,0,0
