GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1920,A08AA1920,A08AB1920
"G0400010","1920","Arizona","04","040","Apache County","001","0010","Apache",13196,7116,6080
"G0400030","1920","Arizona","04","040","Cochise County","003","0030","Cochise",46465,25817,20648
"G0400050","1920","Arizona","04","040","Coconino County","005","0050","Coconino",9982,5289,4693
"G0400070","1920","Arizona","04","040","Gila County","007","0070","Gila",25678,14296,11382
"G0400090","1920","Arizona","04","040","Graham County","009","0090","Graham",10148,5351,4797
"G0400110","1920","Arizona","04","040","Greenlee County","011","0110","Greenlee",15362,8124,7238
"G0400130","1920","Arizona","04","040","Maricopa County","013","0130","Maricopa",89576,47919,41657
"G0400150","1920","Arizona","04","040","Mohave County","015","0150","Mohave",5259,3063,2196
"G0400170","1920","Arizona","04","040","Navajo County","017","0170","Navajo",16077,8554,7523
"G0400190","1920","Arizona","04","040","Pima County","019","0190","Pima",34680,18218,16462
"G0400210","1920","Arizona","04","040","Pinal County","021","0210","Pinal",16130,9142,6988
"G0400230","1920","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz",12689,7722,4967
"G0400250","1920","Arizona","04","040","Yavapai County","025","0250","Yavapai",24016,14353,9663
"G0400270","1920","Arizona","04","040","Yuma County","027","0270","Yuma",14904,8638,6266
"G0500010","1920","Arkansas","05","050","Arkansas County","001","0010","Arkansas",21483,11365,10118
"G0500030","1920","Arkansas","05","050","Ashley County","003","0030","Ashley",23410,11957,11453
"G0500050","1920","Arkansas","05","050","Baxter County","005","0050","Baxter",10216,5246,4970
"G0500070","1920","Arkansas","05","050","Benton County","007","0070","Benton",36253,18261,17992
"G0500090","1920","Arkansas","05","050","Boone County","009","0090","Boone",16098,8158,7940
"G0500110","1920","Arkansas","05","050","Bradley County","011","0110","Bradley",15970,8164,7806
"G0500130","1920","Arkansas","05","050","Calhoun County","013","0130","Calhoun",11807,6074,5733
"G0500150","1920","Arkansas","05","050","Carroll County","015","0150","Carroll",17786,9058,8728
"G0500170","1920","Arkansas","05","050","Chicot County","017","0170","Chicot",21749,10994,10755
"G0500190","1920","Arkansas","05","050","Clark County","019","0190","Clark",25632,12892,12740
"G0500210","1920","Arkansas","05","050","Clay County","021","0210","Clay",27276,14088,13188
"G0500230","1920","Arkansas","05","050","Cleburne County","023","0230","Cleburne",12696,6564,6132
"G0500250","1920","Arkansas","05","050","Cleveland County","025","0250","Cleveland",12260,6273,5987
"G0500270","1920","Arkansas","05","050","Columbia County","027","0270","Columbia",27670,13851,13819
"G0500290","1920","Arkansas","05","050","Conway County","029","0290","Conway",22578,11336,11242
"G0500310","1920","Arkansas","05","050","Craighead County","031","0310","Craighead",37541,19349,18192
"G0500330","1920","Arkansas","05","050","Crawford County","033","0330","Crawford",25739,12924,12815
"G0500350","1920","Arkansas","05","050","Crittenden County","035","0350","Crittenden",29309,15283,14026
"G0500370","1920","Arkansas","05","050","Cross County","037","0370","Cross",18579,9653,8926
"G0500390","1920","Arkansas","05","050","Dallas County","039","0390","Dallas",14424,7261,7163
"G0500410","1920","Arkansas","05","050","Desha County","041","0410","Desha",20297,10491,9806
"G0500430","1920","Arkansas","05","050","Drew County","043","0430","Drew",21822,11024,10798
"G0500450","1920","Arkansas","05","050","Faulkner County","045","0450","Faulkner",27681,14014,13667
"G0500470","1920","Arkansas","05","050","Franklin County","047","0470","Franklin",19364,9779,9585
"G0500490","1920","Arkansas","05","050","Fulton County","049","0490","Fulton",11182,5712,5470
"G0500510","1920","Arkansas","05","050","Garland County","051","0510","Garland",25785,12910,12875
"G0500530","1920","Arkansas","05","050","Grant County","053","0530","Grant",10710,5600,5110
"G0500550","1920","Arkansas","05","050","Greene County","055","0550","Greene",26105,13309,12796
"G0500570","1920","Arkansas","05","050","Hempstead County","057","0570","Hempstead",31602,15933,15669
"G0500590","1920","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring",17784,9120,8664
"G0500610","1920","Arkansas","05","050","Howard County","061","0610","Howard",18565,9392,9173
"G0500630","1920","Arkansas","05","050","Independence County","063","0630","Independence",23976,12161,11815
"G0500650","1920","Arkansas","05","050","Izard County","065","0650","Izard",13871,7061,6810
"G0500670","1920","Arkansas","05","050","Jackson County","067","0670","Jackson",25446,13206,12240
"G0500690","1920","Arkansas","05","050","Jefferson County","069","0690","Jefferson",60330,30137,30193
"G0500710","1920","Arkansas","05","050","Johnson County","071","0710","Johnson",21062,10758,10304
"G0500730","1920","Arkansas","05","050","Lafayette County","073","0730","Lafayette",15522,7848,7674
"G0500750","1920","Arkansas","05","050","Lawrence County","075","0750","Lawrence",22098,11347,10751
"G0500770","1920","Arkansas","05","050","Lee County","077","0770","Lee",28852,14605,14247
"G0500790","1920","Arkansas","05","050","Lincoln County","079","0790","Lincoln",18774,9701,9073
