GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1910,A08AA1910,A08AB1910
"G0100010","1910","Alabama","01","010","Autauga County","001","0010","Autauga",20038,9889,10149
"G0100030","1910","Alabama","01","010","Baldwin County","003","0030","Baldwin",18178,9561,8617
"G0100050","1910","Alabama","01","010","Barbour County","005","0050","Barbour",32728,15886,16842
"G0100070","1910","Alabama","01","010","Bibb County","007","0070","Bibb",22791,12103,10688
"G0100090","1910","Alabama","01","010","Blount County","009","0090","Blount",21456,10954,10502
"G0100110","1910","Alabama","01","010","Bullock County","011","0110","Bullock",30196,14718,15478
"G0100130","1910","Alabama","01","010","Butler County","013","0130","Butler",29030,14300,14730
"G0100150","1910","Alabama","01","010","Calhoun County","015","0150","Calhoun",39115,19389,19726
"G0100170","1910","Alabama","01","010","Chambers County","017","0170","Chambers",36056,17835,18221
"G0100190","1910","Alabama","01","010","Cherokee County","019","0190","Cherokee",20226,10284,9942
"G0100210","1910","Alabama","01","010","Chilton County","021","0210","Chilton",23187,11859,11328
"G0100230","1910","Alabama","01","010","Choctaw County","023","0230","Choctaw",18483,9189,9294
"G0100250","1910","Alabama","01","010","Clarke County","025","0250","Clarke",30987,15683,15304
"G0100270","1910","Alabama","01","010","Clay County","027","0270","Clay",21006,10585,10421
"G0100290","1910","Alabama","01","010","Cleburne County","029","0290","Cleburne",13385,6718,6667
"G0100310","1910","Alabama","01","010","Coffee County","031","0310","Coffee",26119,13345,12774
"G0100330","1910","Alabama","01","010","Colbert County","033","0330","Colbert",24802,12530,12272
"G0100350","1910","Alabama","01","010","Conecuh County","035","0350","Conecuh",21433,10822,10611
"G0100370","1910","Alabama","01","010","Coosa County","037","0370","Coosa",16634,8348,8286
"G0100390","1910","Alabama","01","010","Covington County","039","0390","Covington",32124,16860,15264
"G0100410","1910","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",23313,11706,11607
"G0100430","1910","Alabama","01","010","Cullman County","043","0430","Cullman",28321,14458,13863
"G0100450","1910","Alabama","01","010","Dale County","045","0450","Dale",21608,10821,10787
"G0100470","1910","Alabama","01","010","Dallas County","047","0470","Dallas",53401,25697,27704
"G0100490","1910","Alabama","01","010","DeKalb County","049","0490","Dekalb",28261,14278,13983
"G0100510","1910","Alabama","01","010","Elmore County","051","0510","Elmore",28245,14302,13943
"G0100530","1910","Alabama","01","010","Escambia County","053","0530","Escambia",18889,9665,9224
"G0100550","1910","Alabama","01","010","Etowah County","055","0550","Etowah",39109,20171,18938
"G0100570","1910","Alabama","01","010","Fayette County","057","0570","Fayette",16248,8245,8003
"G0100590","1910","Alabama","01","010","Franklin County","059","0590","Franklin",19369,9888,9481
"G0100610","1910","Alabama","01","010","Geneva County","061","0610","Geneva",26230,13416,12814
"G0100630","1910","Alabama","01","010","Greene County","063","0630","Greene",22717,10887,11830
"G0100650","1910","Alabama","01","010","Hale County","065","0650","Hale",27883,13728,14155
"G0100670","1910","Alabama","01","010","Henry County","067","0670","Henry",20943,10491,10452
"G0100690","1910","Alabama","01","010","Houston County","069","0690","Houston",32414,16475,15939
"G0100710","1910","Alabama","01","010","Jackson County","071","0710","Jackson",32918,16692,16226
"G0100730","1910","Alabama","01","010","Jefferson County","073","0730","Jefferson",226476,117792,108684
"G0100750","1910","Alabama","01","010","Lamar County","075","0750","Lamar",17487,8814,8673
"G0100770","1910","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",30936,15446,15490
"G0100790","1910","Alabama","01","010","Lawrence County","079","0790","Lawrence",21984,11018,10966
"G0100810","1910","Alabama","01","010","Lee County","081","0810","Lee",32867,15828,17039
"G0100830","1910","Alabama","01","010","Limestone County","083","0830","Limestone",26880,13610,13270
"G0100850","1910","Alabama","01","010","Lowndes County","085","0850","Lowndes",31894,15574,16320
"G0100870","1910","Alabama","01","010","Macon County","087","0870","Macon",26049,12597,13452
"G0100890","1910","Alabama","01","010","Madison County","089","0890","Madison",47041,23282,23759
"G0100910","1910","Alabama","01","010","Marengo County","091","0910","Marengo",39923,19588,20335
"G0100930","1910","Alabama","01","010","Marion County","093","0930","Marion",17495,8871,8624
"G0100950","1910","Alabama","01","010","Marshall County","095","0950","Marshall",28553,14424,14129
"G0100970","1910","Alabama","01","010","Mobile County","097","0970","Mobile",80854,39306,41548
"G0100990","1910","Alabama","01","010","Monroe County","099","0990","Monroe",27155,13631,13524
"G0101010","1910","Alabama","01","010","Montgomery County","101","1010","Montgomery",82178,39598,42580
"G0101030","1910","Alabama","01","010","Morgan County","103","1030","Morgan",33781,17219,16562
"G0101050","1910","Alabama","01","010","Perry County","105","1050","Perry",31222,15291,15931
"G0101070","1910","Alabama","01","010","Pickens County","107","1070","Pickens",25055,12477,12578
"G0101090","1910","Alabama","01","010","Pike County","109","1090","Pike",30815,15359,15456
"G0101110","1910","Alabama","01","010","Randolph County","111","1110","Randolph",24659,12409,12250
"G0101130","1910","Alabama","01","010","Russell County","113","1130","Russell",25937,12570,13367
"G0101150","1910","Alabama","01","010","St. Clair County","115","1150","St Clair",20715,10699,10016
"G0101170","1910","Alabama","01","010","Shelby County","117","1170","Shelby",26949,13911,13038
"G0101190","1910","Alabama","01","010","Sumter County","119","1190","Sumter",28699,13908,14791
"G0101210","1910","Alabama","01","010","Talladega County","121","1210","Talladega",37921,18956,18965
"G0101230","1910","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",31034,15485,15549
"G0101250","1910","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",47559,24407,23152
"G0101270","1910","Alabama","01","010","Walker County","127","1270","Walker",37013,19416,17597
"G0101290","1910","Alabama","01","010","Washington County","129","1290","Washington",14454,7491,6963
"G0101310","1910","Alabama","01","010","Wilcox County","131","1310","Wilcox",33810,16839,16971
"G0101330","1910","Alabama","01","010","Winston County","133","1330","Winston",12855,6615,6240
"G0450015","1910","Arizona Territory",,"045","Apache County",,"0015","Apache",9196,4766,4430
"G0450035","1910","Arizona Territory",,"045","Cochise County",,"0035","Cochise",34591,20242,14349
"G0450055","1910","Arizona Territory",,"045","Coconino County",,"0055","Coconino",8130,5126,3004
"G0450075","1910","Arizona Territory",,"045","Gila County",,"0075","Gila",16348,10126,6222
"G0450095","1910","Arizona Territory",,"045","Graham County",,"0095","Graham",23999,13795,10204
"G0450135","1910","Arizona Territory",,"045","Maricopa County",,"0135","Maricopa",34488,19253,15235
