GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1900,A08AA1900,A08AB1900
"G0100010","1900","Alabama","01","010","Autauga County","001","0010","Autauga",17915,8852,9063
"G0100030","1900","Alabama","01","010","Baldwin County","003","0030","Baldwin",13194,6778,6416
"G0100050","1900","Alabama","01","010","Barbour County","005","0050","Barbour",35152,16931,18221
"G0100070","1900","Alabama","01","010","Bibb County","007","0070","Bibb",18498,9691,8807
"G0100090","1900","Alabama","01","010","Blount County","009","0090","Blount",23119,11741,11378
"G0100110","1900","Alabama","01","010","Bullock County","011","0110","Bullock",31944,15620,16324
"G0100130","1900","Alabama","01","010","Butler County","013","0130","Butler",25761,12803,12958
"G0100150","1900","Alabama","01","010","Calhoun County","015","0150","Calhoun",34874,17478,17396
"G0100170","1900","Alabama","01","010","Chambers County","017","0170","Chambers",32554,16132,16422
"G0100190","1900","Alabama","01","010","Cherokee County","019","0190","Cherokee",21096,10683,10413
"G0100210","1900","Alabama","01","010","Chilton County","021","0210","Chilton",16522,8442,8080
"G0100230","1900","Alabama","01","010","Choctaw County","023","0230","Choctaw",18136,9097,9039
"G0100250","1900","Alabama","01","010","Clarke County","025","0250","Clarke",27790,13982,13808
"G0100270","1900","Alabama","01","010","Clay County","027","0270","Clay",17099,8624,8475
"G0100290","1900","Alabama","01","010","Cleburne County","029","0290","Cleburne",13206,6650,6556
"G0100310","1900","Alabama","01","010","Coffee County","031","0310","Coffee",20972,10856,10116
"G0100330","1900","Alabama","01","010","Colbert County","033","0330","Colbert",22341,11144,11197
"G0100350","1900","Alabama","01","010","Conecuh County","035","0350","Conecuh",17514,8673,8841
"G0100370","1900","Alabama","01","010","Coosa County","037","0370","Coosa",16144,8122,8022
"G0100390","1900","Alabama","01","010","Covington County","039","0390","Covington",15346,8040,7306
"G0100410","1900","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",19668,9794,9874
"G0100430","1900","Alabama","01","010","Cullman County","043","0430","Cullman",17849,9098,8751
"G0100450","1900","Alabama","01","010","Dale County","045","0450","Dale",21189,10589,10600
"G0100470","1900","Alabama","01","010","Dallas County","047","0470","Dallas",54657,26245,28412
"G0100490","1900","Alabama","01","010","DeKalb County","049","0490","Dekalb",23558,11828,11730
"G0100510","1900","Alabama","01","010","Elmore County","051","0510","Elmore",26099,13233,12866
"G0100530","1900","Alabama","01","010","Escambia County","053","0530","Escambia",11320,5753,5567
"G0100550","1900","Alabama","01","010","Etowah County","055","0550","Etowah",27361,13858,13503
"G0100570","1900","Alabama","01","010","Fayette County","057","0570","Fayette",14132,7150,6982
"G0100590","1900","Alabama","01","010","Franklin County","059","0590","Franklin",16511,8559,7952
"G0100610","1900","Alabama","01","010","Geneva County","061","0610","Geneva",19096,9902,9194
"G0100630","1900","Alabama","01","010","Greene County","063","0630","Greene",24182,11659,12523
"G0100650","1900","Alabama","01","010","Hale County","065","0650","Hale",31011,15421,15590
"G0100670","1900","Alabama","01","010","Henry County","067","0670","Henry",36147,18300,17847
"G0100710","1900","Alabama","01","010","Jackson County","071","0710","Jackson",30508,15462,15046
"G0100730","1900","Alabama","01","010","Jefferson County","073","0730","Jefferson",140420,75082,65338
"G0100750","1900","Alabama","01","010","Lamar County","075","0750","Lamar",16084,8027,8057
"G0100770","1900","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",26559,13268,13291
"G0100790","1900","Alabama","01","010","Lawrence County","079","0790","Lawrence",20124,9938,10186
"G0100810","1900","Alabama","01","010","Lee County","081","0810","Lee",31826,15161,16665
"G0100830","1900","Alabama","01","010","Limestone County","083","0830","Limestone",22387,11273,11114
"G0100850","1900","Alabama","01","010","Lowndes County","085","0850","Lowndes",35651,17605,18046
"G0100870","1900","Alabama","01","010","Macon County","087","0870","Macon",23126,11361,11765
"G0100890","1900","Alabama","01","010","Madison County","089","0890","Madison",43702,21738,21964
"G0100910","1900","Alabama","01","010","Marengo County","091","0910","Marengo",38315,18829,19486
"G0100930","1900","Alabama","01","010","Marion County","093","0930","Marion",14494,7316,7178
"G0100950","1900","Alabama","01","010","Marshall County","095","0950","Marshall",23289,11878,11411
"G0100970","1900","Alabama","01","010","Mobile County","097","0970","Mobile",62740,30356,32384
"G0100990","1900","Alabama","01","010","Monroe County","099","0990","Monroe",23666,11862,11804
"G0101010","1900","Alabama","01","010","Montgomery County","101","1010","Montgomery",72047,34627,37420
"G0101030","1900","Alabama","01","010","Morgan County","103","1030","Morgan",28820,14497,14323
"G0101050","1900","Alabama","01","010","Perry County","105","1050","Perry",31783,15478,16305
"G0101070","1900","Alabama","01","010","Pickens County","107","1070","Pickens",24402,12058,12344
"G0101090","1900","Alabama","01","010","Pike County","109","1090","Pike",29172,14669,14503
"G0101110","1900","Alabama","01","010","Randolph County","111","1110","Randolph",21647,10798,10849
"G0101130","1900","Alabama","01","010","Russell County","113","1130","Russell",27083,13164,13919
"G0101150","1900","Alabama","01","010","St. Clair County","115","1150","St Clair",19425,9890,9535
"G0101170","1900","Alabama","01","010","Shelby County","117","1170","Shelby",23684,12138,11546
"G0101190","1900","Alabama","01","010","Sumter County","119","1190","Sumter",32710,15880,16830
"G0101210","1900","Alabama","01","010","Talladega County","121","1210","Talladega",35773,18067,17706
"G0101230","1900","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",29675,14861,14814
"G0101250","1900","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",36147,18463,17684
"G0101270","1900","Alabama","01","010","Walker County","127","1270","Walker",25162,13212,11950
"G0101290","1900","Alabama","01","010","Washington County","129","1290","Washington",11134,5810,5324
"G0101310","1900","Alabama","01","010","Wilcox County","131","1310","Wilcox",35631,17356,18275
"G0101330","1900","Alabama","01","010","Winston County","133","1330","Winston",9554,4912,4642
"G0250055","1900","Alaska Territory",,"025","Northern District",,"0055","Northern District",30569,23485,7084
"G0250095","1900","Alaska Territory",,"025","Southern District",,"0095","Southern District",33023,22387,10636
"G0450015","1900","Arizona Territory",,"045","Apache County",,"0015","Apache",8297,4344,3953
"G0450035","1900","Arizona Territory",,"045","Cochise County",,"0035","Cochise",9251,5911,3340
"G0450055","1900","Arizona Territory",,"045","Coconino County",,"0055","Coconino",5514,3582,1932
"G0450075","1900","Arizona Territory",,"045","Gila County",,"0075","Gila",4973,3041,1932
"G0450095","1900","Arizona Territory",,"045","Graham County",,"0095","Graham",14162,8310,5852
"G0450135","1900","Arizona Territory",,"045","Maricopa County",,"0135","Maricopa",20457,11167,9290
"G0450155","1900","Arizona Territory",,"045","Mohave County",,"0155","Mohave",3426,2134,1292
"G0450175","1900","Arizona Territory",,"045","Navajo County",,"0175","Navajo",8829,4841,3988
"G0450195","1900","Arizona Territory",,"045","Pima County",,"0195","Pima",14689,7881,6808
"G0450215","1900","Arizona Territory",,"045","Pinal County",,"0215","Pinal",7779,4533,3246
"G0450235","1900","Arizona Territory",,"045","Santa Cruz County",,"0235","Santa Cruz",4545,2454,2091
"G0450255","1900","Arizona Territory",,"045","Yavapai County",,"0255","Yavapai",13799,9504,4295
