GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1860,A08AA1860,A08AB1860
"G0100010","1860","Alabama","01","010","Autauga County","001","0010","Autauga",16739,8300,8439
"G0100030","1860","Alabama","01","010","Baldwin County","003","0030","Baldwin",7530,4438,3092
"G0100050","1860","Alabama","01","010","Barbour County","005","0050","Barbour",30812,15506,15306
"G0100070","1860","Alabama","01","010","Bibb County","007","0070","Bibb",11894,5953,5941
"G0100090","1860","Alabama","01","010","Blount County","009","0090","Blount",10865,5463,5402
"G0100130","1860","Alabama","01","010","Butler County","013","0130","Butler",18122,9318,8804
"G0100150","1860","Alabama","01","010","Calhoun County","015","0150","Calhoun",21539,10742,10797
"G0100170","1860","Alabama","01","010","Chambers County","017","0170","Chambers",23214,11697,11517
"G0100190","1860","Alabama","01","010","Cherokee County","019","0190","Cherokee",18360,9160,9200
"G0100230","1860","Alabama","01","010","Choctaw County","023","0230","Choctaw",13877,7100,6777
"G0100250","1860","Alabama","01","010","Clarke County","025","0250","Clarke",15049,7611,7438
"G0100310","1860","Alabama","01","010","Coffee County","031","0310","Coffee",9623,4952,4671
"G0100350","1860","Alabama","01","010","Conecuh County","035","0350","Conecuh",11311,5785,5526
"G0100370","1860","Alabama","01","010","Coosa County","037","0370","Coosa",19273,9851,9422
"G0100390","1860","Alabama","01","010","Covington County","039","0390","Covington",6469,3267,3202
"G0100450","1860","Alabama","01","010","Dale County","045","0450","Dale",12197,6140,6057
"G0100470","1860","Alabama","01","010","Dallas County","047","0470","Dallas",33625,16960,16665
"G0100490","1860","Alabama","01","010","DeKalb County","049","0490","Dekalb",10705,5298,5407
"G0100570","1860","Alabama","01","010","Fayette County","057","0570","Fayette",12850,6550,6300
"G0100590","1860","Alabama","01","010","Franklin County","059","0590","Franklin",18627,9400,9227
"G0100630","1860","Alabama","01","010","Greene County","063","0630","Greene",30859,15874,14985
"G0100670","1860","Alabama","01","010","Henry County","067","0670","Henry",14918,7566,7352
"G0100710","1860","Alabama","01","010","Jackson County","071","0710","Jackson",18283,9332,8951
"G0100730","1860","Alabama","01","010","Jefferson County","073","0730","Jefferson",11746,5877,5869
"G0100770","1860","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",17420,8697,8723
"G0100790","1860","Alabama","01","010","Lawrence County","079","0790","Lawrence",13975,6947,7028
"G0100830","1860","Alabama","01","010","Limestone County","083","0830","Limestone",15306,7588,7718
