GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1940,A08AA1940,A08AB1940
"G0100010","1940","Alabama","01","010","Autauga County","001","0010","Autauga",20977,10413,10564
"G0100030","1940","Alabama","01","010","Baldwin County","003","0030","Baldwin",32324,16667,15657
"G0100050","1940","Alabama","01","010","Barbour County","005","0050","Barbour",32722,15769,16953
"G0100070","1940","Alabama","01","010","Bibb County","007","0070","Bibb",20155,10265,9890
"G0100090","1940","Alabama","01","010","Blount County","009","0090","Blount",29490,15199,14291
"G0100110","1940","Alabama","01","010","Bullock County","011","0110","Bullock",19810,9478,10332
"G0100130","1940","Alabama","01","010","Butler County","013","0130","Butler",32447,15894,16553
"G0100150","1940","Alabama","01","010","Calhoun County","015","0150","Calhoun",63319,31341,31978
"G0100170","1940","Alabama","01","010","Chambers County","017","0170","Chambers",42146,20693,21453
"G0100190","1940","Alabama","01","010","Cherokee County","019","0190","Cherokee",19928,10187,9741
"G0100210","1940","Alabama","01","010","Chilton County","021","0210","Chilton",27955,14204,13751
"G0100230","1940","Alabama","01","010","Choctaw County","023","0230","Choctaw",20195,10278,9917
"G0100250","1940","Alabama","01","010","Clarke County","025","0250","Clarke",27636,13909,13727
"G0100270","1940","Alabama","01","010","Clay County","027","0270","Clay",16907,8420,8487
"G0100290","1940","Alabama","01","010","Cleburne County","029","0290","Cleburne",13629,6945,6684
"G0100310","1940","Alabama","01","010","Coffee County","031","0310","Coffee",31987,15939,16048
"G0100330","1940","Alabama","01","010","Colbert County","033","0330","Colbert",34093,16845,17248
"G0100350","1940","Alabama","01","010","Conecuh County","035","0350","Conecuh",25489,12689,12800
"G0100370","1940","Alabama","01","010","Coosa County","037","0370","Coosa",13460,6913,6547
"G0100390","1940","Alabama","01","010","Covington County","039","0390","Covington",42417,20847,21570
"G0100410","1940","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",23631,11717,11914
"G0100430","1940","Alabama","01","010","Cullman County","043","0430","Cullman",47343,23901,23442
"G0100450","1940","Alabama","01","010","Dale County","045","0450","Dale",22685,11256,11429
"G0100470","1940","Alabama","01","010","Dallas County","047","0470","Dallas",55245,26441,28804
"G0100490","1940","Alabama","01","010","DeKalb County","049","0490","Dekalb",43075,21583,21492
"G0100510","1940","Alabama","01","010","Elmore County","051","0510","Elmore",34546,17582,16964
"G0100530","1940","Alabama","01","010","Escambia County","053","0530","Escambia",30671,15694,14977
"G0100550","1940","Alabama","01","010","Etowah County","055","0550","Etowah",72580,36151,36429
"G0100570","1940","Alabama","01","010","Fayette County","057","0570","Fayette",21651,10881,10770
"G0100590","1940","Alabama","01","010","Franklin County","059","0590","Franklin",27552,13935,13617
"G0100610","1940","Alabama","01","010","Geneva County","061","0610","Geneva",29172,14494,14678
"G0100630","1940","Alabama","01","010","Greene County","063","0630","Greene",19185,9280,9905
"G0100650","1940","Alabama","01","010","Hale County","065","0650","Hale",25533,12567,12966
"G0100670","1940","Alabama","01","010","Henry County","067","0670","Henry",21912,10769,11143
"G0100690","1940","Alabama","01","010","Houston County","069","0690","Houston",45665,22464,23201
"G0100710","1940","Alabama","01","010","Jackson County","071","0710","Jackson",41802,21190,20612
"G0100730","1940","Alabama","01","010","Jefferson County","073","0730","Jefferson",459930,223054,236876
"G0100750","1940","Alabama","01","010","Lamar County","075","0750","Lamar",19708,9965,9743
"G0100770","1940","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",46230,22854,23376
"G0100790","1940","Alabama","01","010","Lawrence County","079","0790","Lawrence",27880,14091,13789
"G0100810","1940","Alabama","01","010","Lee County","081","0810","Lee",36455,17851,18604
"G0100830","1940","Alabama","01","010","Limestone County","083","0830","Limestone",35642,17787,17855
"G0100850","1940","Alabama","01","010","Lowndes County","085","0850","Lowndes",22661,11013,11648
"G0100870","1940","Alabama","01","010","Macon County","087","0870","Macon",27654,13565,14089
"G0100890","1940","Alabama","01","010","Madison County","089","0890","Madison",66317,32720,33597
"G0100910","1940","Alabama","01","010","Marengo County","091","0910","Marengo",35736,17526,18210
"G0100930","1940","Alabama","01","010","Marion County","093","0930","Marion",28776,14511,14265
"G0100950","1940","Alabama","01","010","Marshall County","095","0950","Marshall",42395,21285,21110
"G0100970","1940","Alabama","01","010","Mobile County","097","0970","Mobile",141974,68758,73216
"G0100990","1940","Alabama","01","010","Monroe County","099","0990","Monroe",29465,14593,14872
"G0101010","1940","Alabama","01","010","Montgomery County","101","1010","Montgomery",114420,55582,58838
"G0101030","1940","Alabama","01","010","Morgan County","103","1030","Morgan",48148,23824,24324
"G0101050","1940","Alabama","01","010","Perry County","105","1050","Perry",26610,12927,13683
"G0101070","1940","Alabama","01","010","Pickens County","107","1070","Pickens",27671,13827,13844
"G0101090","1940","Alabama","01","010","Pike County","109","1090","Pike",32493,16002,16491
"G0101110","1940","Alabama","01","010","Randolph County","111","1110","Randolph",25516,12612,12904
"G0101130","1940","Alabama","01","010","Russell County","113","1130","Russell",35775,17299,18476
"G0101150","1940","Alabama","01","010","St. Clair County","115","1150","St Clair",27336,13923,13413
"G0101170","1940","Alabama","01","010","Shelby County","117","1170","Shelby",28962,14648,14314
"G0101190","1940","Alabama","01","010","Sumter County","119","1190","Sumter",27321,13274,14047
"G0101210","1940","Alabama","01","010","Talladega County","121","1210","Talladega",51832,25310,26522
"G0101230","1940","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",35270,17512,17758
"G0101250","1940","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",76036,37733,38303
"G0101270","1940","Alabama","01","010","Walker County","127","1270","Walker",64201,32381,31820
"G0101290","1940","Alabama","01","010","Washington County","129","1290","Washington",16188,8331,7857
"G0101310","1940","Alabama","01","010","Wilcox County","131","1310","Wilcox",26279,12807,13472
"G0101330","1940","Alabama","01","010","Winston County","133","1330","Winston",18746,9536,9210
"G0250015","1940","Alaska Territory",,"025","First Judicicial Dist",,"0015","First Judicicial Dist",25241,15139,10102
"G0250035","1940","Alaska Territory",,"025","Fourth Judicicial Dist",,"0035","Fourth Judicicial Dist",16094,9734,6360
"G0250075","1940","Alaska Territory",,"025","Second Judicicial Dist",,"0075","Second Judicicial Dist",11877,6395,5482
"G0250115","1940","Alaska Territory",,"025","Third Judicicial Dist",,"0115","Third Judicicial Dist",19312,11735,7577
"G0400010","1940","Arizona","04","040","Apache County","001","0010","Apache",24095,12436,11659
"G0400030","1940","Arizona","04","040","Cochise County","003","0030","Cochise",34627,18059,16568
"G0400050","1940","Arizona","04","040","Coconino County","005","0050","Coconino",18770,9732,9038
"G0400070","1940","Arizona","04","040","Gila County","007","0070","Gila",23867,12349,11518
"G0400090","1940","Arizona","04","040","Graham County","009","0090","Graham",12113,6264,5849
