GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA2000,B21AB2000,B21AC2000,B21AD2000,B21AE2000,B21AF2000,B21AG2000,B21AH2000,B21AI2000,B21AJ2000
"G0100010","2000","Alabama","01","010","Autauga County","001","0010","Autauga County",17335,3447,91,149,199,17886,4026,103,229,206
"G0100030","2000","Alabama","01","010","Baldwin County","003","0030","Baldwin County",59953,7047,410,686,752,62413,7397,399,644,714
"G0100050","2000","Alabama","01","010","Barbour County","005","0050","Barbour County",7720,6790,88,244,128,7167,6661,43,113,84
"G0100070","2000","Alabama","01","010","Bibb County","007","0070","Bibb County",8031,2584,23,51,56,7935,2040,26,29,51
"G0100090","2000","Alabama","01","010","Blount County","009","0090","Blount County",24167,291,134,650,234,24345,315,116,487,285
"G0100110","2000","Alabama","01","010","Bullock County","011","0110","Bullock County",1706,4325,37,36,36,1252,4239,7,30,46
"G0100130","2000","Alabama","01","010","Butler County","013","0130","Butler County",5970,3966,21,23,39,6522,4766,24,23,45
"G0100150","2000","Alabama","01","010","Calhoun County","015","0150","Calhoun County",42760,9530,236,649,527,45777,11280,209,727,554
"G0100170","2000","Alabama","01","010","Chambers County","017","0170","Chambers County",10724,6380,26,56,99,11547,7563,23,55,110
"G0100190","2000","Alabama","01","010","Cherokee County","019","0190","Cherokee County",10955,639,38,63,99,11313,691,37,54,99
"G0100210","2000","Alabama","01","010","Chilton County","021","0210","Chilton County",16930,2012,58,445,136,17400,2188,53,232,139
"G0100230","2000","Alabama","01","010","Choctaw County","023","0230","Choctaw County",4230,3203,15,11,30,4549,3824,10,13,37
"G0100250","2000","Alabama","01","010","Clarke County","025","0250","Clarke County",7527,5514,34,48,57,8062,6475,28,43,79
"G0100270","2000","Alabama","01","010","Clay County","027","0270","Clay County",5764,1065,24,52,47,6012,1173,21,31,65
"G0100290","2000","Alabama","01","010","Cleburne County","029","0290","Cleburne County",6677,252,21,40,47,6703,271,21,29,62
"G0100310","2000","Alabama","01","010","Coffee County","031","0310","Coffee County",16534,3848,202,357,362,17097,4165,194,488,368
"G0100330","2000","Alabama","01","010","Colbert County","033","0330","Colbert County",21651,4145,106,174,235,23174,4992,99,156,252
"G0100350","2000","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3830,2771,12,14,40,3976,3365,16,21,44
"G0100370","2000","Alabama","01","010","Coosa County","037","0370","Coosa County",3977,2113,18,68,56,3825,2059,21,14,51
"G0100390","2000","Alabama","01","010","Covington County","039","0390","Covington County",15621,2108,84,69,110,16815,2540,97,64,123
