GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA2010,B21AB2010,B21AC2010,B21AD2010,B21AE2010,B21AF2010,B21AG2010,B21AH2010,B21AI2010,B21AJ2010
"G0100350","2010","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3428,2827,25,70,62,3360,3322,19,45,70
"G0100370","2010","Alabama","01","010","Coosa County","037","0370","Coosa County",3827,1736,20,97,47,3821,1846,20,69,56
"G0100390","2010","Alabama","01","010","Covington County","039","0390","Covington County",15553,2207,110,148,270,16469,2509,104,143,252
"G0100410","2010","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",4917,1484,29,187,97,5180,1770,28,109,105
"G0100430","2010","Alabama","01","010","Cullman County","043","0430","Cullman County",37463,451,206,1172,427,38670,405,202,948,462
"G0100450","2010","Alabama","01","010","Dale County","045","0450","Dale County",18727,4521,198,661,718,18509,5158,173,799,787
"G0100470","2010","Alabama","01","010","Dallas County","047","0470","Dallas County",6076,13844,48,143,133,6693,16579,37,101,166
"G0100490","2010","Alabama","01","010","DeKalb County","049","0490","DeKalb County",29472,539,467,3866,769,30615,539,502,3535,805
"G0100510","2010","Alabama","01","010","Elmore County","051","0510","Elmore County",29233,8009,143,769,535,31222,7891,142,750,609
"G0100530","2010","Alabama","01","010","Escambia County","053","0530","Escambia County",11947,6606,633,263,317,11837,5614,655,184,263
"G0100550","2010","Alabama","01","010","Etowah County","055","0550","Etowah County",40760,7325,245,1544,752,43063,8471,203,1274,793
"G0100570","2010","Alabama","01","010","Fayette County","057","0570","Fayette County",7363,961,26,63,94,7547,1008,26,76,77
"G0100590","2010","Alabama","01","010","Franklin County","059","0590","Franklin County",12819,630,122,1977,280,13501,598,93,1434,250
"G0100610","2010","Alabama","01","010","Geneva County","061","0610","Geneva County",11340,1174,115,275,201,11787,1365,109,209,215
"G0100630","2010","Alabama","01","010","Greene County","063","0630","Greene County",804,3420,9,19,19,771,3950,8,21,24
"G0100650","2010","Alabama","01","010","Hale County","065","0650","Hale County",3084,4282,12,38,50,3182,5019,13,42,38
"G0100670","2010","Alabama","01","010","Henry County","067","0670","Henry County",5772,2263,31,146,90,6093,2679,26,116,86
"G0100690","2010","Alabama","01","010","Houston County","069","0690","Houston County",34497,12046,220,1118,859,36556,14130,226,995,900
"G0100710","2010","Alabama","01","010","Jackson County","071","0710","Jackson County",23711,860,350,536,682,24637,921,369,465,696
"G0100730","2010","Alabama","01","010","Jefferson County","073","0730","Jefferson County",168511,125852,833,13123,3494,180655,150673,907,10637,3781
"G0100750","2010","Alabama","01","010","Lamar County","075","0750","Lamar County",6190,748,9,53,97,6436,895,15,35,86
"G0100770","2010","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",38444,4219,176,898,642,41668,5038,162,798,664
"G0100790","2010","Alabama","01","010","Lawrence County","079","0790","Lawrence County",13085,1852,974,163,717,13562,2086,979,160,761
"G0100810","2010","Alabama","01","010","Lee County","081","0810","Lee County",49851,14763,230,3155,1127,50155,17138,215,2481,1132
"G0100830","2010","Alabama","01","010","Limestone County","083","0830","Limestone County",33305,5513,281,2076,735,33201,4916,266,1756,733
"G0100850","2010","Alabama","01","010","Lowndes County","085","0850","Lowndes County",1445,3783,13,19,29,1414,4527,12,26,31
"G0100870","2010","Alabama","01","010","Macon County","087","0870","Macon County",1673,7962,13,83,95,1646,9767,16,64,133
"G0100890","2010","Alabama","01","010","Madison County","089","0890","Madison County",113424,37656,1249,7961,4030,114856,42720,1302,7388,4225
"G0100910","2010","Alabama","01","010","Marengo County","091","0910","Marengo County",4754,4963,16,101,79,4997,5909,18,105,85
"G0100930","2010","Alabama","01","010","Marion County","093","0930","Marion County",14159,723,53,186,172,14632,461,48,173,169
"G0100950","2010","Alabama","01","010","Marshall County","095","0950","Marshall County",39563,785,372,4332,791,41901,709,334,3459,773
"G0100970","2010","Alabama","01","010","Mobile County","097","0970","Mobile County",121611,65758,1786,6247,2972,127036,77234,1895,5403,3050
"G0100990","2010","Alabama","01","010","Monroe County","099","0990","Monroe County",6235,4521,130,69,154,6483,5093,130,73,180
"G0101010","2010","Alabama","01","010","Montgomery County","101","1010","Montgomery County",44326,58022,303,5209,1307,46330,67455,286,4526,1599
"G0101030","2010","Alabama","01","010","Morgan County","103","1030","Morgan County",46848,6765,540,3582,1151,48556,7420,502,2913,1213
"G0101050","2010","Alabama","01","010","Perry County","105","1050","Perry County",1586,3331,12,31,20,1618,3945,5,20,23
"G0101070","2010","Alabama","01","010","Pickens County","107","1070","Pickens County",5478,3708,13,96,133,5632,4503,15,69,99
"G0101090","2010","Alabama","01","010","Pike County","109","1090","Pike County",9338,5435,93,576,258,9806,6619,99,443,232
"G0101110","2010","Alabama","01","010","Randolph County","111","1110","Randolph County",8554,2146,42,232,130,8978,2461,42,197,131
"G0101130","2010","Alabama","01","010","Russell County","113","1130","Russell County",13918,10204,115,533,517,14531,11931,104,507,587
"G0101150","2010","Alabama","01","010","St. Clair County","115","1150","St. Clair County",36559,3941,151,669,584,37182,3209,130,629,539
"G0101170","2010","Alabama","01","010","Shelby County","117","1170","Shelby County",79308,9741,271,4853,1384,82635,10991,282,4320,1300
"G0101190","2010","Alabama","01","010","Sumter County","119","1190","Sumter County",1564,4645,4,27,21,1762,5671,7,36,26
"G0101210","2010","Alabama","01","010","Talladega County","121","1210","Talladega County",26286,12386,142,699,564,27453,13669,122,433,537
"G0101230","2010","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",14272,5119,57,543,199,14815,5964,64,375,208
"G0101250","2010","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",63656,26342,268,3073,1061,65348,31269,258,2343,1038
"G0101270","2010","Alabama","01","010","Walker County","127","1270","Walker County",29727,1881,136,510,414,31419,2047,115,360,414
"G0101290","2010","Alabama","01","010","Washington County","129","1290","Washington County",5747,2111,671,36,91,5761,2269,740,39,116
"G0101310","2010","Alabama","01","010","Wilcox County","131","1310","Wilcox County",1540,3937,6,7,28,1586,4528,8,7,23
"G0101330","2010","Alabama","01","010","Winston County","133","1330","Winston County",11451,57,83,258,172,11958,58,80,186,181
"G0200130","2010","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",476,201,471,841,104,184,18,405,392,49
"G0200160","2010","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",1403,305,458,1373,184,601,27,399,684,127
"G0200200","2010","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality",99875,8618,10921,17242,11553,92623,7608,12209,19085,12092
"G0200500","2010","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",1071,33,7272,120,402,823,32,6837,112,311
"G0200600","2010","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",280,0,171,4,85,201,0,163,11,82
"G0200680","2010","Alaska","02","020","Denali Borough","068","0680","Denali Borough",907,9,32,12,42,730,1,33,22,38
"G0200700","2010","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",498,9,1771,30,233,380,2,1699,20,205
"G0200900","2010","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",40327,2493,3326,2005,3380,34848,1930,3553,2428,3291
"G0201000","2010","Alaska","02","020","Haines Borough","100","1000","Haines Borough",1061,6,121,11,75,1025,4,109,24,72
"G0201050","2010","Alaska","02","020","Hoonah-Angoon Census Area","105","1050","Hoonah-Angoon Census Area",549,5,491,6,114,465,3,399,13,105
"G0201100","2010","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough",11275,183,1806,1204,1482,10539,96,1886,1319,1485
"G0201220","2010","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",24631,178,2166,490,1573,22226,91,1915,596,1534
"G0201300","2010","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",4799,56,933,493,630,4377,22,977,570,620
"G0201500","2010","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",4080,57,901,1618,541,3442,35,896,1526,496
"G0201640","2010","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",227,5,539,9,79,153,4,522,8,85
"G0201700","2010","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",39339,500,2452,846,2903,36201,356,2449,1111,2838
"G0201800","2010","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",887,17,3760,61,333,665,10,3439,66,254
"G0201850","2010","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",2542,69,2689,340,264,605,25,2411,256,229
"G0201880","2010","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",527,13,3192,35,262,319,24,2929,36,186
"G0201950","2010","Alaska","02","020","Petersburg Census Area","195","1950","Petersburg Census Area",1433,8,327,67,147,1278,7,287,82,179
"G0201980","2010","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980","Prince of Wales-Hyder Census Area",1615,13,1154,37,251,1184,4,1053,25,223
"G0202200","2010","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough",2967,24,728,319,443,2831,23,765,353,428
"G0202300","2010","Alaska","02","020","Skagway Municipality","230","2300","Skagway Municipality",461,0,15,3,21,424,0,19,7,18
"G0202400","2010","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",3192,53,422,72,178,2459,23,386,79,165
"G0202610","2010","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",3865,33,664,220,361,3262,13,651,234,333
"G0202700","2010","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",112,1,3736,6,89,89,0,3349,15,62
"G0202750","2010","Alaska","02","020","Wrangell City and Borough","275","2750","Wrangell City and Borough",932,1,184,15,110,787,3,200,24,113
"G0202820","2010","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough",154,2,126,21,57,127,0,111,19,45
"G0202900","2010","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",698,7,2139,10,173,545,3,1853,19,141
"G0400010","2010","Arizona","04","040","Apache County","001","0010","Apache County",8501,121,25701,593,762,8133,54,26453,540,660
"G0400030","2010","Arizona","04","040","Cochise County","003","0030","Cochise County",52444,3195,904,7751,2683,50641,2270,685,8181,2592
"G0400050","2010","Arizona","04","040","Coconino County","005","0050","Coconino County",41642,855,17620,4446,2103,41325,774,19094,4554,2008
"G0400070","2010","Arizona","04","040","Gila County","007","0070","Gila County",20451,146,3904,1564,568,20711,87,4042,1621,503
"G0400090","2010","Arizona","04","040","Graham County","009","0090","Graham County",14392,569,2672,1772,572,12435,114,2704,1514,476
"G0400110","2010","Arizona","04","040","Greenlee County","011","0110","Greenlee County",3410,51,99,678,160,3104,38,96,641,160
"G0400120","2010","Arizona","04","040","La Paz County","012","0120","La Paz County",7451,71,1239,1414,375,6855,58,1389,1251,386
"G0400130","2010","Arizona","04","040","Maricopa County","013","0130","Maricopa County",1372983,96915,37314,315955,65298,1413798,93604,41015,313765,66470
"G0400150","2010","Arizona","04","040","Mohave County","015","0150","Mohave County",87002,1140,2148,7070,2718,86876,742,2352,7363,2775
"G0400170","2010","Arizona","04","040","Navajo County","017","0170","Navajo County",27135,620,22514,2151,1357,25837,318,24097,2129,1291
"G0400190","2010","Arizona","04","040","Pima County","019","0190","Pima County",356565,18940,15929,71925,18078,372186,15734,16676,76069,18161
"G0400210","2010","Arizona","04","040","Pinal County","021","0210","Pinal County",139401,9875,11746,28914,7229,132612,7340,9203,22356,7094
"G0400230","2010","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",16589,97,176,5236,461,18246,82,152,5889,492
"G0400250","2010","Arizona","04","040","Yavapai County","025","0250","Yavapai County",92047,750,1760,6256,2645,96468,517,1789,6088,2713
"G0400270","2010","Arizona","04","040","Yuma County","027","0270","Yuma County",69063,2435,1551,21139,3817,68818,1496,1505,22234,3693
"G0500010","2010","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",6639,2194,18,250,119,7020,2467,18,164,130
"G0500030","2010","Arkansas","05","050","Ashley County","003","0030","Ashley County",7428,2597,33,408,132,7715,3043,37,344,116
"G0500050","2010","Arkansas","05","050","Baxter County","005","0050","Baxter County",19405,40,117,169,292,20826,27,115,210,312
"G0500070","2010","Arkansas","05","050","Benton County","007","0070","Benton County",89522,1514,1819,13329,2940,93295,1300,1932,12722,2966
"G0500090","2010","Arkansas","05","050","Boone County","009","0090","Boone County",17422,48,130,136,330,18202,24,133,161,317
"G0500110","2010","Arkansas","05","050","Bradley County","011","0110","Bradley County",3337,1499,23,657,71,3597,1674,33,533,84
"G0500130","2010","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",2040,580,10,50,39,1961,612,5,35,36
"G0500150","2010","Arkansas","05","050","Carroll County","015","0150","Carroll County",12032,65,117,986,331,12561,38,134,894,288
"G0500170","2010","Arkansas","05","050","Chicot County","017","0170","Chicot County",2453,3048,14,236,42,2411,3333,9,204,50
"G0500190","2010","Arkansas","05","050","Clark County","019","0190","Clark County",8021,2429,50,310,162,8497,2984,48,312,182
"G0500210","2010","Arkansas","05","050","Clay County","021","0210","Clay County",7664,35,16,58,98,8018,21,26,43,104
"G0500230","2010","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",12354,45,65,135,178,12776,27,76,127,187
"G0500250","2010","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",3711,494,9,47,26,3741,565,14,43,39
"G0500270","2010","Arkansas","05","050","Columbia County","027","0270","Columbia County",7122,4160,46,271,116,7574,4899,25,199,140
"G0500290","2010","Arkansas","05","050","Conway County","029","0290","Conway County",8881,1145,71,226,210,9036,1240,81,172,211
"G0500310","2010","Arkansas","05","050","Craighead County","031","0310","Craighead County",38289,5905,159,1896,828,40034,6735,183,1547,867
"G0500330","2010","Arkansas","05","050","Crawford County","033","0330","Crawford County",27237,375,661,1449,849,27957,350,731,1415,924
"G0500350","2010","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",11490,12007,56,356,257,11956,14044,79,357,300
"G0500370","2010","Arkansas","05","050","Cross County","037","0370","Cross County",6575,1846,21,89,90,6920,2126,26,80,97
"G0500390","2010","Arkansas","05","050","Dallas County","039","0390","Dallas County",2209,1646,14,53,52,2267,1754,18,53,50
"G0500410","2010","Arkansas","05","050","Desha County","041","0410","Desha County",3025,2783,17,225,53,3205,3433,18,184,65
"G0500430","2010","Arkansas","05","050","Drew County","043","0430","Drew County",6223,2443,14,196,109,6516,2701,29,174,104
"G0500450","2010","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",46889,5540,289,1796,1109,48531,6028,369,1526,1160
"G0500470","2010","Arkansas","05","050","Franklin County","047","0470","Franklin County",8515,77,86,141,158,8706,53,103,137,149
"G0500490","2010","Arkansas","05","050","Fulton County","049","0490","Fulton County",5815,19,32,35,98,6042,21,47,29,107
"G0500510","2010","Arkansas","05","050","Garland County","051","0510","Garland County",40062,3785,291,1354,1122,42902,3830,296,1290,1092
"G0500530","2010","Arkansas","05","050","Grant County","053","0530","Grant County",8391,187,44,149,98,8549,203,33,108,91
"G0500550","2010","Arkansas","05","050","Greene County","055","0550","Greene County",19875,142,100,259,266,20703,91,109,246,299
"G0500570","2010","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",6527,3036,34,1080,228,6904,3610,54,932,204
"G0500590","2010","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",14356,1869,78,220,290,13823,1699,76,229,283
"G0500610","2010","Arkansas","05","050","Howard County","061","0610","Howard County",4846,1294,46,388,82,5048,1552,50,390,93
"G0500630","2010","Arkansas","05","050","Independence County","063","0630","Independence County",16408,375,89,822,266,17280,347,90,674,296
"G0500650","2010","Arkansas","05","050","Izard County","065","0650","Izard County",6686,165,47,62,94,6432,10,58,58,84
"G0500670","2010","Arkansas","05","050","Jackson County","067","0670","Jackson County",7093,1506,45,156,130,7270,1494,46,118,139
"G0500690","2010","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",16500,20404,112,589,462,16007,22235,101,550,475
"G0500710","2010","Arkansas","05","050","Johnson County","071","0710","Johnson County",10939,208,118,1136,258,11341,156,108,1040,236
"G0500730","2010","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",2294,1321,7,42,29,2348,1524,10,38,32
"G0500750","2010","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",8241,61,32,26,108,8711,76,31,32,97
"G0500770","2010","Arkansas","05","050","Lee County","077","0770","Lee County",2581,3063,28,74,60,1800,2698,21,38,61
"G0500790","2010","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",5295,2887,20,219,80,4112,1336,18,107,60
"G0500810","2010","Arkansas","05","050","Little River County","081","0810","Little River County",4875,1185,85,133,125,5073,1334,107,115,139
"G0500830","2010","Arkansas","05","050","Logan County","083","0830","Logan County",10375,160,123,326,214,10469,137,114,240,195
"G0500850","2010","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",30282,1932,163,653,599,31071,2143,200,677,636
"G0500870","2010","Arkansas","05","050","Madison County","087","0870","Madison County",7369,12,97,280,123,7342,16,93,238,147
"G0500890","2010","Arkansas","05","050","Marion County","089","0890","Marion County",8049,12,52,35,139,8097,18,63,61,127
"G0500910","2010","Arkansas","05","050","Miller County","091","0910","Miller County",15559,5008,146,353,335,15575,5659,147,277,403
"G0500930","2010","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",14066,7369,80,637,346,14587,8448,56,542,349
"G0500950","2010","Arkansas","05","050","Monroe County","095","0950","Monroe County",2211,1565,10,61,48,2373,1765,19,49,48
"G0500970","2010","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",4470,11,40,115,94,4488,11,39,124,95
"G0500990","2010","Arkansas","05","050","Nevada County","099","0990","Nevada County",2926,1323,19,71,70,3007,1441,12,76,52
"G0501010","2010","Arkansas","05","050","Newton County","101","1010","Newton County",4061,5,36,15,89,3940,4,54,33,93
"G0501030","2010","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",7241,4737,45,157,199,7642,5731,41,106,221
"G0501050","2010","Arkansas","05","050","Perry County","105","1050","Perry County",4924,101,34,37,87,5015,95,36,33,83
"G0501070","2010","Arkansas","05","050","Phillips County","107","1070","Phillips County",3691,6210,27,90,112,3927,7509,24,73,94
"G0501090","2010","Arkansas","05","050","Pike County","109","1090","Pike County",5007,174,37,285,96,5156,156,33,258,89
"G0501110","2010","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",10707,840,32,180,178,11382,935,27,150,152
"G0501130","2010","Arkansas","05","050","Polk County","113","1130","Polk County",9368,36,196,322,241,9776,29,168,289,237
"G0501150","2010","Arkansas","05","050","Pope County","115","1150","Pope County",27197,991,233,1479,710,28076,793,238,1381,656
"G0501170","2010","Arkansas","05","050","Prairie County","117","1170","Prairie County",3749,501,12,7,45,3780,563,14,9,35
"G0501190","2010","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",107105,61781,790,10351,3911,112946,72077,765,9072,3950
"G0501210","2010","Arkansas","05","050","Randolph County","121","1210","Randolph County",8468,72,48,87,135,8871,56,42,73,117
"G0501230","2010","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",6961,7631,115,431,255,5541,7036,33,100,155
"G0501250","2010","Arkansas","05","050","Saline County","125","1250","Saline County",47832,2450,265,1619,733,49146,2544,277,1454,798
"G0501270","2010","Arkansas","05","050","Scott County","127","1270","Scott County",4980,26,97,421,139,4900,27,111,389,143
"G0501290","2010","Arkansas","05","050","Searcy County","129","1290","Searcy County",3926,7,49,20,83,3941,5,47,19,98
"G0501310","2010","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",46956,3941,1209,7367,2160,49388,4078,1157,7129,2359
"G0501330","2010","Arkansas","05","050","Sevier County","133","1330","Sevier County",5859,345,178,1826,256,6090,389,220,1628,267
"G0501350","2010","Arkansas","05","050","Sharp County","135","1350","Sharp County",8183,55,95,50,149,8399,38,75,74,146
"G0501370","2010","Arkansas","05","050","Stone County","137","1370","Stone County",5907,7,51,56,107,6088,4,33,48,93
"G0501390","2010","Arkansas","05","050","Union County","139","1390","Union County",12943,6467,75,526,248,13333,7254,68,451,274
"G0501410","2010","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",8266,34,63,95,164,8332,34,56,76,175
"G0501430","2010","Arkansas","05","050","Washington County","143","1430","Washington County",80296,3249,1211,13954,2776,81957,2757,1182,12760,2923
"G0501450","2010","Arkansas","05","050","White County","145","1450","White County",34371,1586,211,963,671,36054,1488,238,751,743
"G0501470","2010","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",2440,917,10,41,44,2635,1077,8,28,60
"G0501490","2010","Arkansas","05","050","Yell County","149","1490","Yell County",9549,167,74,1071,209,9677,140,75,1044,179
"G0600010","2010","California","06","060","Alameda County","001","0010","Alameda County",322608,89276,4854,279340,44495,326514,101175,4945,290562,46502
"G0600030","2010","California","06","060","Alpine County","003","0030","Alpine County",461,0,111,14,20,420,0,129,12,8
"G0600050","2010","California","06","060","Amador County","005","0050","Amador County",17490,899,401,1263,696,15659,63,277,683,660
"G0600070","2010","California","06","060","Butte County","007","0070","Butte County",88464,1938,2203,11180,5146,91632,1477,2192,10470,5298
"G0600090","2010","California","06","060","Calaveras County","009","0090","Calaveras County",20198,251,347,1112,914,20324,132,342,1072,886
"G0600110","2010","California","06","060","Colusa County","011","0110","Colusa County",7028,111,194,3275,404,6826,84,225,2912,360
"G0600130","2010","California","06","060","Contra Costa County","013","0130","Contra Costa County",301629,45053,3053,131182,30609,312883,52108,3069,137823,31616
"G0600150","2010","California","06","060","Del Norte County","015","0150","Del Norte County",11366,958,1117,1804,662,9732,35,1127,1173,636
"G0600170","2010","California","06","060","El Dorado County","017","0170","El Dorado County",78529,811,1038,6755,3438,78264,598,1032,7114,3479
"G0600190","2010","California","06","060","Fresno County","019","0190","Fresno County",255056,25034,7824,155791,21106,260089,24489,7825,152056,21180
"G0600210","2010","California","06","060","Glenn County","021","0210","Glenn County",10008,140,302,3252,489,9982,91,317,3016,525
"G0600230","2010","California","06","060","Humboldt County","023","0230","Humboldt County",55178,939,3791,4187,3500,54742,566,3935,4112,3673
"G0600250","2010","California","06","060","Imperial County","025","0250","Imperial County",52732,4558,1431,27171,3754,49821,1215,1628,28250,3968
"G0600270","2010","California","06","060","Inyo County","027","0270","Inyo County",6931,75,1029,1009,310,6810,34,1092,926,330
"G0600290","2010","California","06","060","Kern County","029","0290","Kern County",256944,27128,6360,123660,19016,242822,21793,6316,116752,18840
"G0600310","2010","California","06","060","Kings County","031","0310","Kings County",44246,8017,1324,28899,3858,38781,2997,1238,19988,3634
"G0600330","2010","California","06","060","Lake County","033","0330","Lake County",25909,704,1003,3310,1543,26124,528,1046,2977,1521
"G0600350","2010","California","06","060","Lassen County","035","0350","Lassen County",14866,2711,736,3460,643,10666,123,498,623,569
"G0600370","2010","California","06","060","Los Angeles County","037","0370","Los Angeles County",2461491,402404,37264,1722070,216425,2475108,454470,35564,1791521,222288
"G0600390","2010","California","06","060","Madera County","039","0390","Madera County",45517,1757,1989,20239,3180,48939,3872,2147,20105,3120
"G0600410","2010","California","06","060","Marin County","041","0410","Marin County",97954,4532,914,15399,5273,104009,2455,609,15844,5420
"G0600430","2010","California","06","060","Mariposa County","043","0430","Mariposa County",8133,94,291,385,366,7970,44,236,353,379
"G0600450","2010","California","06","060","Mendocino County","045","0450","Mendocino County",33312,432,2098,6128,2013,33906,190,2179,5626,1957
"G0600470","2010","California","06","060","Merced County","047","0470","Merced County",73750,5165,1747,42097,5978,74631,4761,1726,39987,5951
"G0600490","2010","California","06","060","Modoc County","049","0490","Modoc County",4053,70,182,408,165,4031,12,188,371,206
"G0600510","2010","California","06","060","Mono County","051","0510","Mono County",6254,29,139,902,224,5443,18,163,840,190
"G0600530","2010","California","06","060","Monterey County","053","0530","Monterey County",117835,8147,2916,73694,10839,112882,4638,2548,71040,10518
"G0600550","2010","California","06","060","Napa County","055","0550","Napa County",48055,1494,553,15187,2870,49470,1174,505,14466,2710
"G0600570","2010","California","06","060","Nevada County","057","0570","Nevada County",44589,232,530,1969,1515,45644,157,514,2006,1608
"G0600590","2010","California","06","060","Orange County","059","0590","Orange County",907076,26492,9146,482232,63834,923682,24252,8986,500567,63965
"G0600610","2010","California","06","060","Placer County","061","0610","Placer County",142063,2611,1464,16599,7414,148914,2140,1547,17989,7691
"G0600630","2010","California","06","060","Plumas County","063","0630","Plumas County",8845,117,267,412,362,8952,75,272,343,362
"G0600650","2010","California","06","060","Riverside County","065","0650","Riverside County",665367,70846,11875,289599,51889,669780,69697,11835,295978,52775
"G0600670","2010","California","06","060","Sacramento County","067","0670","Sacramento County",398099,72181,7019,171817,45677,417052,74877,7289,176943,47834
"G0600690","2010","California","06","060","San Benito County","069","0690","San Benito County",17512,272,435,8069,1341,17669,211,460,7939,1361
"G0600710","2010","California","06","060","San Bernardino County","071","0710","San Bernardino County",575655,88518,11382,285390,50562,577506,93344,11307,289744,51802
"G0600730","2010","California","06","060","San Diego County","073","0730","San Diego County",1002587,84384,13573,374013,79122,978855,73829,12767,396880,79303
"G0600750","2010","California","06","060","San Francisco County","075","0750","San Francisco County",207601,25126,2326,154454,18955,182786,23744,1698,169841,18704
"G0600770","2010","California","06","060","San Joaquin County","077","0770","San Joaquin County",173343,25625,3636,117005,21621,175944,26119,3560,116279,22174
