GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA2010,B21AB2010,B21AC2010,B21AD2010,B21AE2010,B21AF2010,B21AG2010,B21AH2010,B21AI2010,B21AJ2010
"G0100010","2010","Alabama","01","010","Autauga County","001","0010","Autauga County",21067,4534,108,456,404,21788,5109,124,516,465
"G0100030","2010","Alabama","01","010","Baldwin County","003","0030","Baldwin County",76274,8309,594,2695,1324,79879,8796,622,2373,1399
"G0100050","2010","Alabama","01","010","Barbour County","005","0050","Barbour County",7027,6778,65,562,144,6153,6097,49,468,114
"G0100070","2010","Alabama","01","010","Bibb County","007","0070","Bibb County",8934,3072,33,160,102,8447,1975,31,60,101
"G0100090","2010","Alabama","01","010","Blount County","009","0090","Blount County",26149,385,147,1357,324,26919,376,160,1145,360
"G0100110","2010","Alabama","01","010","Bullock County","011","0110","Bullock County",1554,3941,7,361,49,953,3725,16,271,37
"G0100130","2010","Alabama","01","010","Butler County","013","0130","Butler County",5471,4132,27,126,82,5928,4963,33,106,79
"G0100150","2010","Alabama","01","010","Calhoun County","015","0150","Calhoun County",43168,11272,290,1492,954,45672,13110,250,1343,1021
"G0100170","2010","Alabama","01","010","Chambers County","017","0170","Chambers County",9815,6079,31,245,193,10297,7178,38,147,192
"G0100190","2010","Alabama","01","010","Cherokee County","019","0190","Cherokee County",11907,618,80,83,200,12174,590,55,95,187
"G0100210","2010","Alabama","01","010","Chilton County","021","0210","Chilton County",18018,2079,78,1174,259,18695,2151,77,865,247
"G0100230","2010","Alabama","01","010","Choctaw County","023","0230","Choctaw County",3788,2833,11,27,29,3943,3179,7,13,29
"G0100250","2010","Alabama","01","010","Clarke County","025","0250","Clarke County",6851,5152,44,82,85,7219,6184,59,66,91
"G0100270","2010","Alabama","01","010","Clay County","027","0270","Clay County",5562,1007,24,117,123,5818,1059,31,79,112
"G0100290","2010","Alabama","01","010","Cleburne County","029","0290","Cleburne County",6991,238,25,119,80,7088,260,26,65,80
"G0100310","2010","Alabama","01","010","Coffee County","031","0310","Coffee County",18500,3977,305,1286,616,18830,4382,340,1081,631
"G0100330","2010","Alabama","01","010","Colbert County","033","0330","Colbert County",21170,4020,130,420,419,22619,4748,137,339,426
