GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1840,A08AA1840,A08AB1840
"G0100010","1840","Alabama","01","010","Autauga County","001","0010","Autauga",14342,7263,7079
"G0100030","1840","Alabama","01","010","Baldwin County","003","0030","Baldwin",2951,1620,1331
"G0100050","1840","Alabama","01","010","Barbour County","005","0050","Barbour",12024,6125,5899
"G0100055","1840","Alabama","01","010","Benton County",,"0055","Benton",14260,7269,6991
"G0100070","1840","Alabama","01","010","Bibb County","007","0070","Bibb",8284,4246,4038
"G0100090","1840","Alabama","01","010","Blount County","009","0090","Blount",5570,2797,2773
"G0100130","1840","Alabama","01","010","Butler County","013","0130","Butler",8685,4391,4294
"G0100170","1840","Alabama","01","010","Chambers County","017","0170","Chambers",17333,8823,8510
"G0100190","1840","Alabama","01","010","Cherokee County","019","0190","Cherokee",8773,4449,4324
"G0100250","1840","Alabama","01","010","Clarke County","025","0250","Clarke",8640,4495,4145
"G0100350","1840","Alabama","01","010","Conecuh County","035","0350","Conecuh",8197,4184,4013
"G0100370","1840","Alabama","01","010","Coosa County","037","0370","Coosa",6995,3632,3363
"G0100390","1840","Alabama","01","010","Covington County","039","0390","Covington",2435,1269,1166
"G0100450","1840","Alabama","01","010","Dale County","045","0450","Dale",7397,3800,3597
"G0100470","1840","Alabama","01","010","Dallas County","047","0470","Dallas",25199,12892,12307
"G0100490","1840","Alabama","01","010","DeKalb County","049","0490","Dekalb",5929,3057,2872
"G0100570","1840","Alabama","01","010","Fayette County","057","0570","Fayette",6942,3533,3409
"G0100590","1840","Alabama","01","010","Franklin County","059","0590","Franklin",14270,7385,6885
"G0100630","1840","Alabama","01","010","Greene County","063","0630","Greene",24024,12694,11330
"G0100670","1840","Alabama","01","010","Henry County","067","0670","Henry",5787,3001,2786
"G0100710","1840","Alabama","01","010","Jackson County","071","0710","Jackson",15715,7862,7853
"G0100730","1840","Alabama","01","010","Jefferson County","073","0730","Jefferson",7131,3655,3476
"G0100770","1840","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",14485,7336,7149
"G0100790","1840","Alabama","01","010","Lawrence County","079","0790","Lawrence",13313,6747,6566
"G0100830","1840","Alabama","01","010","Limestone County","083","0830","Limestone",14374,7377,6997
"G0100850","1840","Alabama","01","010","Lowndes County","085","0850","Lowndes",19539,9967,9572
"G0100870","1840","Alabama","01","010","Macon County","087","0870","Macon",11247,5819,5428
"G0100890","1840","Alabama","01","010","Madison County","089","0890","Madison",25706,13088,12618
"G0100910","1840","Alabama","01","010","Marengo County","091","0910","Marengo",17264,9066,8198
"G0100930","1840","Alabama","01","010","Marion County","093","0930","Marion",5847,2977,2870
"G0100950","1840","Alabama","01","010","Marshall County","095","0950","Marshall",7553,3808,3745
"G0100970","1840","Alabama","01","010","Mobile County","097","0970","Mobile",18741,11070,7671
"G0100990","1840","Alabama","01","010","Monroe County","099","0990","Monroe",10680,5412,5268
"G0101010","1840","Alabama","01","010","Montgomery County","101","1010","Montgomery",24574,12637,11937
"G0101030","1840","Alabama","01","010","Morgan County","103","1030","Morgan",9841,4939,4902
"G0101050","1840","Alabama","01","010","Perry County","105","1050","Perry",19086,9916,9170
"G0101070","1840","Alabama","01","010","Pickens County","107","1070","Pickens",17118,8808,8310
"G0101090","1840","Alabama","01","010","Pike County","109","1090","Pike",10108,5229,4879
"G0101110","1840","Alabama","01","010","Randolph County","111","1110","Randolph",4973,2584,2389
"G0101130","1840","Alabama","01","010","Russell County","113","1130","Russell",13513,7128,6385
"G0101150","1840","Alabama","01","010","St. Clair County","115","1150","St Clair",5638,2889,2749
"G0101170","1840","Alabama","01","010","Shelby County","117","1170","Shelby",6112,3125,2987
"G0101190","1840","Alabama","01","010","Sumter County","119","1190","Sumter",29937,15681,14256
"G0101210","1840","Alabama","01","010","Talladega County","121","1210","Talladega",12587,6506,6081
"G0101230","1840","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",6444,3264,3180
"G0101250","1840","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",16583,8587,7996
"G0101270","1840","Alabama","01","010","Walker County","127","1270","Walker",4032,2038,1994
"G0101290","1840","Alabama","01","010","Washington County","129","1290","Washington",5300,2749,2551
