GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA2000,AE7AB2000,AE7AC2000,AE7AD2000,AE7AE2000,AE7AF2000,AE7AG2000,AE7AH2000,AE7AI2000,AE7AJ2000,AE7AK2000,AE7AL2000
"G0100010","2000","Alabama","01","010","Autauga County","001","0010","Autauga County",34823,7428,186,206,44,374,398,45,8,7,121,31
"G0100030","2000","Alabama","01","010","Baldwin County","003","0030","Baldwin County",120868,14357,753,568,104,1299,1498,87,56,7,651,167
"G0100050","2000","Alabama","01","010","Barbour County","005","0050","Barbour County",14788,13369,119,89,4,191,99,82,12,3,261,21
"G0100070","2000","Alabama","01","010","Bibb County","007","0070","Bibb County",15870,4584,46,19,0,97,96,40,3,0,61,10
"G0100090","2000","Alabama","01","010","Blount County","009","0090","Blount County",46999,598,212,76,14,407,1513,8,38,7,1040,112
"G0100110","2000","Alabama","01","010","Bullock County","011","0110","Bullock County",2764,8486,37,22,6,77,194,78,7,1,37,5
"G0100130","2000","Alabama","01","010","Butler County","013","0130","Butler County",12429,8671,44,34,4,74,63,61,1,1,7,10
"G0100150","2000","Alabama","01","010","Calhoun County","015","0150","Calhoun County",87598,20725,427,699,85,962,939,85,18,10,582,119
"G0100170","2000","Alabama","01","010","Chambers County","017","0170","Chambers County",22111,13872,49,68,13,190,160,71,0,0,30,19
"G0100190","2000","Alabama","01","010","Cherokee County","019","0190","Cherokee County",22164,1327,74,32,3,184,104,3,1,2,80,14
"G0100210","2000","Alabama","01","010","Chilton County","021","0210","Chilton County",33897,4131,111,67,16,219,433,69,0,11,583,56
"G0100230","2000","Alabama","01","010","Choctaw County","023","0230","Choctaw County",8724,6985,24,6,15,61,55,42,1,1,2,6
"G0100250","2000","Alabama","01","010","Clarke County","025","0250","Clarke County",15519,11918,61,46,10,133,70,71,1,0,35,3
"G0100270","2000","Alabama","01","010","Clay County","027","0270","Clay County",11616,2219,44,13,3,106,160,19,1,4,63,6
"G0100290","2000","Alabama","01","010","Cleburne County","029","0290","Cleburne County",13235,521,41,20,1,107,145,2,1,1,47,2
"G0100310","2000","Alabama","01","010","Coffee County","031","0310","Coffee County",32971,7950,386,449,58,618,660,63,10,6,332,112
"G0100330","2000","Alabama","01","010","Colbert County","033","0330","Colbert County",44470,9096,195,138,30,437,355,41,10,5,157,50
"G0100350","2000","Alabama","01","010","Conecuh County","035","0350","Conecuh County",7760,6091,27,21,6,82,46,45,1,2,6,2
"G0100370","2000","Alabama","01","010","Coosa County","037","0370","Coosa County",7742,4147,39,5,9,102,60,25,0,1,67,5
"G0100390","2000","Alabama","01","010","Covington County","039","0390","Covington County",32247,4618,180,67,11,216,189,30,1,3,52,17
"G0100410","2000","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",10042,3369,51,16,11,89,46,19,0,0,16,6
"G0100430","2000","Alabama","01","010","Cullman County","043","0430","Cullman County",73940,726,277,162,22,668,1071,17,13,5,455,127
"G0100450","2000","Alabama","01","010","Dale County","045","0450","Dale County",35771,9902,285,585,65,879,770,100,12,16,569,175
"G0100470","2000","Alabama","01","010","Dallas County","047","0470","Dallas County",16417,29201,47,161,26,223,79,131,3,4,41,32
"G0100490","2000","Alabama","01","010","DeKalb County","049","0490","DeKalb County",58436,1064,478,118,11,767,1216,19,40,42,1987,274
"G0100510","2000","Alabama","01","010","Elmore County","051","0510","Elmore County",50376,13505,272,241,51,624,361,92,14,15,262,61
"G0100530","2000","Alabama","01","010","Escambia County","053","0530","Escambia County",24575,11799,1153,103,25,406,179,38,4,1,129,28
"G0100550","2000","Alabama","01","010","Etowah County","055","0550","Etowah County",84919,15120,329,455,47,826,818,71,16,13,708,137
"G0100570","2000","Alabama","01","010","Fayette County","057","0570","Fayette County",15994,2199,35,28,1,86,81,8,3,2,49,9
"G0100590","2000","Alabama","01","010","Franklin County","059","0590","Franklin County",27268,1307,87,35,5,205,733,7,16,30,1436,94
"G0100610","2000","Alabama","01","010","Geneva County","061","0610","Geneva County",22181,2725,187,38,11,169,261,18,10,0,148,16
"G0100630","2000","Alabama","01","010","Greene County","063","0630","Greene County",1898,7964,12,8,7,27,6,49,0,0,3,0
"G0100650","2000","Alabama","01","010","Hale County","065","0650","Hale County",6803,10074,30,29,11,81,41,57,0,2,39,18
"G0100670","2000","Alabama","01","010","Henry County","067","0670","Henry County",10647,5247,33,11,4,119,63,21,1,3,159,2
"G0100690","2000","Alabama","01","010","Houston County","069","0690","Houston County",64312,21703,318,561,55,716,574,137,11,4,292,104
"G0100710","2000","Alabama","01","010","Jackson County","071","0710","Jackson County",49200,2002,927,132,19,1036,352,17,19,5,176,41
"G0100730","2000","Alabama","01","010","Jefferson County","073","0730","Jefferson County",379707,259623,1314,6034,367,4718,4932,985,94,125,3540,608
"G0100750","2000","Alabama","01","010","Lamar County","075","0750","Lamar County",13695,1899,15,9,2,77,121,7,3,1,71,4
"G0100770","2000","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",77240,8624,219,318,47,624,503,39,4,7,269,72
"G0100790","2000","Alabama","01","010","Lawrence County","079","0790","Lawrence County",26899,4613,1839,36,3,1046,168,35,26,2,111,25
"G0100810","2000","Alabama","01","010","Lee County","081","0810","Lee County",84298,25954,251,1883,99,962,949,117,22,17,433,107
"G0100830","2000","Alabama","01","010","Limestone County","083","0830","Limestone County",54142,8703,293,239,28,531,887,49,11,6,719,68
"G0100850","2000","Alabama","01","010","Lowndes County","085","0850","Lowndes County",3464,9841,15,18,1,49,20,44,0,1,15,5
"G0100870","2000","Alabama","01","010","Macon County","087","0870","Macon County",3331,20298,39,92,10,162,34,105,0,0,21,13
"G0100890","2000","Alabama","01","010","Madison County","089","0890","Madison County",196496,62602,2067,5247,300,4762,2905,423,62,51,1329,456
"G0100910","2000","Alabama","01","010","Marengo County","091","0910","Marengo County",10582,11581,19,39,8,91,75,74,0,5,49,16
"G0100930","2000","Alabama","01","010","Marion County","093","0930","Marion County",29387,1131,90,49,7,190,192,3,1,23,114,27
"G0100950","2000","Alabama","01","010","Marshall County","095","0950","Marshall County",75081,1194,408,216,35,641,1710,13,25,21,2628,259
"G0100970","2000","Alabama","01","010","Mobile County","097","0970","Mobile County",249763,132845,2636,5678,319,3715,2436,620,46,51,1281,453
"G0100990","2000","Alabama","01","010","Monroe County","099","0990","Monroe County",13962,9683,232,70,13,174,85,64,4,2,18,17
"G0101010","2000","Alabama","01","010","Montgomery County","101","1010","Montgomery County",107858,108146,530,2256,178,1877,1322,437,38,33,609,226
"G0101030","2000","Alabama","01","010","Morgan County","103","1030","Morgan County",92584,12383,727,516,62,1147,1901,102,20,54,1329,239
"G0101050","2000","Alabama","01","010","Perry County","105","1050","Perry County",3642,8057,9,6,1,44,18,54,0,1,9,20
"G0101070","2000","Alabama","01","010","Pickens County","107","1070","Pickens County",11676,8940,24,27,17,118,44,59,1,1,29,13
"G0101090","2000","Alabama","01","010","Pike County","109","1090","Pike County",17790,10766,190,110,25,359,200,69,4,0,51,41
"G0101110","2000","Alabama","01","010","Randolph County","111","1110","Randolph County",16940,4949,41,51,9,118,154,28,4,0,66,20
"G0101130","2000","Alabama","01","010","Russell County","113","1130","Russell County",27925,20217,164,207,43,456,284,102,18,11,252,77
"G0101150","2000","Alabama","01","010","St. Clair County","115","1150","St. Clair County",57917,5253,233,125,16,512,371,10,9,4,251,41
"G0101170","2000","Alabama","01","010","Shelby County","117","1170","Shelby County",126951,10570,441,1486,51,884,1720,36,32,17,962,143
"G0101190","2000","Alabama","01","010","Sumter County","119","1190","Sumter County",3813,10718,14,17,1,70,23,109,0,0,26,7
"G0101210","2000","Alabama","01","010","Talladega County","121","1210","Talladega County",53399,25206,172,179,35,518,431,133,12,3,181,52
"G0101230","2000","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",30342,10488,107,77,5,214,132,30,2,1,65,12
"G0101250","2000","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",111367,48135,348,1525,107,1263,953,192,24,43,824,94
"G0101270","2000","Alabama","01","010","Walker County","127","1270","Walker County",64855,4323,197,153,18,560,308,41,4,2,202,50
"G0101290","2000","Alabama","01","010","Washington County","129","1290","Washington County",11673,4818,1282,15,1,148,86,49,7,0,8,10
"G0101310","2000","Alabama","01","010","Wilcox County","131","1310","Wilcox County",3611,9423,19,10,0,23,15,56,0,9,15,2
"G0101330","2000","Alabama","01","010","Winston County","133","1330","Winston County",24055,93,107,32,8,176,122,1,7,2,215,25
"G0200130","2000","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",521,42,999,720,3,73,125,3,6,3,196,6
