GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1810
"G0900010","1810","Connecticut","09","090","Fairfield County","001","0010","Fairfield",40950
"G0900030","1810","Connecticut","09","090","Hartford County","003","0030","Hartford",44733
"G0900050","1810","Connecticut","09","090","Litchfield County","005","0050","Litchfield",41375
"G0900070","1810","Connecticut","09","090","Middlesex County","007","0070","Middlesex",20723
"G0900090","1810","Connecticut","09","090","New Haven County","009","0090","New Haven",37064
"G0900110","1810","Connecticut","09","090","New London County","011","0110","New London",34707
"G0900130","1810","Connecticut","09","090","Tolland County","013","0130","Tolland",13779
"G0900150","1810","Connecticut","09","090","Windham County","015","0150","Windham",28611
"G1000010","1810","Delaware","10","100","Kent County","001","0010","Kent",20495
"G1000030","1810","Delaware","10","100","New Castle County","003","0030","New Castle",24429
"G1000050","1810","Delaware","10","100","Sussex County","005","0050","Sussex",27750
"G1100005","1810","District Of Columbia","11","110","Alexandria",,"0005","Alexandria",7227
"G1100017","1810","District Of Columbia","11","110","Georgetown",,"0017","Georgetown",4948
"G1100055","1810","District Of Columbia","11","110","Rural Fairfax County",,"0055","Rural Fairfax County",1325
"G1100075","1810","District Of Columbia","11","110","Rural Washington county",,"0075","Rural Washington county",2315
"G1100115","1810","District Of Columbia","11","110","Washington City",,"0115","Washington City",8208
"G1300090","1810","Georgia","13","130","Baldwin County","009","0090","Baldwin",6356
"G1300290","1810","Georgia","13","130","Bryan County","029","0290","Bryan",2827
"G1300310","1810","Georgia","13","130","Bulloch County","031","0310","Bulloch",2305
"G1300330","1810","Georgia","13","130","Burke County","033","0330","Burke",10858
"G1300390","1810","Georgia","13","130","Camden County","039","0390","Camden",3941
"G1300510","1810","Georgia","13","130","Chatham County","051","0510","Chatham",13540
"G1300590","1810","Georgia","13","130","Clarke County","059","0590","Clarke",7628
"G1300730","1810","Georgia","13","130","Columbia County","073","0730","Columbia",11242
"G1301030","1810","Georgia","13","130","Effingham County","103","1030","Effingham",2586
"G1301050","1810","Georgia","13","130","Elbert County","105","1050","Elbert",12156
"G1301190","1810","Georgia","13","130","Franklin County","119","1190","Franklin",10815
"G1301270","1810","Georgia","13","130","Glynn County","127","1270","Glynn",3417
"G1301330","1810","Georgia","13","130","Greene County","133","1330","Greene",11679
"G1301410","1810","Georgia","13","130","Hancock County","141","1410","Hancock",13330
"G1301570","1810","Georgia","13","130","Jackson County","157","1570","Jackson",10569
"G1301630","1810","Georgia","13","130","Jefferson County","163","1630","Jefferson",6111
"G1301690","1810","Georgia","13","130","Jones County","169","1690","Jones",8597
"G1301750","1810","Georgia","13","130","Laurens County","175","1750","Laurens",2210
"G1301790","1810","Georgia","13","130","Liberty County","179","1790","Liberty",6228
"G1301810","1810","Georgia","13","130","Lincoln County","181","1810","Lincoln",4555
"G1301910","1810","Georgia","13","130","McIntosh County","191","1910","Mcintosh",3739
"G1302090","1810","Georgia","13","130","Montgomery County","209","2090","Montgomery",2954
"G1302110","1810","Georgia","13","130","Morgan County","211","2110","Morgan",8369
"G1302210","1810","Georgia","13","130","Oglethorpe County","221","2210","Oglethorpe",12297
"G1302350","1810","Georgia","13","130","Pulaski County","235","2350","Pulaski",2093
"G1302370","1810","Georgia","13","130","Putnam County","237","2370","Putnam",10029
"G1302435","1810","Georgia","13","130","Randolph County (old)",,"2435","Randolph (old)",7573
"G1302450","1810","Georgia","13","130","Richmond County","245","2450","Richmond",6189
"G1302510","1810","Georgia","13","130","Screven County","251","2510","Screven",4477
"G1302670","1810","Georgia","13","130","Tattnall County","267","2670","Tattnall",2206
"G1302710","1810","Georgia","13","130","Telfair County","271","2710","Telfair",744
"G1302890","1810","Georgia","13","130","Twiggs County","289","2890","Twiggs",3405
"G1302970","1810","Georgia","13","130","Walton County","297","2970","Walton",1026
"G1303010","1810","Georgia","13","130","Warren County","301","3010","Warren",8725
"G1303030","1810","Georgia","13","130","Washington County","303","3030","Washington",9940
"G1303050","1810","Georgia","13","130","Wayne County","305","3050","Wayne",676
"G1303170","1810","Georgia","13","130","Wilkes County","317","3170","Wilkes",14887
"G1303190","1810","Georgia","13","130","Wilkinson County","319","3190","Wilkinson",2154
"G1750115","1810","Illinois Territory",,"175","Randolph County",,"0115","Randolph",7275
"G1750135","1810","Illinois Territory",,"175","St Clair County",,"0135","St Clair",5007
"G1850035","1810","Indiana Territory",,"185","Clark County",,"0035","Clark",5670
"G1850075","1810","Indiana Territory",,"185","Dearborn County",,"0075","Dearborn",7310
"G1850095","1810","Indiana Territory",,"185","Harrison County",,"0095","Harrison",3595
"G1850115","1810","Indiana Territory",,"185","Knox County",,"0115","Knox",7945
"G2100010","1810","Kentucky","21","210","Adair County","001","0010","Adair",6011
"G2100090","1810","Kentucky","21","210","Barren County","009","0090","Barren",11286
"G2100150","1810","Kentucky","21","210","Boone County","015","0150","Boone",3608
"G2100170","1810","Kentucky","21","210","Bourbon County","017","0170","Bourbon",18009
"G2100230","1810","Kentucky","21","210","Bracken County","023","0230","Bracken",3706
"G2100270","1810","Kentucky","21","210","Breckinridge County","027","0270","Breckinridge",3430
"G2100290","1810","Kentucky","21","210","Bullitt County","029","0290","Bullitt",4311
"G2100310","1810","Kentucky","21","210","Butler County","031","0310","Butler",2181
"G2100330","1810","Kentucky","21","210","Caldwell County","033","0330","Caldwell",4268
"G2100370","1810","Kentucky","21","210","Campbell County","037","0370","Campbell",3473
"G2100450","1810","Kentucky","21","210","Casey County","045","0450","Casey",3285
"G2100470","1810","Kentucky","21","210","Christian County","047","0470","Christian",11020
"G2100490","1810","Kentucky","21","210","Clark County","049","0490","Clark",11519
"G2100510","1810","Kentucky","21","210","Clay County","051","0510","Clay",2398
"G2100570","1810","Kentucky","21","210","Cumberland County","057","0570","Cumberland",6191
"G2100650","1810","Kentucky","21","210","Estill County","065","0650","Estill",2082
"G2100670","1810","Kentucky","21","210","Fayette County","067","0670","Fayette",21370
"G2100690","1810","Kentucky","21","210","Fleming County","069","0690","Fleming",8947
"G2100710","1810","Kentucky","21","210","Floyd County","071","0710","Floyd",3485
"G2100730","1810","Kentucky","21","210","Franklin County","073","0730","Franklin",8013
"G2100770","1810","Kentucky","21","210","Gallatin County","077","0770","Gallatin",3307
"G2100790","1810","Kentucky","21","210","Garrard County","079","0790","Garrard",9186
"G2100850","1810","Kentucky","21","210","Grayson County","085","0850","Grayson",2301
"G2100870","1810","Kentucky","21","210","Green County","087","0870","Green",6735
"G2100890","1810","Kentucky","21","210","Greenup County","089","0890","Greenup",2369
"G2100930","1810","Kentucky","21","210","Hardin County","093","0930","Hardin",7531
"G2100970","1810","Kentucky","21","210","Harrison County","097","0970","Harrison",7752
"G2101010","1810","Kentucky","21","210","Henderson County","101","1010","Henderson",4703
"G2101030","1810","Kentucky","21","210","Henry County","103","1030","Henry",6777
"G2101070","1810","Kentucky","21","210","Hopkins County","107","1070","Hopkins",2964
"G2101110","1810","Kentucky","21","210","Jefferson County","111","1110","Jefferson",13399
"G2101130","1810","Kentucky","21","210","Jessamine County","113","1130","Jessamine",8377
"G2101210","1810","Kentucky","21","210","Knox County","121","1210","Knox",5875
"G2101350","1810","Kentucky","21","210","Lewis County","135","1350","Lewis",2357
"G2101370","1810","Kentucky","21","210","Lincoln County","137","1370","Lincoln",8676
"G2101390","1810","Kentucky","21","210","Livingston County","139","1390","Livingston",3674
"G2101410","1810","Kentucky","21","210","Logan County","141","1410","Logan",12123
"G2101510","1810","Kentucky","21","210","Madison County","151","1510","Madison",15540
"G2101610","1810","Kentucky","21","210","Mason County","161","1610","Mason",12459
