GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1850,A08AA1850,A08AB1850
"G0100010","1850","Alabama","01","010","Autauga County","001","0010","Autauga",15023,7590,7433
"G0100030","1850","Alabama","01","010","Baldwin County","003","0030","Baldwin",4414,2419,1995
"G0100050","1850","Alabama","01","010","Barbour County","005","0050","Barbour",23632,11872,11760
"G0100055","1850","Alabama","01","010","Benton County",,"0055","Benton",17163,8710,8453
"G0100070","1850","Alabama","01","010","Bibb County","007","0070","Bibb",9969,5095,4874
"G0100090","1850","Alabama","01","010","Blount County","009","0090","Blount",7367,3719,3648
"G0100130","1850","Alabama","01","010","Butler County","013","0130","Butler",10836,5424,5412
"G0100170","1850","Alabama","01","010","Chambers County","017","0170","Chambers",23960,12173,11787
"G0100190","1850","Alabama","01","010","Cherokee County","019","0190","Cherokee",13884,7007,6877
"G0100230","1850","Alabama","01","010","Choctaw County","023","0230","Choctaw",8389,4407,3982
"G0100250","1850","Alabama","01","010","Clarke County","025","0250","Clarke",9786,5021,4765
"G0100310","1850","Alabama","01","010","Coffee County","031","0310","Coffee",5940,3046,2894
"G0100350","1850","Alabama","01","010","Conecuh County","035","0350","Conecuh",9322,4630,4692
"G0100370","1850","Alabama","01","010","Coosa County","037","0370","Coosa",14543,7389,7154
"G0100390","1850","Alabama","01","010","Covington County","039","0390","Covington",3645,1781,1864
"G0100450","1850","Alabama","01","010","Dale County","045","0450","Dale",6382,3301,3081
"G0100470","1850","Alabama","01","010","Dallas County","047","0470","Dallas",29727,15098,14629
"G0100490","1850","Alabama","01","010","DeKalb County","049","0490","Dekalb",8245,4118,4127
"G0100570","1850","Alabama","01","010","Fayette County","057","0570","Fayette",9681,4954,4727
"G0100590","1850","Alabama","01","010","Franklin County","059","0590","Franklin",19610,10051,9559
"G0100630","1850","Alabama","01","010","Greene County","063","0630","Greene",31441,15960,15481
