GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1820,A08AA1820,A08AB1820
"G0100010","1820","Alabama","01","010","Autauga County","001","0010","Autauga",3853,2041,1812
"G0100030","1820","Alabama","01","010","Baldwin County","003","0030","Baldwin",1713,907,806
"G0100090","1820","Alabama","01","010","Blount County","009","0090","Blount",2415,1228,1187
"G0100130","1820","Alabama","01","010","Butler County","013","0130","Butler",1405,730,675
"G0100135","1820","Alabama","01","010","Cahawba County",,"0135","Cahawba",3676,1924,1752
"G0100250","1820","Alabama","01","010","Clarke County","025","0250","Clarke",5839,3054,2785
"G0100350","1820","Alabama","01","010","Conecuh County","035","0350","Conecuh",5713,3000,2713
"G0100375","1820","Alabama","01","010","Cotaco County",,"0375","Cotaco",5263,2681,2582
"G0100470","1820","Alabama","01","010","Dallas County","047","0470","Dallas",6003,3250,2753
"G0100590","1820","Alabama","01","010","Franklin County","059","0590","Franklin",4988,2671,2317
"G0100630","1820","Alabama","01","010","Greene County","063","0630","Greene",4554,2378,2176
"G0100670","1820","Alabama","01","010","Henry County","067","0670","Henry",2638,1460,1178
"G0100710","1820","Alabama","01","010","Jackson County","071","0710","Jackson",8751,4540,4211
"G0100770","1820","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",4963,2698,2265
"G0100790","1820","Alabama","01","010","Lawrence County","079","0790","Lawrence",8652,4571,4081
"G0100830","1820","Alabama","01","010","Limestone County","083","0830","Limestone",9871,5168,4703
"G0100890","1820","Alabama","01","010","Madison County","089","0890","Madison",17481,9418,8063
"G0100910","1820","Alabama","01","010","Marengo County","091","0910","Marengo",2933,1575,1358
"G0100970","1820","Alabama","01","010","Mobile County","097","0970","Mobile",2672,1637,1035
"G0100990","1820","Alabama","01","010","Monroe County","099","0990","Monroe",8838,4652,4186
"G0101010","1820","Alabama","01","010","Montgomery County","101","1010","Montgomery",6604,3517,3087
"G0101050","1820","Alabama","01","010","Perry County","105","1050","Perry",3646,1943,1703
"G0101150","1820","Alabama","01","010","St. Clair County","115","1150","St Clair",4166,2201,1965
"G0101170","1820","Alabama","01","010","Shelby County","117","1170","Shelby",2416,1266,1150
"G0101250","1820","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",8229,4277,3952
"G0101290","1820","Alabama","01","010","Washington County","129","1290","Washington",4118,2373,1745
"G0101310","1820","Alabama","01","010","Wilcox County","131","1310","Wilcox",2917,1664,1253
"G0550015","1820","Arkansas Territory",,"055","Arkansas County",,"0015","Arkansas",1260,733,527
"G0550055","1820","Arkansas Territory",,"055","Clark County",,"0055","Clark",1040,559,481
"G0550135","1820","Arkansas Territory",,"055","Hempstead County",,"0135","Hempstead",2248,1184,1062
"G0550275","1820","Arkansas Territory",,"055","Lawrence County",,"0275","Lawrence",5602,3021,2571
"G0550295","1820","Arkansas Territory",,"055","Miller County",,"0295","Miller",999,558,441
"G0550335","1820","Arkansas Territory",,"055","Phillips County",,"0335","Phillips",1201,674,523
"G0550375","1820","Arkansas Territory",,"055","Pulaski County",,"0375","Pulaski",1923,1106,815
"G0900010","1820","Connecticut","09","090","Fairfield County","001","0010","Fairfield",42739,21189,21545
"G0900030","1820","Connecticut","09","090","Hartford County","003","0030","Hartford",47264,23239,24025
"G0900050","1820","Connecticut","09","090","Litchfield County","005","0050","Litchfield",41267,20314,20859
"G0900070","1820","Connecticut","09","090","Middlesex County","007","0070","Middlesex",22405,10824,11580
