GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1890,A08AA1890,A08AB1890
"G0100010","1890","Alabama","01","010","Autauga County","001","0010","Autauga",13330,6578,6752
"G0100030","1890","Alabama","01","010","Baldwin County","003","0030","Baldwin",8941,4553,4388
"G0100050","1890","Alabama","01","010","Barbour County","005","0050","Barbour",34898,16490,18408
"G0100070","1890","Alabama","01","010","Bibb County","007","0070","Bibb",13824,7122,6702
"G0100090","1890","Alabama","01","010","Blount County","009","0090","Blount",21927,11176,10751
"G0100110","1890","Alabama","01","010","Bullock County","011","0110","Bullock",27063,13281,13782
"G0100130","1890","Alabama","01","010","Butler County","013","0130","Butler",21641,10639,11002
"G0100150","1890","Alabama","01","010","Calhoun County","015","0150","Calhoun",33835,17486,16349
"G0100170","1890","Alabama","01","010","Chambers County","017","0170","Chambers",26319,13013,13306
"G0100190","1890","Alabama","01","010","Cherokee County","019","0190","Cherokee",20459,10353,10106
"G0100210","1890","Alabama","01","010","Chilton County","021","0210","Chilton",14549,7432,7117
"G0100230","1890","Alabama","01","010","Choctaw County","023","0230","Choctaw",17526,8770,8756
"G0100250","1890","Alabama","01","010","Clarke County","025","0250","Clarke",22624,11469,11155
"G0100270","1890","Alabama","01","010","Clay County","027","0270","Clay",15765,7834,7931
"G0100290","1890","Alabama","01","010","Cleburne County","029","0290","Cleburne",13218,6556,6662
"G0100310","1890","Alabama","01","010","Coffee County","031","0310","Coffee",12170,6076,6094
"G0100330","1890","Alabama","01","010","Colbert County","033","0330","Colbert",20189,10242,9947
"G0100350","1890","Alabama","01","010","Conecuh County","035","0350","Conecuh",14594,7301,7293
"G0100370","1890","Alabama","01","010","Coosa County","037","0370","Coosa",15906,7955,7951
"G0100390","1890","Alabama","01","010","Covington County","039","0390","Covington",7536,3754,3782
"G0100410","1890","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",15425,7643,7782
"G0100430","1890","Alabama","01","010","Cullman County","043","0430","Cullman",13439,6828,6611
"G0100450","1890","Alabama","01","010","Dale County","045","0450","Dale",17225,8673,8552
"G0100470","1890","Alabama","01","010","Dallas County","047","0470","Dallas",49350,23901,25449
"G0100490","1890","Alabama","01","010","DeKalb County","049","0490","Dekalb",21106,10826,10280
"G0100510","1890","Alabama","01","010","Elmore County","051","0510","Elmore",21732,10866,10866
"G0100530","1890","Alabama","01","010","Escambia County","053","0530","Escambia",8666,4448,4218
"G0100550","1890","Alabama","01","010","Etowah County","055","0550","Etowah",21926,11182,10744
"G0100570","1890","Alabama","01","010","Fayette County","057","0570","Fayette",12823,6367,6456
"G0100590","1890","Alabama","01","010","Franklin County","059","0590","Franklin",10681,5317,5364
"G0100610","1890","Alabama","01","010","Geneva County","061","0610","Geneva",10690,5392,5298
"G0100630","1890","Alabama","01","010","Greene County","063","0630","Greene",22007,10695,11312
"G0100650","1890","Alabama","01","010","Hale County","065","0650","Hale",27501,13693,13808
"G0100670","1890","Alabama","01","010","Henry County","067","0670","Henry",24847,12557,12290
"G0100710","1890","Alabama","01","010","Jackson County","071","0710","Jackson",28026,14199,13827
"G0100730","1890","Alabama","01","010","Jefferson County","073","0730","Jefferson",88501,48702,39799
"G0100750","1890","Alabama","01","010","Lamar County","075","0750","Lamar",14187,7012,7175
"G0100770","1890","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",23739,12140,11599
"G0100790","1890","Alabama","01","010","Lawrence County","079","0790","Lawrence",20725,10229,10496
"G0100810","1890","Alabama","01","010","Lee County","081","0810","Lee",28694,13928,14766
"G0100830","1890","Alabama","01","010","Limestone County","083","0830","Limestone",21201,10613,10588
"G0100850","1890","Alabama","01","010","Lowndes County","085","0850","Lowndes",31550,15857,15693
"G0100870","1890","Alabama","01","010","Macon County","087","0870","Macon",18439,9051,9388
"G0100890","1890","Alabama","01","010","Madison County","089","0890","Madison",38119,18878,19241
"G0100910","1890","Alabama","01","010","Marengo County","091","0910","Marengo",33095,16296,16799
"G0100930","1890","Alabama","01","010","Marion County","093","0930","Marion",11347,5691,5656
"G0100950","1890","Alabama","01","010","Marshall County","095","0950","Marshall",18935,9605,9330
"G0100970","1890","Alabama","01","010","Mobile County","097","0970","Mobile",51587,24683,26904
"G0100990","1890","Alabama","01","010","Monroe County","099","0990","Monroe",18990,9380,9610
"G0101010","1890","Alabama","01","010","Montgomery County","101","1010","Montgomery",56172,27057,29115
"G0101030","1890","Alabama","01","010","Morgan County","103","1030","Morgan",24089,12269,11820
"G0101050","1890","Alabama","01","010","Perry County","105","1050","Perry",29332,14319,15013
"G0101070","1890","Alabama","01","010","Pickens County","107","1070","Pickens",22470,11192,11278
"G0101090","1890","Alabama","01","010","Pike County","109","1090","Pike",24423,12083,12340
"G0101110","1890","Alabama","01","010","Randolph County","111","1110","Randolph",17219,8560,8659
"G0101130","1890","Alabama","01","010","Russell County","113","1130","Russell",24093,11561,12532
"G0101150","1890","Alabama","01","010","St. Clair County","115","1150","St Clair",17353,8843,8510
"G0101170","1890","Alabama","01","010","Shelby County","117","1170","Shelby",20886,10952,9934
"G0101190","1890","Alabama","01","010","Sumter County","119","1190","Sumter",29574,14457,15117
"G0101210","1890","Alabama","01","010","Talladega County","121","1210","Talladega",29346,14832,14514
"G0101230","1890","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",25460,12670,12790
"G0101250","1890","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",30352,15016,15336
"G0101270","1890","Alabama","01","010","Walker County","127","1270","Walker",16078,8391,7687
"G0101290","1890","Alabama","01","010","Washington County","129","1290","Washington",7935,4149,3786
"G0101310","1890","Alabama","01","010","Wilcox County","131","1310","Wilcox",30816,15114,15702
"G0101330","1890","Alabama","01","010","Winston County","133","1330","Winston",6552,3259,3293
"G0250055","1890","Alaska Territory",,"025","Northern District",,"0055","Northern District",7134,4008,3126
"G0250095","1890","Alaska Territory",,"025","Southern District",,"0095","Southern District",24918,15240,9678
"G0450015","1890","Arizona Territory",,"045","Apache County",,"0015","Apache",4281,2457,1824
"G0450035","1890","Arizona Territory",,"045","Cochise County",,"0035","Cochise",6938,4516,2422
"G0450075","1890","Arizona Territory",,"045","Gila County",,"0075","Gila",2021,1375,646
"G0450095","1890","Arizona Territory",,"045","Graham County",,"0095","Graham",5670,3485,2185
"G0450135","1890","Arizona Territory",,"045","Maricopa County",,"0135","Maricopa",10986,6393,4593
"G0450155","1890","Arizona Territory",,"045","Mohave County",,"0155","Mohave",1444,1045,399
"G0450195","1890","Arizona Territory",,"045","Pima County",,"0195","Pima",12673,7128,5545
"G0450215","1890","Arizona Territory",,"045","Pinal County",,"0215","Pinal",4251,2487,1764
"G0450255","1890","Arizona Territory",,"045","Yavapai County",,"0255","Yavapai",8685,6061,2624
"G0450275","1890","Arizona Territory",,"045","Yuma County",,"0275","Yuma",2671,1624,1047
"G0500010","1890","Arkansas","05","050","Arkansas County","001","0010","Arkansas",11432,5997,5435
"G0500030","1890","Arkansas","05","050","Ashley County","003","0030","Ashley",13295,6768,6527
"G0500050","1890","Arkansas","05","050","Baxter County","005","0050","Baxter",8527,4423,4104
"G0500070","1890","Arkansas","05","050","Benton County","007","0070","Benton",27716,13922,13794
"G0500090","1890","Arkansas","05","050","Boone County","009","0090","Boone",15816,7917,7899
"G0500110","1890","Arkansas","05","050","Bradley County","011","0110","Bradley",7972,4035,3937
"G0500130","1890","Arkansas","05","050","Calhoun County","013","0130","Calhoun",7267,3793,3474
"G0500150","1890","Arkansas","05","050","Carroll County","015","0150","Carroll",17288,8731,8557
