GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1870,A08AA1870,A08AB1870
"G0100010","1870","Alabama","01","010","Autauga County","001","0010","Autauga",11623,5656,5967
"G0100015","1870","Alabama","01","010","Baker County",,"0015","Baker",6194,3061,3133
"G0100030","1870","Alabama","01","010","Baldwin County","003","0030","Baldwin",6004,3085,2919
"G0100050","1870","Alabama","01","010","Barbour County","005","0050","Barbour",29309,14258,15051
"G0100070","1870","Alabama","01","010","Bibb County","007","0070","Bibb",7469,3680,3789
"G0100090","1870","Alabama","01","010","Blount County","009","0090","Blount",9945,4863,5082
"G0100110","1870","Alabama","01","010","Bullock County","011","0110","Bullock",24474,12295,12179
"G0100130","1870","Alabama","01","010","Butler County","013","0130","Butler",14981,7266,7715
"G0100150","1870","Alabama","01","010","Calhoun County","015","0150","Calhoun",13980,6815,7165
"G0100170","1870","Alabama","01","010","Chambers County","017","0170","Chambers",17562,8459,9103
"G0100190","1870","Alabama","01","010","Cherokee County","019","0190","Cherokee",11132,5276,5856
"G0100230","1870","Alabama","01","010","Choctaw County","023","0230","Choctaw",12676,6260,6416
"G0100250","1870","Alabama","01","010","Clarke County","025","0250","Clarke",14663,7283,7380
"G0100270","1870","Alabama","01","010","Clay County","027","0270","Clay",9560,4585,4975
"G0100290","1870","Alabama","01","010","Cleburne County","029","0290","Cleburne",8017,3847,4170
"G0100310","1870","Alabama","01","010","Coffee County","031","0310","Coffee",6171,3036,3135
"G0100330","1870","Alabama","01","010","Colbert County","033","0330","Colbert",12537,6179,6358
"G0100350","1870","Alabama","01","010","Conecuh County","035","0350","Conecuh",9574,4643,4931
"G0100370","1870","Alabama","01","010","Coosa County","037","0370","Coosa",11945,5722,6223
"G0100390","1870","Alabama","01","010","Covington County","039","0390","Covington",4868,2333,2535
"G0100410","1870","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",11156,5438,5718
"G0100450","1870","Alabama","01","010","Dale County","045","0450","Dale",11325,5517,5808
"G0100470","1870","Alabama","01","010","Dallas County","047","0470","Dallas",40705,20026,20679
"G0100490","1870","Alabama","01","010","DeKalb County","049","0490","Dekalb",7126,3541,3585
"G0100510","1870","Alabama","01","010","Elmore County","051","0510","Elmore",14477,7195,7282
"G0100530","1870","Alabama","01","010","Escambia County","053","0530","Escambia",4041,2026,2015
"G0100550","1870","Alabama","01","010","Etowah County","055","0550","Etowah",10109,4986,5123
"G0100570","1870","Alabama","01","010","Fayette County","057","0570","Fayette",7136,3422,3714
"G0100590","1870","Alabama","01","010","Franklin County","059","0590","Franklin",8006,3930,4076
"G0100610","1870","Alabama","01","010","Geneva County","061","0610","Geneva",2959,1426,1533
"G0100630","1870","Alabama","01","010","Greene County","063","0630","Greene",18399,9101,9298
"G0100650","1870","Alabama","01","010","Hale County","065","0650","Hale",21792,10958,10834
"G0100670","1870","Alabama","01","010","Henry County","067","0670","Henry",14191,6840,7351
"G0100710","1870","Alabama","01","010","Jackson County","071","0710","Jackson",19410,9560,9850
"G0100730","1870","Alabama","01","010","Jefferson County","073","0730","Jefferson",12345,5919,6426
"G0100770","1870","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",15091,7383,7708
"G0100790","1870","Alabama","01","010","Lawrence County","079","0790","Lawrence",16658,8210,8448
"G0100810","1870","Alabama","01","010","Lee County","081","0810","Lee",21750,10651,11099
"G0100830","1870","Alabama","01","010","Limestone County","083","0830","Limestone",15017,7385,7632
"G0100850","1870","Alabama","01","010","Lowndes County","085","0850","Lowndes",25719,12783,12936
"G0100870","1870","Alabama","01","010","Macon County","087","0870","Macon",17727,8785,8942
"G0100890","1870","Alabama","01","010","Madison County","089","0890","Madison",31267,15273,15994
"G0100910","1870","Alabama","01","010","Marengo County","091","0910","Marengo",26151,12896,13255
"G0100930","1870","Alabama","01","010","Marion County","093","0930","Marion",6059,2880,3179
"G0100950","1870","Alabama","01","010","Marshall County","095","0950","Marshall",9871,4720,5151
"G0100970","1870","Alabama","01","010","Mobile County","097","0970","Mobile",49311,23936,25375
"G0100990","1870","Alabama","01","010","Monroe County","099","0990","Monroe",14214,6951,7263
"G0101010","1870","Alabama","01","010","Montgomery County","101","1010","Montgomery",43704,21515,22189
"G0101030","1870","Alabama","01","010","Morgan County","103","1030","Morgan",12187,6061,6126
"G0101050","1870","Alabama","01","010","Perry County","105","1050","Perry",24975,12236,12739
"G0101070","1870","Alabama","01","010","Pickens County","107","1070","Pickens",17690,8530,9160
"G0101090","1870","Alabama","01","010","Pike County","109","1090","Pike",17423,8548,8875
"G0101110","1870","Alabama","01","010","Randolph County","111","1110","Randolph",12006,5730,6276
"G0101130","1870","Alabama","01","010","Russell County","113","1130","Russell",21636,10892,10744
"G0101150","1870","Alabama","01","010","St. Clair County","115","1150","St Clair",9360,4646,4714
"G0101155","1870","Alabama","01","010","Sanford County",,"1155","Sanford",8893,4315,4578
"G0101170","1870","Alabama","01","010","Shelby County","117","1170","Shelby",12218,5989,6229
"G0101190","1870","Alabama","01","010","Sumter County","119","1190","Sumter",24109,11997,12112
"G0101210","1870","Alabama","01","010","Talladega County","121","1210","Talladega",18064,8706,9358
"G0101230","1870","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",16963,8253,8710
"G0101250","1870","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",20081,9810,10271
"G0101270","1870","Alabama","01","010","Walker County","127","1270","Walker",6543,3171,3372
"G0101290","1870","Alabama","01","010","Washington County","129","1290","Washington",3912,1930,1982
"G0101310","1870","Alabama","01","010","Wilcox County","131","1310","Wilcox",28377,14047,14330
"G0101330","1870","Alabama","01","010","Winston County","133","1330","Winston",4155,2022,2133
"G0450155","1870","Arizona Territory",,"045","Mohave County",,"0155","Mohave",179,162,17
"G0450177","1870","Arizona Territory",,"045","Pah-Ute County",,"0177","Pah-Ute",,,
"G0450195","1870","Arizona Territory",,"045","Pima County",,"0195","Pima",5716,3855,1861
"G0450255","1870","Arizona Territory",,"045","Yavapai County",,"0255","Yavapai",2142,1829,313
"G0450275","1870","Arizona Territory",,"045","Yuma County",,"0275","Yuma",1621,1041,580
"G0500010","1870","Arkansas","05","050","Arkansas County","001","0010","Arkansas",8268,4328,3940
"G0500030","1870","Arkansas","05","050","Ashley County","003","0030","Ashley",8042,3990,4052
"G0500070","1870","Arkansas","05","050","Benton County","007","0070","Benton",13831,7023,6808
"G0500090","1870","Arkansas","05","050","Boone County","009","0090","Boone",7032,3555,3477
"G0500110","1870","Arkansas","05","050","Bradley County","011","0110","Bradley",8646,4340,4306
"G0500130","1870","Arkansas","05","050","Calhoun County","013","0130","Calhoun",3853,2007,1846
"G0500150","1870","Arkansas","05","050","Carroll County","015","0150","Carroll",5780,2887,2893
"G0500170","1870","Arkansas","05","050","Chicot County","017","0170","Chicot",7214,3755,3459
"G0500190","1870","Arkansas","05","050","Clark County","019","0190","Clark",11953,6016,5937
"G0500270","1870","Arkansas","05","050","Columbia County","027","0270","Columbia",11397,5948,5449
"G0500290","1870","Arkansas","05","050","Conway County","029","0290","Conway",8112,4097,4015
"G0500310","1870","Arkansas","05","050","Craighead County","031","0310","Craighead",4577,2298,2279
"G0500330","1870","Arkansas","05","050","Crawford County","033","0330","Crawford",8957,4580,4377
"G0500350","1870","Arkansas","05","050","Crittenden County","035","0350","Crittenden",3831,2113,1718
"G0500370","1870","Arkansas","05","050","Cross County","037","0370","Cross",3915,2001,1914
"G0500390","1870","Arkansas","05","050","Dallas County","039","0390","Dallas",5707,2820,2887
"G0500410","1870","Arkansas","05","050","Desha County","041","0410","Desha",6125,3449,2676
"G0500430","1870","Arkansas","05","050","Drew County","043","0430","Drew",9960,4957,5003
"G0500470","1870","Arkansas","05","050","Franklin County","047","0470","Franklin",9627,5003,4624
"G0500490","1870","Arkansas","05","050","Fulton County","049","0490","Fulton",4843,2401,2442
"G0500530","1870","Arkansas","05","050","Grant County","053","0530","Grant",3943,1949,1994
"G0500550","1870","Arkansas","05","050","Greene County","055","0550","Greene",7573,3773,3800
"G0500570","1870","Arkansas","05","050","Hempstead County","057","0570","Hempstead",13768,7121,6647
"G0500590","1870","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring",5877,3049,2828
"G0500630","1870","Arkansas","05","050","Independence County","063","0630","Independence",14566,7378,7188
"G0500650","1870","Arkansas","05","050","Izard County","065","0650","Izard",6806,3397,3409
"G0500670","1870","Arkansas","05","050","Jackson County","067","0670","Jackson",7268,3805,3463
"G0500690","1870","Arkansas","05","050","Jefferson County","069","0690","Jefferson",15733,8198,7535
"G0500710","1870","Arkansas","05","050","Johnson County","071","0710","Johnson",9152,4683,4469
"G0500730","1870","Arkansas","05","050","Lafayette County","073","0730","Lafayette",9139,4738,4401
"G0500750","1870","Arkansas","05","050","Lawrence County","075","0750","Lawrence",5981,3008,2973
"G0500810","1870","Arkansas","05","050","Little River County","081","0810","Little River",3236,1637,1599
"G0500870","1870","Arkansas","05","050","Madison County","087","0870","Madison",8231,4161,4070
"G0500890","1870","Arkansas","05","050","Marion County","089","0890","Marion",3979,2049,1930
"G0500930","1870","Arkansas","05","050","Mississippi County","093","0930","Mississippi",3633,1941,1692
"G0500950","1870","Arkansas","05","050","Monroe County","095","0950","Monroe",8336,4399,3937
"G0500970","1870","Arkansas","05","050","Montgomery County","097","0970","Montgomery",2984,1466,1518
"G0501010","1870","Arkansas","05","050","Newton County","101","1010","Newton",4374,2143,2231
"G0501030","1870","Arkansas","05","050","Ouachita County","103","1030","Ouachita",12975,6542,6433
"G0501050","1870","Arkansas","05","050","Perry County","105","1050","Perry",2685,1391,1294
"G0501070","1870","Arkansas","05","050","Phillips County","107","1070","Phillips",15372,8025,7347
"G0501090","1870","Arkansas","05","050","Pike County","109","1090","Pike",3788,1917,1871
