GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1930,A08AA1930,A08AB1930
"G0100010","1930","Alabama","01","010","Autauga County","001","0010","Autauga",19694,9812,9882
"G0100030","1930","Alabama","01","010","Baldwin County","003","0030","Baldwin",28289,14585,13704
"G0100050","1930","Alabama","01","010","Barbour County","005","0050","Barbour",32425,15786,16639
"G0100070","1930","Alabama","01","010","Bibb County","007","0070","Bibb",20780,10814,9966
"G0100090","1930","Alabama","01","010","Blount County","009","0090","Blount",28020,14376,13644
"G0100110","1930","Alabama","01","010","Bullock County","011","0110","Bullock",20016,9588,10428
"G0100130","1930","Alabama","01","010","Butler County","013","0130","Butler",30195,14614,15581
"G0100150","1930","Alabama","01","010","Calhoun County","015","0150","Calhoun",55611,27597,28014
"G0100170","1930","Alabama","01","010","Chambers County","017","0170","Chambers",39313,19195,20118
"G0100190","1930","Alabama","01","010","Cherokee County","019","0190","Cherokee",20219,10257,9962
"G0100210","1930","Alabama","01","010","Chilton County","021","0210","Chilton",24579,12457,12122
"G0100230","1930","Alabama","01","010","Choctaw County","023","0230","Choctaw",20513,10492,10021
"G0100250","1930","Alabama","01","010","Clarke County","025","0250","Clarke",26016,13164,12852
"G0100270","1930","Alabama","01","010","Clay County","027","0270","Clay",17768,8963,8805
"G0100290","1930","Alabama","01","010","Cleburne County","029","0290","Cleburne",12877,6554,6323
"G0100310","1930","Alabama","01","010","Coffee County","031","0310","Coffee",32556,16401,16155
"G0100330","1930","Alabama","01","010","Colbert County","033","0330","Colbert",29860,14810,15050
"G0100350","1930","Alabama","01","010","Conecuh County","035","0350","Conecuh",25429,12688,12741
"G0100370","1930","Alabama","01","010","Coosa County","037","0370","Coosa",12460,6354,6106
"G0100390","1930","Alabama","01","010","Covington County","039","0390","Covington",41356,20636,20720
"G0100410","1930","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",23656,11776,11880
"G0100430","1930","Alabama","01","010","Cullman County","043","0430","Cullman",41051,20844,20207
"G0100450","1930","Alabama","01","010","Dale County","045","0450","Dale",23175,11524,11651
"G0100470","1930","Alabama","01","010","Dallas County","047","0470","Dallas",55094,26084,29010
"G0100490","1930","Alabama","01","010","DeKalb County","049","0490","Dekalb",40104,20139,19965
"G0100510","1930","Alabama","01","010","Elmore County","051","0510","Elmore",34280,17578,16702
"G0100530","1930","Alabama","01","010","Escambia County","053","0530","Escambia",27963,14406,13557
"G0100550","1930","Alabama","01","010","Etowah County","055","0550","Etowah",63399,31966,31433
"G0100570","1930","Alabama","01","010","Fayette County","057","0570","Fayette",18443,9238,9205
"G0100590","1930","Alabama","01","010","Franklin County","059","0590","Franklin",25372,12905,12467
"G0100610","1930","Alabama","01","010","Geneva County","061","0610","Geneva",30104,15050,15054
"G0100630","1930","Alabama","01","010","Greene County","063","0630","Greene",19745,9729,10016
"G0100650","1930","Alabama","01","010","Hale County","065","0650","Hale",26265,12909,13356
"G0100670","1930","Alabama","01","010","Henry County","067","0670","Henry",22820,11268,11552
"G0100690","1930","Alabama","01","010","Houston County","069","0690","Houston",45935,22820,23115
"G0100710","1930","Alabama","01","010","Jackson County","071","0710","Jackson",36881,18801,18080
"G0100730","1930","Alabama","01","010","Jefferson County","073","0730","Jefferson",431493,212586,218907
"G0100750","1930","Alabama","01","010","Lamar County","075","0750","Lamar",18001,9159,8842
"G0100770","1930","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",41130,20199,20931
"G0100790","1930","Alabama","01","010","Lawrence County","079","0790","Lawrence",26942,13629,13313
"G0100810","1930","Alabama","01","010","Lee County","081","0810","Lee",36063,17451,18612
"G0100830","1930","Alabama","01","010","Limestone County","083","0830","Limestone",36629,18414,18215
"G0100850","1930","Alabama","01","010","Lowndes County","085","0850","Lowndes",22878,11103,11775
"G0100870","1930","Alabama","01","010","Macon County","087","0870","Macon",27103,13578,13525
"G0100890","1930","Alabama","01","010","Madison County","089","0890","Madison",64623,32024,32599
"G0100910","1930","Alabama","01","010","Marengo County","091","0910","Marengo",36426,17875,18551
"G0100930","1930","Alabama","01","010","Marion County","093","0930","Marion",25967,13195,12772
"G0100950","1930","Alabama","01","010","Marshall County","095","0950","Marshall",39802,20061,19741
"G0100970","1930","Alabama","01","010","Mobile County","097","0970","Mobile",118363,57697,60666
"G0100990","1930","Alabama","01","010","Monroe County","099","0990","Monroe",30070,15154,14916
"G0101010","1930","Alabama","01","010","Montgomery County","101","1010","Montgomery",98671,47527,51144
"G0101030","1930","Alabama","01","010","Morgan County","103","1030","Morgan",46176,23122,23054
"G0101050","1930","Alabama","01","010","Perry County","105","1050","Perry",26385,12852,13533
"G0101070","1930","Alabama","01","010","Pickens County","107","1070","Pickens",24902,12406,12496
"G0101090","1930","Alabama","01","010","Pike County","109","1090","Pike",32240,15856,16384
"G0101110","1930","Alabama","01","010","Randolph County","111","1110","Randolph",26861,13416,13445
