GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B5S001,B5S002,B5S003,B5S004,B5S005,B5S006,B5S007,B5S008,B5S009,B5S010,B5S011,B5S012,B5S013,B5S014
"G1701510","1960","Illinois","170","Pope","1510","Pope",2042,40,0,0,0,0,0,1948,30,1,0,0,0,0
"G1701530","1960","Illinois","170","Pulaski","1530","Pulaski",3300,1811,0,0,0,0,0,3390,1988,1,0,0,0,0
"G1701550","1960","Illinois","170","Putnam","1550","Putnam",2367,7,0,0,0,0,0,2190,5,1,0,0,0,0
"G1701570","1960","Illinois","170","Randolph","1570","Randolph",14909,1161,2,1,2,0,1,13614,292,2,2,0,0,2
"G1701590","1960","Illinois","170","Richland","1590","Richland",7860,14,0,0,0,0,0,8411,13,0,1,0,0,0
"G1701610","1960","Illinois","170","Rock Island","1610","Rock Island",72259,2197,14,1,12,5,6,74364,2093,17,12,7,1,3
"G1701630","1960","Illinois","170","St Clair","1630","St Clair",105580,22513,35,16,19,9,24,108783,25344,35,87,18,18,28
"G1701650","1960","Illinois","170","Saline","1650","Saline",12102,422,3,0,0,0,0,13271,423,3,1,0,0,2
"G1701670","1960","Illinois","170","Sangamon","1670","Sangamon",66693,2792,7,6,12,3,12,73826,3131,7,16,24,2,8
"G1701690","1960","Illinois","170","Schuyler","1690","Schuyler",4342,0,4,0,0,0,0,4397,1,2,0,0,0,0
"G1701710","1960","Illinois","170","Scott","1710","Scott",3151,0,0,0,0,0,0,3225,1,0,0,0,0,0
"G1701730","1960","Illinois","170","Shelby","1730","Shelby",11401,2,0,0,0,0,0,11997,3,0,0,0,0,1
"G1701750","1960","Illinois","170","Stark","1750","Stark",4034,5,0,0,0,0,0,4108,5,0,0,0,0,0
"G1701770","1960","Illinois","170","Stephenson","1770","Stephenson",21503,679,4,2,6,0,5,23214,766,7,11,9,0,1
"G1701790","1960","Illinois","170","Tazewell","1790","Tazewell",49685,2,7,0,0,1,1,50052,12,8,16,0,2,3
"G1701810","1960","Illinois","170","Union","1810","Union",8585,189,1,0,2,1,2,8768,93,1,1,1,1,0
"G1701830","1960","Illinois","170","Vermilion","1830","Vermilion",45056,2585,5,4,4,5,5,45871,2618,3,6,2,3,9
"G1701850","1960","Illinois","170","Wabash","1850","Wabash",6808,0,0,0,0,0,1,7236,0,0,0,0,0,2
"G1701870","1960","Illinois","170","Warren","1870","Warren",10389,152,2,3,1,0,1,10868,166,2,3,0,0,0
"G1701890","1960","Illinois","170","Washington","1890","Washington",6729,1,0,3,0,0,0,6831,1,0,4,0,0,0
"G1701910","1960","Illinois","170","Wayne","1910","Wayne",9412,0,0,0,0,0,0,9591,2,0,2,0,1,0
"G1701930","1960","Illinois","170","White","1930","White",9456,29,2,0,0,0,1,9847,33,5,0,0,0,0
"G1701950","1960","Illinois","170","Whiteside","1950","Whiteside",29549,64,3,4,1,2,6,30181,56,4,8,0,3,6
"G1701970","1960","Illinois","170","Will","1970","Will",89971,7330,45,19,26,15,14,89492,4585,43,33,20,8,16
"G1701990","1960","Illinois","170","Williamson","1990","Williamson",21928,332,2,0,1,0,1,23476,371,3,1,0,1,1
"G1702010","1960","Illinois","170","Winnebago","2010","Winnebago",98512,4105,26,30,16,8,16,102486,4469,21,40,20,6,10
"G1702030","1960","Illinois","170","Woodford","2030","Woodford",12180,1,5,0,1,0,1,12377,3,4,1,5,0,1
"G1800010","1960","Indiana","180","Adams","0010","Adams",12177,0,1,0,0,0,1,12457,1,1,2,0,0,3
"G1800030","1960","Indiana","180","Allen","0030","Allen",107350,5647,53,33,59,17,98,112721,6055,37,43,19,17,47
"G1800050","1960","Indiana","180","Bartholomew","0050","Bartholomew",23634,153,0,1,6,0,5,24225,162,3,1,3,1,4
"G1800070","1960","Indiana","180","Benton","0070","Benton",5873,6,0,0,0,0,0,6028,5,0,0,0,0,0
"G1800090","1960","Indiana","180","Blackford","0090","Blackford",7248,1,3,0,1,0,1,7533,1,3,0,0,0,1
"G1800110","1960","Indiana","180","Boone","0110","Boone",13421,18,1,0,0,0,0,14073,23,5,1,1,0,0
"G1800130","1960","Indiana","180","Brown","0130","Brown",3499,2,0,0,0,0,1,3521,1,0,0,0,0,0
"G1800150","1960","Indiana","180","Carroll","0150","Carroll",8244,11,0,0,0,0,0,8671,5,2,1,0,0,0
"G1800170","1960","Indiana","180","Cass","0170","Cass",19554,161,2,5,10,1,4,21016,157,2,9,6,1,3
"G1800190","1960","Indiana","180","Clark","0190","Clark",29455,1368,3,3,6,1,8,30471,1453,9,6,4,2,6
"G1800210","1960","Indiana","180","Clay","0210","Clay",11630,88,0,1,0,0,5,12366,101,2,3,0,0,11
"G1800230","1960","Indiana","180","Clinton","0230","Clinton",15002,15,5,1,1,0,0,15711,23,2,4,0,0,1
"G1800250","1960","Indiana","180","Crawford","0250","Crawford",4242,0,0,0,0,0,0,4135,0,1,1,0,0,0
"G1800270","1960","Indiana","180","Daviess","0270","Daviess",12940,47,0,0,0,0,1,13581,62,1,3,0,0,1
"G1800290","1960","Indiana","180","Dearborn","0290","Dearborn",14110,121,0,0,0,0,0,14322,115,0,5,0,0,1
"G1800310","1960","Indiana","180","Decatur","0310","Decatur",9816,0,0,0,0,0,1,10198,3,0,1,0,0,0
"G1800330","1960","Indiana","180","DeKalb","0330","De Kalb",13886,17,0,1,0,0,8,14332,21,1,3,0,1,1
"G1800350","1960","Indiana","180","Delaware","0350","Delaware",51341,2814,16,2,16,15,6,53715,2948,25,13,10,6,11
"G1800370","1960","Indiana","180","Dubois","0370","Dubois",13569,0,1,0,0,0,0,13893,0,0,0,0,0,0
"G1800390","1960","Indiana","180","Elkhart","0390","Elkhart",50913,1091,15,7,20,5,19,53524,1128,21,17,12,5,13
"G1800410","1960","Indiana","180","Fayette","0410","Fayette",11755,207,0,0,0,0,0,12213,279,0,0,0,0,0
"G1800430","1960","Indiana","180","Floyd","0430","Floyd",23978,959,2,4,0,0,2,25395,1051,0,4,0,1,1
"G1800450","1960","Indiana","180","Fountain","0450","Fountain",9252,2,1,4,0,3,0,9432,3,0,6,0,3,0
"G1800470","1960","Indiana","180","Franklin","0470","Franklin",8525,3,0,0,0,2,0,8485,0,0,0,0,0,0
"G1800490","1960","Indiana","180","Fulton","0490","Fulton",8302,18,0,0,1,0,0,8612,21,1,0,0,1,1
"G1800510","1960","Indiana","180","Gibson","0510","Gibson",14166,319,0,2,0,0,2,15119,338,0,3,0,0,0
"G1800530","1960","Indiana","180","Grant","0530","Grant",36021,1617,14,5,22,0,6,36438,1582,4,15,9,2,6
"G1800550","1960","Indiana","180","Greene","0550","Greene",12924,3,1,0,0,0,3,13390,2,1,1,0,0,2
"G1800570","1960","Indiana","180","Hamilton","0570","Hamilton",19628,151,4,4,0,0,1,20166,168,2,3,0,0,5
"G1800590","1960","Indiana","180","Hancock","0590","Hancock",13018,17,4,0,0,0,0,13597,24,2,1,1,0,1
"G1800610","1960","Indiana","180","Harrison","0610","Harrison",9631,58,1,0,0,0,0,9454,59,3,0,0,1,0
"G1800630","1960","Indiana","180","Hendricks","0630","Hendricks",20381,204,2,0,1,0,1,20247,49,4,3,0,0,4
"G1800650","1960","Indiana","180","Henry","0650","Henry",23834,197,1,2,0,0,4,24628,224,4,3,0,0,2
"G1800670","1960","Indiana","180","Howard","0670","Howard",32898,1264,3,0,6,0,3,33978,1334,7,8,3,2,3
"G1800690","1960","Indiana","180","Huntington","0690","Huntington",16275,2,12,3,2,1,13,17480,1,11,8,1,1,4
"G1800710","1960","Indiana","180","Jackson","0710","Jackson",15118,81,3,0,0,0,2,15282,68,0,2,0,0,0
"G1800730","1960","Indiana","180","Jasper","0730","Jasper",9878,6,6,0,3,0,0,8942,2,2,0,3,0,0
"G1800750","1960","Indiana","180","Jay","0750","Jay",11043,36,0,2,0,0,0,11435,49,0,5,0,0,2
"G1800770","1960","Indiana","180","Jefferson","0770","Jefferson",11495,199,0,0,1,0,3,12166,193,1,0,1,0,2
"G1800790","1960","Indiana","180","Jennings","0790","Jennings",8659,139,0,0,0,1,0,8319,147,0,1,0,0,1
"G1800810","1960","Indiana","180","Johnson","0810","Johnson",21382,182,1,1,3,0,1,21940,188,2,3,0,0,1
"G1800830","1960","Indiana","180","Knox","0830","Knox",19926,121,2,1,1,0,0,21370,129,4,3,2,0,2
"G1800850","1960","Indiana","180","Kosciusko","0850","Kosciusko",19931,42,5,12,4,3,2,20305,42,3,12,3,3,6
"G1800870","1960","Indiana","180","Lagrange","0870","Lagrange",8581,6,1,0,0,0,0,8786,3,3,0,0,0,0
"G1800890","1960","Indiana","180","Lake","0890","Lake",215786,42275,79,34,42,55,31,209855,44834,85,71,40,49,33
"G1800910","1960","Indiana","180","LaPorte","0910","Laporte",45512,2751,20,5,5,3,10,44634,2139,11,13,0,3,5
"G1800930","1960","Indiana","180","Lawrence","0930","Lawrence",17869,54,2,0,0,0,1,18579,55,4,0,0,0,0
"G1800950","1960","Indiana","180","Madison","0950","Madison",60253,2728,5,4,8,3,6,60514,2248,7,15,7,1,20
"G1800970","1960","Indiana","180","Marion","0970","Marion",288068,47475,58,87,137,49,99,308770,52437,75,130,75,27,80
"G1800990","1960","Indiana","180","Marshall","0990","Marshall",15987,41,0,1,0,0,6,16372,24,1,3,0,0,8
"G1801010","1960","Indiana","180","Martin","1010","Martin",5292,14,1,0,0,0,0,5282,15,2,2,0,0,0
"G1801030","1960","Indiana","180","Miami","1030","Miami",18885,416,30,16,3,4,5,18363,214,28,22,4,8,2
"G1801050","1960","Indiana","180","Monroe","1050","Monroe",29225,359,10,30,31,7,164,28935,345,5,18,12,19,65
"G1801070","1960","Indiana","180","Montgomery","1070","Montgomery",15821,82,0,4,5,3,1,16044,118,0,5,2,4,0
"G1801090","1960","Indiana","180","Morgan","1090","Morgan",16824,3,0,1,3,3,0,17029,5,0,4,0,3,0
"G1801110","1960","Indiana","180","Newton","1110","Newton",5679,6,0,1,0,2,0,5809,5,0,0,0,0,0
"G1801130","1960","Indiana","180","Noble","1130","Noble",13862,5,1,0,0,0,2,14281,7,0,2,0,0,2
"G1801150","1960","Indiana","180","Ohio","1150","Ohio",2038,20,0,0,0,0,0,2074,32,0,1,0,0,0
"G1801170","1960","Indiana","180","Orange","1170","Orange",8392,85,1,1,0,0,2,8335,59,0,1,0,1,0
"G1801190","1960","Indiana","180","Owen","1190","Owen",5650,7,0,0,0,0,0,5735,8,0,0,0,0,0
"G1801210","1960","Indiana","180","Parke","1210","Parke",7416,21,0,0,2,0,0,7349,15,1,0,0,0,0
"G1801230","1960","Indiana","180","Perry","1230","Perry",8549,8,1,0,0,0,2,8658,9,1,2,0,1,1
"G1801250","1960","Indiana","180","Pike","1250","Pike",6265,5,1,0,0,0,0,6514,10,0,2,0,0,0
"G1801270","1960","Indiana","180","Porter","1270","Porter",30442,53,3,5,3,3,0,29741,16,2,8,2,1,0
"G1801290","1960","Indiana","180","Posey","1290","Posey",9296,140,2,0,0,0,0,9632,138,5,0,0,0,1
"G1801310","1960","Indiana","180","Pulaski","1310","Pulaski",6441,21,0,0,0,0,0,6354,21,0,0,0,0,0
"G1801330","1960","Indiana","180","Putnam","1330","Putnam",12546,315,1,3,3,0,4,11952,94,2,0,2,2,3
"G1801350","1960","Indiana","180","Randolph","1350","Randolph",13918,42,0,0,0,0,0,14422,48,1,2,0,0,1
"G1801370","1960","Indiana","180","Ripley","1370","Ripley",10326,3,1,1,0,0,0,10299,5,3,1,0,1,1
"G1801390","1960","Indiana","180","Rush","1390","Rush",9876,115,0,0,0,0,0,10279,120,2,1,0,0,0
"G1801410","1960","Indiana","180","St Joseph","1410","St Joseph",111685,6795,25,36,61,10,40,112578,7227,24,39,41,7,46
"G1801430","1960","Indiana","180","Scott","1430","Scott",7273,1,0,1,0,0,0,7365,2,0,1,0,0,0
"G1801450","1960","Indiana","180","Shelby","1450","Shelby",16551,186,2,1,0,0,0,17151,193,1,7,0,0,1
"G1801470","1960","Indiana","180","Spencer","1470","Spencer",8243,87,2,0,0,0,1,7634,102,3,1,0,0,1
"G1801490","1960","Indiana","180","Starke","1490","Starke",8969,9,0,6,0,0,1,8903,10,0,13,0,0,0
"G1801510","1960","Indiana","180","Steuben","1510","Steuben",8857,12,1,0,8,1,14,8271,13,1,0,1,0,5
"G1801530","1960","Indiana","180","Sullivan","1530","Sullivan",10567,18,0,0,0,0,0,11110,26,0,0,0,0,0
"G1801550","1960","Indiana","180","Switzerland","1550","Switzerland",3573,7,1,0,0,0,0,3505,4,0,0,0,2,0
"G1801570","1960","Indiana","180","Tippecanoe","1570","Tippecanoe",45515,330,3,91,123,6,133,42476,302,8,44,40,14,37
"G1801590","1960","Indiana","180","Tipton","1590","Tipton",7881,0,1,0,0,1,2,7965,1,2,0,0,0,3
"G1801610","1960","Indiana","180","Union","1610","Union",3193,31,2,0,0,0,0,3197,33,1,0,0,0,0
"G1801630","1960","Indiana","180","Vanderburgh","1630","Vanderburgh",74731,4472,7,3,8,5,16,81433,5075,15,10,8,1,10
"G1801650","1960","Indiana","180","Vermillion","1650","Vermillion",8659,10,1,0,0,0,0,9002,8,2,1,0,0,0
"G1801670","1960","Indiana","180","Vigo","1670","Vigo",49839,2469,10,9,12,2,16,53717,2333,9,21,13,3,5
"G1801690","1960","Indiana","180","Wabash","1690","Wabash",15948,34,8,1,1,0,8,16559,33,4,3,0,0,6
"G1801710","1960","Indiana","180","Warren","1710","Warren",4287,0,0,0,2,0,0,4254,0,1,0,1,0,0
"G1801730","1960","Indiana","180","Warrick","1730","Warrick",11495,122,1,0,0,0,0,11825,129,4,1,0,0,0
"G1801750","1960","Indiana","180","Washington","1750","Washington",8865,0,1,1,0,0,0,8947,0,0,4,0,0,1
"G1801770","1960","Indiana","180","Wayne","1770","Wayne",34222,1705,7,3,1,1,7,36255,1817,6,6,5,0,4
"G1801790","1960","Indiana","180","Wells","1790","Wells",10439,0,2,0,0,1,0,10768,1,9,0,0,0,0
"G1801810","1960","Indiana","180","White","1810","White",9723,0,0,1,0,0,0,9984,0,0,1,0,0,0
"G1801830","1960","Indiana","180","Whitley","1830","Whitley",10271,0,0,2,0,0,8,10663,0,1,2,0,0,7
"G1900010","1960","Iowa","190","Adair","0010","Adair",5473,0,0,1,0,0,0,5418,0,0,1,0,0,0
"G1900030","1960","Iowa","190","Adams","0030","Adams",3715,1,0,0,0,0,0,3751,1,0,0,0,0,0
"G1900050","1960","Iowa","190","Allamakee","0050","Allamakee",8026,1,0,0,0,0,0,7951,2,1,0,0,0,1
"G1900070","1960","Iowa","190","Appanoose","0070","Appanoose",7692,57,2,0,1,0,0,8196,67,0,0,0,0,0
"G1900090","1960","Iowa","190","Audubon","0090","Audubon",5443,0,0,1,0,0,0,5473,2,0,0,0,0,0
"G1900110","1960","Iowa","190","Benton","0110","Benton",11656,6,2,0,0,3,0,11746,6,2,0,0,1,0
"G1900130","1960","Iowa","190","Black Hawk","0130","Black Hawk",57297,2388,62,11,23,1,9,60108,2462,59,18,13,8,23
"G1900150","1960","Iowa","190","Boone","0150","Boone",13591,18,2,3,0,0,0,14410,11,1,1,0,0,0
"G1900170","1960","Iowa","190","Bremer","0170","Bremer",10479,12,0,3,2,0,2,10596,9,0,4,0,0,1
"G1900190","1960","Iowa","190","Buchanan","0190","Buchanan",11160,15,1,1,2,2,2,11084,15,1,2,2,4,2
"G1900210","1960","Iowa","190","Buena Vista","0210","Buena Vista",10402,1,1,7,0,0,1,10773,2,0,2,0,0,0
"G1900230","1960","Iowa","190","Butler","0230","Butler",8669,0,1,1,0,0,0,8790,0,1,2,0,0,3
"G1900250","1960","Iowa","190","Calhoun","0250","Calhoun",7783,1,0,1,0,0,0,8118,10,9,1,0,0,0
"G1900270","1960","Iowa","190","Carroll","0270","Carroll",11449,0,0,0,0,0,0,11979,3,0,0,0,0,0
"G1900290","1960","Iowa","190","Cass","0290","Cass",8812,3,2,0,0,0,0,9086,11,2,3,0,0,0
"G1900310","1960","Iowa","190","Cedar","0310","Cedar",8894,0,1,0,0,0,0,8890,1,2,3,0,0,0
"G1900330","1960","Iowa","190","Cerro Gordo","0330","Cerro Gordo",24034,102,17,3,18,0,20,25557,111,7,6,9,0,10
"G1900350","1960","Iowa","190","Cherokee","0350","Cherokee",9220,7,1,1,1,0,0,9360,6,0,1,0,1,0
"G1900370","1960","Iowa","190","Chickasaw","0370","Chickasaw",7575,0,1,5,0,0,1,7446,2,2,1,0,1,0
"G1900390","1960","Iowa","190","Clarke","0390","Clarke",4021,2,0,0,0,0,1,4195,2,0,1,0,0,0
"G1900410","1960","Iowa","190","Clay","0410","Clay",9122,0,0,1,0,0,0,9380,0,0,0,0,0,1
"G1900430","1960","Iowa","190","Clayton","0430","Clayton",11038,0,4,0,0,0,0,10911,0,8,1,0,0,0
"G1900450","1960","Iowa","190","Clinton","0450","Clinton",27038,171,9,3,2,2,7,27634,163,13,10,1,1,6
"G1900470","1960","Iowa","190","Crawford","0470","Crawford",9372,2,0,0,0,0,0,9192,3,0,0,0,0,0
"G1900490","1960","Iowa","190","Dallas","0490","Dallas",11737,48,1,0,0,3,0,12267,64,0,2,0,1,0
"G1900510","1960","Iowa","190","Davis","0510","Davis",4557,4,1,0,0,0,0,4632,4,0,0,0,0,1
"G1900530","1960","Iowa","190","Decatur","0530","Decatur",5259,0,1,6,0,0,3,5261,1,0,2,2,0,4
"G1900550","1960","Iowa","190","Delaware","0550","Delaware",9365,0,0,0,0,0,0,9116,1,0,1,0,0,0
"G1900570","1960","Iowa","190","Des Moines","0570","Des Moines",21144,232,9,0,1,4,2,22939,257,7,3,4,3,0
"G1900590","1960","Iowa","190","Dickinson","0590","Dickinson",6310,1,1,0,2,0,0,6254,1,1,1,2,1,0
"G1900610","1960","Iowa","190","Dubuque","0610","Dubuque",38863,42,1,13,14,5,2,41034,41,2,7,15,8,1
"G1900630","1960","Iowa","190","Emmet","0630","Emmet",7346,0,0,0,0,0,2,7522,1,0,0,0,0,0
"G1900650","1960","Iowa","190","Fayette","0650","Fayette",14195,25,0,4,0,0,0,14339,14,1,3,0,0,0
"G1900670","1960","Iowa","190","Floyd","0670","Floyd",10490,1,0,0,0,0,0,10611,0,0,0,0,0,0
"G1900690","1960","Iowa","190","Franklin","0690","Franklin",7747,1,0,0,0,0,1,7719,2,2,0,0,0,0
"G1900710","1960","Iowa","190","Fremont","0710","Fremont",5113,2,3,0,0,0,0,5161,1,2,0,0,0,0
"G1900730","1960","Iowa","190","Greene","0730","Greene",7057,0,0,0,0,0,0,7318,4,0,0,0,0,0
"G1900750","1960","Iowa","190","Grundy","0750","Grundy",6955,0,3,0,0,0,0,7172,2,0,0,0,0,0
"G1900770","1960","Iowa","190","Guthrie","0770","Guthrie",6733,3,0,0,0,0,0,6864,3,0,0,2,0,2
"G1900790","1960","Iowa","190","Hamilton","0790","Hamilton",9890,10,10,11,5,10,15,10037,5,6,9,4,8,12
"G1900810","1960","Iowa","190","Hancock","0810","Hancock",7343,0,14,1,0,0,0,7232,1,10,3,0,0,0
"G1900830","1960","Iowa","190","Hardin","0830","Hardin",11205,16,2,1,1,1,3,11299,2,0,1,0,0,2
"G1900850","1960","Iowa","190","Harrison","0850","Harrison",8744,4,3,0,0,0,0,8838,5,4,1,1,0,0
"G1900870","1960","Iowa","190","Henry","0870","Henry",8806,52,2,0,1,0,11,9264,48,0,1,0,0,2
"G1900890","1960","Iowa","190","Howard","0890","Howard",6366,0,0,5,1,0,0,6357,0,0,4,0,0,1
"G1900910","1960","Iowa","190","Humboldt","0910","Humboldt",6545,0,0,0,0,0,0,6610,0,0,0,0,1,0
"G1900930","1960","Iowa","190","Ida","0930","Ida",5140,0,1,0,0,0,0,5128,0,0,0,0,0,0
"G1900950","1960","Iowa","190","Iowa","0950","Iowa",8174,0,0,0,0,0,0,8218,3,1,0,0,0,0
"G1900970","1960","Iowa","190","Jackson","0970","Jackson",10444,1,0,1,0,0,0,10301,3,0,3,1,0,0
"G1900990","1960","Iowa","190","Jasper","0990","Jasper",17471,22,1,3,1,0,7,17747,18,2,3,0,0,7
"G1901010","1960","Iowa","190","Jefferson","1010","Jefferson",7833,28,0,2,0,0,5,7926,22,0,1,1,0,0
"G1901030","1960","Iowa","190","Johnson","1030","Johnson",26731,186,2,21,37,6,70,26401,131,4,22,15,11,26
"G1901050","1960","Iowa","190","Jones","1050","Jones",10713,63,9,0,4,0,1,9900,0,0,0,3,0,0
"G1901070","1960","Iowa","190","Keokuk","1070","Keokuk",7685,1,0,0,0,0,1,7802,2,0,0,0,0,1
"G1901090","1960","Iowa","190","Kossuth","1090","Kossuth",12667,4,2,5,0,0,2,12624,5,2,2,0,0,1
"G1901110","1960","Iowa","190","Lee","1110","Lee",21496,538,3,0,2,0,2,21657,501,0,1,1,0,6
"G1901130","1960","Iowa","190","Linn","1130","Linn",66184,560,32,12,13,4,7,69383,623,37,21,12,1,10
"G1901150","1960","Iowa","190","Louisa","1150","Louisa",5181,0,1,0,0,0,0,5107,0,1,0,0,0,0
"G1901170","1960","Iowa","190","Lucas","1170","Lucas",5321,5,0,1,0,0,1,5590,5,0,0,0,0,0
"G1901190","1960","Iowa","190","Lyon","1190","Lyon",7242,0,0,0,0,0,0,7222,1,1,0,0,0,2
"G1901210","1960","Iowa","190","Madison","1210","Madison",6063,0,0,0,0,0,0,6229,2,1,0,0,0,0
"G1901230","1960","Iowa","190","Mahaska","1230","Mahaska",11538,26,0,1,0,0,3,12001,26,2,3,1,0,1
"G1901250","1960","Iowa","190","Marion","1250","Marion",13328,71,2,2,0,0,1,12459,17,4,1,0,1,0
"G1901270","1960","Iowa","190","Marshall","1270","Marshall",18505,134,6,3,0,0,4,19197,119,7,5,1,0,3
"G1901290","1960","Iowa","190","Mills","1290","Mills",6620,12,1,0,0,1,1,6411,3,1,0,0,0,0
"G1901310","1960","Iowa","190","Mitchell","1310","Mitchell",6976,0,0,0,0,0,1,7066,0,0,0,0,0,0
"G1901330","1960","Iowa","190","Monona","1330","Monona",6946,0,1,0,0,0,0,6960,1,5,3,0,0,0
"G1901350","1960","Iowa","190","Monroe","1350","Monroe",5203,28,0,0,0,0,0,5206,25,1,0,0,0,0
"G1901370","1960","Iowa","190","Montgomery","1370","Montgomery",6964,7,2,0,0,0,0,7482,9,1,0,0,2,0
"G1901390","1960","Iowa","190","Muscatine","1390","Muscatine",16536,72,7,0,0,0,2,17141,72,7,1,0,0,2
"G1901410","1960","Iowa","190","O Brien","1410","O Brien",9190,1,3,3,0,0,1,9633,2,4,2,0,0,1
"G1901430","1960","Iowa","190","Osceola","1430","Osceola",5079,0,1,0,0,0,0,4983,0,0,0,0,0,1
"G1901450","1960","Iowa","190","Page","1450","Page",10115,17,7,0,0,0,0,10848,31,2,1,0,0,2
"G1901470","1960","Iowa","190","Palo Alto","1470","Palo Alto",7356,0,0,0,0,0,0,7376,2,1,1,0,0,0
"G1901490","1960","Iowa","190","Plymouth","1490","Plymouth",11870,0,1,0,0,1,0,12029,2,0,2,0,0,1
"G1901510","1960","Iowa","190","Pocahontas","1510","Pocahontas",7087,0,0,0,0,0,0,7146,1,0,0,0,0,0
"G1901530","1960","Iowa","190","Polk","1530","Polk",122433,4991,28,38,57,13,44,132983,5544,40,64,27,14,39
"G1901550","1960","Iowa","190","Pottawattamie","1550","Pottawattamie",40390,266,23,11,0,0,5,42025,327,28,17,0,1,9
"G1901570","1960","Iowa","190","Poweshiek","1570","Poweshiek",9429,17,3,1,2,0,0,9832,9,4,2,1,0,0
"G1901590","1960","Iowa","190","Ringgold","1590","Ringgold",3906,0,5,0,0,0,0,3993,0,4,0,1,0,1
"G1901610","1960","Iowa","190","Sac","1610","Sac",8511,0,0,0,0,0,0,8494,1,0,0,0,0,1
"G1901630","1960","Iowa","190","Scott","1630","Scott",57646,920,20,4,10,5,7,59444,946,23,19,10,5,8
"G1901650","1960","Iowa","190","Shelby","1650","Shelby",7959,0,0,0,0,0,0,7863,1,0,0,1,0,1
"G1901670","1960","Iowa","190","Sioux","1670","Sioux",13108,3,5,1,2,5,0,13235,6,4,1,1,3,1
"G1901690","1960","Iowa","190","Story","1690","Story",25407,70,10,43,37,9,39,23569,57,9,30,20,10,17
"G1901710","1960","Iowa","190","Tama","1710","Tama",10456,28,233,0,1,0,1,10440,18,232,2,0,1,1
"G1901730","1960","Iowa","190","Taylor","1730","Taylor",5006,2,0,0,0,0,0,5273,5,1,1,0,0,0
"G1901750","1960","Iowa","190","Union","1750","Union",6659,2,3,0,0,1,0,7035,7,3,0,0,0,2
"G1901770","1960","Iowa","190","Van Buren","1770","Van Buren",4904,4,1,2,0,0,0,4859,2,2,4,0,0,0
"G1901790","1960","Iowa","190","Wapello","1790","Wapello",22100,233,1,1,0,0,0,23551,235,2,2,0,0,1
"G1901810","1960","Iowa","190","Warren","1810","Warren",10362,3,0,3,6,1,2,10441,3,0,1,3,0,4
"G1901830","1960","Iowa","190","Washington","1830","Washington",9482,7,1,1,0,1,0,9901,9,2,2,0,0,0
"G1901850","1960","Iowa","190","Wayne","1850","Wayne",4811,0,1,0,0,0,0,4987,0,1,0,0,0,0
"G1901870","1960","Iowa","190","Webster","1870","Webster",23079,177,1,0,0,0,3,24372,173,3,1,1,0,0
"G1901890","1960","Iowa","190","Winnebago","1890","Winnebago",6606,2,0,0,0,0,2,6488,1,0,0,0,0,0
"G1901910","1960","Iowa","190","Winneshiek","1910","Winneshiek",10933,3,0,0,1,0,1,10709,1,2,0,0,0,1
"G1901930","1960","Iowa","190","Woodbury","1930","Woodbury",51567,620,258,16,6,0,14,54370,637,287,23,6,2,43
"G1901950","1960","Iowa","190","Worth","1950","Worth",5149,20,0,0,7,0,1,5056,23,1,0,2,0,0
"G1901970","1960","Iowa","190","Wright","1970","Wright",9641,1,0,1,0,0,2,9793,4,1,4,0,0,0
"G2000010","1960","Kansas","200","Allen","0010","Allen",7728,154,13,1,0,0,0,8312,149,9,0,0,0,3
"G2000030","1960","Kansas","200","Anderson","0030","Anderson",4471,8,0,0,0,0,0,4544,11,1,0,0,0,0
"G2000050","1960","Kansas","200","Atchison","0050","Atchison",9488,703,22,1,1,0,4,9926,721,23,1,7,0,1
"G2000070","1960","Kansas","200","Barber","0070","Barber",4278,11,7,0,0,0,0,4392,16,9,0,0,0,0
"G2000090","1960","Kansas","200","Barton","0090","Barton",15602,280,9,1,0,1,1,16154,307,11,2,0,0,0
"G2000110","1960","Kansas","200","Bourbon","0110","Bourbon",7418,267,3,4,0,0,0,8075,315,2,4,0,0,2
"G2000130","1960","Kansas","200","Brown","0130","Brown",6203,66,165,0,0,0,3,6519,72,199,0,0,1,1
"G2000150","1960","Kansas","200","Butler","0150","Butler",19023,99,13,0,0,0,13,19112,104,14,6,0,0,11
"G2000170","1960","Kansas","200","Chase","0170","Chase",1908,26,3,0,0,0,0,1958,25,1,0,0,0,0
"G2000190","1960","Kansas","200","Chautauqua","0190","Chautauqua",2863,32,10,1,0,0,0,3014,23,13,0,0,0,0
"G2000210","1960","Kansas","200","Cherokee","0210","Cherokee",10657,128,31,0,2,0,0,11279,146,36,0,0,0,0
"G2000230","1960","Kansas","200","Cheyenne","0230","Cheyenne",2359,0,1,0,0,0,0,2346,1,0,0,0,1,0
"G2000250","1960","Kansas","200","Clark","0250","Clark",1699,0,3,0,0,0,0,1694,0,0,0,0,0,0
"G2000270","1960","Kansas","200","Clay","0270","Clay",5157,10,0,2,0,0,1,5498,3,0,4,0,0,0
"G2000290","1960","Kansas","200","Cloud","0290","Cloud",6873,4,0,0,0,0,0,7525,5,0,0,0,0,0
"G2000310","1960","Kansas","200","Coffey","0310","Coffey",4151,2,0,0,0,0,0,4244,2,4,0,0,0,0
"G2000330","1960","Kansas","200","Comanche","0330","Comanche",1593,0,0,1,0,0,0,1676,0,0,0,0,0,1
