GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1960,A08AA1960,A08AB1960
"G0100010","1960","Alabama","01","010","Autauga County","001","0010","Autauga",18739,9021,9718
"G0100030","1960","Alabama","01","010","Baldwin County","003","0030","Baldwin",49088,24514,24574
"G0100050","1960","Alabama","01","010","Barbour County","005","0050","Barbour",24700,11636,13064
"G0100070","1960","Alabama","01","010","Bibb County","007","0070","Bibb",14357,7093,7264
"G0100090","1960","Alabama","01","010","Blount County","009","0090","Blount",25449,12718,12731
"G0100110","1960","Alabama","01","010","Bullock County","011","0110","Bullock",13462,6378,7084
"G0100130","1960","Alabama","01","010","Butler County","013","0130","Butler",24560,11738,12822
"G0100150","1960","Alabama","01","010","Calhoun County","015","0150","Calhoun",95878,46601,49277
"G0100170","1960","Alabama","01","010","Chambers County","017","0170","Chambers",37828,18085,19743
"G0100190","1960","Alabama","01","010","Cherokee County","019","0190","Cherokee",16303,8163,8140
"G0100210","1960","Alabama","01","010","Chilton County","021","0210","Chilton",25693,12833,12860
"G0100230","1960","Alabama","01","010","Choctaw County","023","0230","Choctaw",17870,8891,8979
"G0100250","1960","Alabama","01","010","Clarke County","025","0250","Clarke",25738,12721,13017
"G0100270","1960","Alabama","01","010","Clay County","027","0270","Clay",12400,6153,6247
"G0100290","1960","Alabama","01","010","Cleburne County","029","0290","Cleburne",10911,5447,5464
"G0100310","1960","Alabama","01","010","Coffee County","031","0310","Coffee",30583,14979,15604
"G0100330","1960","Alabama","01","010","Colbert County","033","0330","Colbert",46506,22807,23699
"G0100350","1960","Alabama","01","010","Conecuh County","035","0350","Conecuh",17762,8590,9172
"G0100370","1960","Alabama","01","010","Coosa County","037","0370","Coosa",10726,5306,5420
"G0100390","1960","Alabama","01","010","Covington County","039","0390","Covington",35631,17168,18463
"G0100410","1960","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",14909,7255,7654
"G0100430","1960","Alabama","01","010","Cullman County","043","0430","Cullman",45572,22812,22760
"G0100450","1960","Alabama","01","010","Dale County","045","0450","Dale",31066,16292,14774
"G0100470","1960","Alabama","01","010","Dallas County","047","0470","Dallas",56667,26799,29868
"G0100490","1960","Alabama","01","010","DeKalb County","049","0490","Dekalb",41417,20388,21029
"G0100510","1960","Alabama","01","010","Elmore County","051","0510","Elmore",30524,15172,15352
