GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G1901950","1930","Iowa","190","Worth","1950","Worth",5742,5254,43,42,47,36
"G1901970","1930","Iowa","190","Wright","1970","Wright",10298,9790,0,0,74,54
"G2000010","1930","Kansas","200","Allen","0010","Allen",10485,10232,242,285,75,72
"G2000030","1930","Kansas","200","Anderson","0030","Anderson",6763,6438,56,47,35,16
"G2000050","1930","Kansas","200","Atchison","0050","Atchison",10942,11056,916,861,81,89
"G2000070","1930","Kansas","200","Barber","0070","Barber",5208,4786,16,10,91,67
"G2000090","1930","Kansas","200","Barton","0090","Barton",9657,9454,275,222,105,63
"G2000110","1930","Kansas","200","Bourbon","0110","Bourbon",10866,10666,411,424,11,8
"G2000130","1930","Kansas","200","Brown","0130","Brown",9815,9491,198,183,479,387
"G2000150","1930","Kansas","200","Butler","0150","Butler",18040,17191,163,146,213,151
"G2000170","1930","Kansas","200","Chase","0170","Chase",3336,3172,29,28,304,83
"G2000190","1930","Kansas","200","Chautauqua","0190","Chautauqua",5217,4957,62,74,25,17
"G2000210","1930","Kansas","200","Cherokee","0210","Cherokee",15697,15079,311,340,14,16
"G2000230","1930","Kansas","200","Cheyenne","0230","Cheyenne",3617,3330,0,0,1,0
"G2000250","1930","Kansas","200","Clark","0250","Clark",2531,2235,5,3,13,9
"G2000270","1930","Kansas","200","Clay","0270","Clay",7282,7219,29,25,1,0
"G2000290","1930","Kansas","200","Cloud","0290","Cloud",8998,8962,19,20,3,4
"G2000310","1930","Kansas","200","Coffey","0310","Coffey",6950,6661,15,14,10,3
"G2000330","1930","Kansas","200","Comanche","0330","Comanche",2761,2469,0,0,4,4
"G2000350","1930","Kansas","200","Cowley","0350","Cowley",19646,19698,438,492,348,281
"G2000370","1930","Kansas","200","Crawford","0370","Crawford",24160,24071,476,518,60,44
"G2000390","1930","Kansas","200","Decatur","0390","Decatur",4595,4261,3,2,3,2
"G2000410","1930","Kansas","200","Dickinson","0410","Dickinson",12896,12406,116,107,186,159
"G2000430","1930","Kansas","200","Doniphan","0430","Doniphan",6993,6395,336,297,18,24
"G2000450","1930","Kansas","200","Douglas","0450","Douglas",11372,11790,875,921,96,89
"G2000470","1930","Kansas","200","Edwards","0470","Edwards",3668,3442,26,19,77,63
"G2000490","1930","Kansas","200","Elk","0490","Elk",4535,4307,3,4,333,28
"G2000510","1930","Kansas","200","Ellis","0510","Ellis",8075,7766,30,33,3,0
"G2000530","1930","Kansas","200","Ellsworth","0530","Ellsworth",5055,4747,45,51,119,115
"G2000550","1930","Kansas","200","Finney","0550","Finney",5349,4800,147,146,315,257
"G2000570","1930","Kansas","200","Ford","0570","Ford",10232,9557,121,117,337,283
"G2000590","1930","Kansas","200","Franklin","0590","Franklin",10673,10496,319,257,151,128
"G2000610","1930","Kansas","200","Geary","0610","Geary",7399,5835,617,413,43,59
"G2000630","1930","Kansas","200","Gove","0630","Gove",2911,2674,21,18,9,10
"G2000650","1930","Kansas","200","Graham","0650","Graham",3848,3495,233,196,0,0
"G2000670","1930","Kansas","200","Grant","0670","Grant",1682,1354,8,7,31,10
"G2000690","1930","Kansas","200","Gray","0690","Gray",3216,2883,6,3,56,47
"G2000710","1930","Kansas","200","Greeley","0710","Greeley",930,770,3,2,5,2
"G2000730","1930","Kansas","200","Greenwood","0730","Greenwood",9959,9163,15,19,41,38
"G2000750","1930","Kansas","200","Hamilton","0750","Hamilton",1762,1463,7,8,47,41
"G2000770","1930","Kansas","200","Harper","0770","Harper",6376,6326,41,28,29,23
"G2000790","1930","Kansas","200","Harvey","0790","Harvey",10388,10610,264,262,361,235
"G2000810","1930","Kansas","200","Haskell","0810","Haskell",1517,1258,0,0,19,11
"G2000830","1930","Kansas","200","Hodgeman","0830","Hodgeman",2174,1922,30,25,6,0
"G2000850","1930","Kansas","200","Jackson","0850","Jackson",7292,6745,47,42,356,294
"G2000870","1930","Kansas","200","Jefferson","0870","Jefferson",7057,6676,155,155,48,38
"G2000890","1930","Kansas","200","Jewell","0890","Jewell",7427,7022,2,4,4,3
"G2000910","1930","Kansas","200","Johnson","0910","Johnson",13268,12779,379,386,300,67
"G2000930","1930","Kansas","200","Kearny","0930","Kearny",1677,1380,3,2,70,64
"G2000950","1930","Kansas","200","Kingman","0950","Kingman",5914,5643,16,10,50,41
"G2000970","1930","Kansas","200","Kiowa","0970","Kiowa",3075,2928,2,4,19,7
"G2000990","1930","Kansas","200","Labette","0990","Labette",14700,14679,812,827,173,155
"G2001010","1930","Kansas","200","Lane","1010","Lane",1765,1587,7,0,13,0
"G2001030","1930","Kansas","200","Leavenworth","1030","Leavenworth",22935,14712,3138,1507,355,26
"G2001050","1930","Kansas","200","Lincoln","1050","Lincoln",4980,4711,4,3,8,1
"G2001070","1930","Kansas","200","Linn","1070","Linn",6853,6435,135,100,4,7
"G2001090","1930","Kansas","200","Logan","1090","Logan",2110,1839,100,86,8,2
"G2001110","1930","Kansas","200","Lyon","1110","Lyon",13830,14062,365,389,347,247
"G2001130","1930","Kansas","200","McPherson","1130","Mcpherson",11874,11619,3,1,59,32
"G2001150","1930","Kansas","200","Marion","1150","Marion",10421,9899,27,23,256,113
"G2001170","1930","Kansas","200","Marshall","1170","Marshall",11749,11169,45,47,23,23
"G2001190","1930","Kansas","200","Meade","1190","Meade",3563,3231,18,18,20,8
"G2001210","1930","Kansas","200","Miami","1210","Miami",10367,10016,418,376,30,36
"G2001230","1930","Kansas","200","Mitchell","1230","Mitchell",6399,6346,2,22,3,2
"G2001250","1930","Kansas","200","Montgomery","1250","Montgomery",23309,23595,1941,1930,309,327
"G2001270","1930","Kansas","200","Morris","1270","Morris",5950,5551,152,87,71,48
"G2001290","1930","Kansas","200","Morton","1290","Morton",2223,1852,10,7,0,0
"G2001310","1930","Kansas","200","Nemaha","1310","Nemaha",9352,8877,59,53,1,0
"G2001330","1930","Kansas","200","Neosho","1330","Neosho",10966,10708,313,256,219,203
"G2001350","1930","Kansas","200","Ness","1350","Ness",4375,3952,1,0,17,13
"G2001370","1930","Kansas","200","Norton","1370","Norton",6008,5670,8,6,4,5
"G2001390","1930","Kansas","200","Osage","1390","Osage",9072,8148,81,63,127,47
"G2001410","1930","Kansas","200","Osborne","1410","Osborne",5881,5661,15,11,0,0
"G2001430","1930","Kansas","200","Ottawa","1430","Ottawa",5027,4755,16,11,7,3
"G2001450","1930","Kansas","200","Pawnee","1450","Pawnee",5239,4859,56,64,229,63
"G2001470","1930","Kansas","200","Phillips","1470","Phillips",6170,5859,16,12,102,0
"G2001490","1930","Kansas","200","Pottawatomie","1490","Pottawatomie",8050,7571,27,30,154,30
"G2001510","1930","Kansas","200","Pratt","1510","Pratt",6556,6312,167,166,62,49
"G2001530","1930","Kansas","200","Rawlins","1530","Rawlins",3899,3448,0,0,15,0
"G2001550","1930","Kansas","200","Reno","1550","Reno",23455,22850,541,450,269,220
"G2001570","1930","Kansas","200","Republic","1570","Republic",7664,7038,2,0,21,20
"G2001590","1930","Kansas","200","Rice","1590","Rice",6711,6632,67,72,165,153
"G2001610","1930","Kansas","200","Riley","1610","Riley",9639,9724,164,174,91,90
"G2001630","1930","Kansas","200","Rooks","1630","Rooks",4841,4622,34,36,1,0
"G2001650","1930","Kansas","200","Rush","1650","Rush",4744,4305,9,10,19,6
"G2001670","1930","Kansas","200","Russell","1670","Russell",5584,5419,18,21,2,1
"G2001690","1930","Kansas","200","Saline","1690","Saline",14139,14311,258,282,178,169
"G2001710","1930","Kansas","200","Scott","1710","Scott",2026,1839,2,1,89,19
"G2001730","1930","Kansas","200","Sedgwick","1730","Sedgwick",63609,65404,2820,2906,887,704
"G2001750","1930","Kansas","200","Seward","1750","Seward",4172,3813,5,2,44,39
"G2001770","1930","Kansas","200","Shawnee","1770","Shawnee",37350,39102,3317,3468,1006,957
"G2001790","1930","Kansas","200","Sheridan","1790","Sheridan",3148,2856,11,14,7,2
"G2001810","1930","Kansas","200","Sherman","1810","Sherman",3830,3455,0,0,56,59
"G2001830","1930","Kansas","200","Smith","1830","Smith",6984,6551,5,2,2,1
"G2001850","1930","Kansas","200","Stafford","1850","Stafford",5254,5098,19,18,39,32
"G2001870","1930","Kansas","200","Stanton","1870","Stanton",1181,971,0,0,0,0
"G2001890","1930","Kansas","200","Stevens","1890","Stevens",2419,2093,79,63,1,0
"G2001910","1930","Kansas","200","Sumner","1910","Sumner",14329,13832,141,144,311,203
"G2001930","1930","Kansas","200","Thomas","1930","Thomas",3879,3417,8,5,16,9
"G2001950","1930","Kansas","200","Trego","1950","Trego",3407,3030,15,14,3,1
"G2001970","1930","Kansas","200","Wabaunsee","1970","Wabaunsee",5407,4929,230,162,62,40
"G2001990","1930","Kansas","200","Wallace","1990","Wallace",1513,1295,37,29,7,1
"G2002010","1930","Kansas","200","Washington","2010","Washington",8805,8295,8,4,0,0
"G2002030","1930","Kansas","200","Wichita","2030","Wichita",1222,1114,155,6,74,8
"G2002050","1930","Kansas","200","Wilson","2050","Wilson",9301,9148,75,57,29,36
"G2002070","1930","Kansas","200","Woodson","2070","Woodson",4259,4239,4,4,9,11
"G2002090","1930","Kansas","200","Wyandotte","2090","Wyandotte",58845,57656,10489,11095,1676,1450
"G2100010","1930","Kentucky","210","Adair","0010","Adair",7787,7599,480,535,0,0
"G2100030","1930","Kentucky","210","Allen","0030","Allen",7383,7315,225,257,0,0
"G2100050","1930","Kentucky","210","Anderson","0050","Anderson",4054,3878,276,286,0,0
"G2100070","1930","Kentucky","210","Ballard","0070","Ballard",4639,4340,481,450,0,0
"G2100090","1930","Kentucky","210","Barren","0090","Barren",11878,11193,1373,1400,0,0
"G2100110","1930","Kentucky","210","Bath","0110","Bath",5335,4996,374,370,0,0
"G2100130","1930","Kentucky","210","Bell","0130","Bell",18504,18327,928,988,0,0
"G2100150","1930","Kentucky","210","Boone","0150","Boone",4862,4354,207,172,0,0
"G2100170","1930","Kentucky","210","Bourbon","0170","Bourbon",7213,6840,2044,1963,0,0
"G2100190","1930","Kentucky","210","Boyd","0190","Boyd",21457,21298,556,525,7,6
"G2100210","1930","Kentucky","210","Boyle","0210","Boyle",6626,6485,1566,1605,0,0
"G2100230","1930","Kentucky","210","Bracken","0230","Bracken",4851,4543,114,108,0,0
"G2100250","1930","Kentucky","210","Breathitt","0250","Breathitt",10847,10093,113,90,0,0
"G2100270","1930","Kentucky","210","Breckinridge","0270","Breckinridge",8357,8070,488,453,0,0
"G2100290","1930","Kentucky","210","Bullitt","0290","Bullitt",4446,4082,177,163,0,0
"G2100310","1930","Kentucky","210","Butler","0310","Butler",6323,6000,156,141,0,0
"G2100330","1930","Kentucky","210","Caldwell","0330","Caldwell",6050,6009,841,881,0,0
"G2100350","1930","Kentucky","210","Calloway","0350","Calloway",8484,8378,404,396,0,0
"G2100370","1930","Kentucky","210","Campbell","0370","Campbell",35398,36660,683,645,5,0
"G2100390","1930","Kentucky","210","Carlisle","0390","Carlisle",3660,3409,144,150,0,0
"G2100410","1930","Kentucky","210","Carroll","0410","Carroll",3961,3809,214,171,0,0
"G2100430","1930","Kentucky","210","Carter","0430","Carter",12300,11486,29,24,0,0
"G2100450","1930","Kentucky","210","Casey","0450","Casey",8493,8124,71,59,0,0
"G2100470","1930","Kentucky","210","Christian","0470","Christian",11419,11160,5763,5941,0,0
"G2100490","1930","Kentucky","210","Clark","0490","Clark",7535,7263,1453,1389,0,0
"G2100510","1930","Kentucky","210","Clay","0510","Clay",9373,8853,149,150,1,0
"G2100530","1930","Kentucky","210","Clinton","0530","Clinton",4528,4421,26,29,0,0
"G2100550","1930","Kentucky","210","Crittenden","0550","Crittenden",5896,5754,145,136,0,0
"G2100570","1930","Kentucky","210","Cumberland","0570","Cumberland",4742,4664,401,397,0,0
"G2100590","1930","Kentucky","210","Daviess","0590","Daviess",20037,20262,1711,1769,0,0
"G2100610","1930","Kentucky","210","Edmonson","0610","Edmonson",5815,5473,101,86,0,0
"G2100630","1930","Kentucky","210","Elliott","0630","Elliott",3929,3641,1,0,0,0
"G2100650","1930","Kentucky","210","Estill","0650","Estill",8667,8267,83,62,0,0
"G2100670","1930","Kentucky","210","Fayette","0670","Fayette",25765,26323,8144,8305,6,0
"G2100690","1930","Kentucky","210","Fleming","0690","Fleming",6305,6012,336,278,0,0
"G2100710","1930","Kentucky","210","Floyd","0710","Floyd",21286,19792,477,380,7,0
"G2100730","1930","Kentucky","210","Franklin","0730","Franklin",10059,8370,1530,1097,3,5
"G2100750","1930","Kentucky","210","Fulton","0750","Fulton",5920,5853,1596,1557,1,0
"G2100770","1930","Kentucky","210","Gallatin","0770","Gallatin",2200,2053,95,89,0,0
"G2100790","1930","Kentucky","210","Garrard","0790","Garrard",5251,4847,746,718,0,0
"G2100810","1930","Kentucky","210","Grant","0810","Grant",5009,4683,105,79,0,0
"G2100830","1930","Kentucky","210","Graves","0830","Graves",14279,14305,1091,1103,0,0
"G2100850","1930","Kentucky","210","Grayson","0850","Grayson",8583,8318,79,75,0,0
"G2100870","1930","Kentucky","210","Green","0870","Green",5351,5071,492,487,0,0
"G2100890","1930","Kentucky","210","Greenup","0890","Greenup",12506,11750,195,103,0,0
"G2100910","1930","Kentucky","210","Hancock","0910","Hancock",3028,2835,134,150,0,0
"G2100930","1930","Kentucky","210","Hardin","0930","Hardin",10175,9507,596,635,0,0
"G2100950","1930","Kentucky","210","Harlan","0950","Harlan",30498,28143,3194,2685,24,13
"G2100970","1930","Kentucky","210","Harrison","0970","Harrison",7095,6742,528,494,0,0
"G2100990","1930","Kentucky","210","Hart","0990","Hart",7647,7119,709,694,0,0
"G2101010","1930","Kentucky","210","Henderson","1010","Henderson",11049,10848,2188,2210,0,0
"G2101030","1930","Kentucky","210","Henry","1030","Henry",5827,5556,587,594,0,0
"G2101050","1930","Kentucky","210","Hickman","1050","Hickman",3960,3717,530,518,0,0
"G2101070","1930","Kentucky","210","Hopkins","1070","Hopkins",16334,15834,2675,2606,0,0
"G2101090","1930","Kentucky","210","Jackson","1090","Jackson",5345,5104,8,10,0,0
"G2101110","1930","Kentucky","210","Jefferson","1110","Jefferson",147728,156509,24764,26304,31,14
"G2101130","1930","Kentucky","210","Jessamine","1130","Jessamine",5374,5104,1019,932,1,1
"G2101150","1930","Kentucky","210","Johnson","1150","Johnson",11770,11152,20,26,0,0
"G2101170","1930","Kentucky","210","Kenton","1170","Kenton",43884,45763,1947,1923,13,4
"G2101190","1930","Kentucky","210","Knott","1190","Knott",7682,7319,124,105,0,0
"G2101210","1930","Kentucky","210","Knox","1210","Knox",13097,12574,317,278,0,0
"G2101230","1930","Kentucky","210","Larue","1230","Larue",4340,4240,272,241,0,0
"G2101250","1930","Kentucky","210","Laurel","1250","Laurel",10568,10238,154,149,0,0
"G2101270","1930","Kentucky","210","Lawrence","1270","Lawrence",8536,8053,72,52,0,0
"G2101290","1930","Kentucky","210","Lee","1290","Lee",4865,4724,83,57,0,0
"G2101310","1930","Kentucky","210","Leslie","1310","Leslie",5496,5250,10,9,0,0
"G2101330","1930","Kentucky","210","Letcher","1330","Letcher",17646,15926,1158,962,7,3
"G2101350","1930","Kentucky","210","Lewis","1350","Lewis",7514,6739,33,29,0,0
"G2101370","1930","Kentucky","210","Lincoln","1370","Lincoln",8158,7767,863,899,0,0
"G2101390","1930","Kentucky","210","Livingston","1390","Livingston",4256,4002,179,171,0,0
"G2101410","1930","Kentucky","210","Logan","1410","Logan",9380,9009,1727,1759,0,0
"G2101430","1930","Kentucky","210","Lyon","1430","Lyon",3961,3369,865,335,0,0
"G2101450","1930","Kentucky","210","McCracken","1450","Mccracken",19171,19336,3740,4022,2,0
"G2101470","1930","Kentucky","210","McCreary","1470","Mccreary",7534,7066,17,10,0,0
"G2101490","1930","Kentucky","210","McLean","1490","Mclean",5563,5193,161,154,1,0
"G2101510","1930","Kentucky","210","Madison","1510","Madison",11709,11588,2107,2217,0,0
"G2101530","1930","Kentucky","210","Magoffin","1530","Magoffin",7919,7756,25,19,0,0
"G2101550","1930","Kentucky","210","Marion","1550","Marion",7053,6978,703,765,0,0
"G2101570","1930","Kentucky","210","Marshall","1570","Marshall",6596,6231,34,28,0,0
"G2101590","1930","Kentucky","210","Martin","1590","Martin",4446,4137,1,0,0,0
"G2101610","1930","Kentucky","210","Mason","1610","Mason",8248,8143,1247,1224,0,0
"G2101630","1930","Kentucky","210","Meade","1630","Meade",3989,3649,212,192,0,0
"G2101650","1930","Kentucky","210","Menifee","1650","Menifee",2530,2394,19,15,0,0
"G2101670","1930","Kentucky","210","Mercer","1670","Mercer",6429,6492,826,721,0,3
"G2101690","1930","Kentucky","210","Metcalfe","1690","Metcalfe",4483,4354,274,262,0,0
"G2101710","1930","Kentucky","210","Monroe","1710","Monroe",6419,6174,237,247,0,0
"G2101730","1930","Kentucky","210","Montgomery","1730","Montgomery",4960,4732,945,1022,1,0
"G2101750","1930","Kentucky","210","Morgan","1750","Morgan",7792,7330,5,3,0,0
"G2101770","1930","Kentucky","210","Muhlenberg","1770","Muhlenberg",17716,17127,1519,1422,0,0
"G2101790","1930","Kentucky","210","Nelson","1790","Nelson",7315,7191,1040,1005,0,0
"G2101810","1930","Kentucky","210","Nicholas","1810","Nicholas",4160,3898,257,256,0,0
"G2101830","1930","Kentucky","210","Ohio","1830","Ohio",12098,11569,393,409,0,0
"G2101850","1930","Kentucky","210","Oldham","1850","Oldham",3405,3281,362,354,0,0
"G2101870","1930","Kentucky","210","Owen","1870","Owen",5263,4813,333,300,0,1
"G2101890","1930","Kentucky","210","Owsley","1890","Owsley",3676,3506,19,22,0,0
"G2101910","1930","Kentucky","210","Pendleton","1910","Pendleton",5543,5127,121,84,1,0
"G2101930","1930","Kentucky","210","Perry","1930","Perry",20671,19117,1328,1070,0,0
"G2101950","1930","Kentucky","210","Pike","1950","Pike",31851,29754,893,759,9,1
"G2101970","1930","Kentucky","210","Powell","1970","Powell",2933,2664,110,93,0,0
"G2101990","1930","Kentucky","210","Pulaski","1990","Pulaski",17742,17037,410,451,0,0
"G2102010","1930","Kentucky","210","Robertson","2010","Robertson",1711,1587,25,21,0,0
"G2102030","1930","Kentucky","210","Rockcastle","2030","Rockcastle",7697,7376,36,39,1,0
"G2102050","1930","Kentucky","210","Rowan","2050","Rowan",5664,5202,14,13,0,0
"G2102070","1930","Kentucky","210","Russell","2070","Russell",5924,5782,109,115,0,0
"G2102090","1930","Kentucky","210","Scott","2090","Scott",6093,5796,1311,1200,0,0
"G2102110","1930","Kentucky","210","Shelby","2110","Shelby",7760,7282,1341,1296,0,0
"G2102130","1930","Kentucky","210","Simpson","2130","Simpson",4827,4758,884,867,0,0
"G2102150","1930","Kentucky","210","Spencer","2150","Spencer",3216,2885,261,244,0,0
"G2102170","1930","Kentucky","210","Taylor","2170","Taylor",5466,5460,573,548,0,0
"G2102190","1930","Kentucky","210","Todd","2190","Todd",5115,5012,1686,1707,0,0
"G2102210","1930","Kentucky","210","Trigg","2210","Trigg",5208,4950,1209,1164,0,0
"G2102230","1930","Kentucky","210","Trimble","2230","Trimble",2787,2534,12,15,0,0
"G2102250","1930","Kentucky","210","Union","2250","Union",7648,7379,1052,969,1,4
"G2102270","1930","Kentucky","210","Warren","2270","Warren",14345,14268,2418,2639,3,3
"G2102290","1930","Kentucky","210","Washington","2290","Washington",5751,5510,687,675,0,0
"G2102310","1930","Kentucky","210","Wayne","2310","Wayne",7716,7608,263,261,0,0
"G2102330","1930","Kentucky","210","Webster","2330","Webster",8780,8650,1581,1522,1,0
"G2102350","1930","Kentucky","210","Whitley","2350","Whitley",14885,14546,153,146,0,0
"G2102370","1930","Kentucky","210","Wolfe","2370","Wolfe",4265,4154,3,3,0,0
"G2102390","1930","Kentucky","210","Woodford","2390","Woodford",4517,4257,1126,1080,1,0
"G2200010","1930","Louisiana","220","Acadia","0010","Acadia",15609,15613,3885,4218,1,0
"G2200030","1930","Louisiana","220","Allen","0030","Allen",5585,5443,2045,2058,66,64
"G2200050","1930","Louisiana","220","Ascension","0050","Ascension",5745,5607,3457,3620,4,5
"G2200070","1930","Louisiana","220","Assumption","0070","Assumption",4865,4806,3135,3184,0,0
"G2200090","1930","Louisiana","220","Avoyelles","0090","Avoyelles",12666,12344,4942,4973,0,1
"G2200110","1930","Louisiana","220","Beauregard","0110","Beauregard",5754,5562,1580,1597,43,33
"G2200130","1930","Louisiana","220","Bienville","0130","Bienville",6822,6343,5439,5185,0,0
"G2200150","1930","Louisiana","220","Bossier","0150","Bossier",5474,5008,9003,8843,31,29
"G2200170","1930","Louisiana","220","Caddo","0170","Caddo",33349,34013,27050,29991,142,125
"G2200190","1930","Louisiana","220","Calcasieu","0190","Calcasieu",15112,14726,5850,6262,6,7
"G2200210","1930","Louisiana","220","Caldwell","0210","Caldwell",3920,3573,1496,1441,0,0
"G2200230","1930","Louisiana","220","Cameron","0230","Cameron",2926,2550,316,262,0,0
"G2200250","1930","Louisiana","220","Catahoula","0250","Catahoula",4117,3683,2327,2324,0,0
"G2200270","1930","Louisiana","220","Claiborne","0270","Claiborne",7201,7039,8924,9118,2,1
"G2200290","1930","Louisiana","220","Concordia","0290","Concordia",1925,1661,4484,4701,7,0
"G2200310","1930","Louisiana","220","De Soto","0310","De Soto",5960,5786,9343,9872,27,28
"G2200330","1930","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",19397,19378,13639,15785,8,1
"G2200350","1930","Louisiana","220","East Carroll","0350","East Carroll",2167,1808,5843,5993,4,0
"G2200370","1930","Louisiana","220","East Feliciana","0370","East Feliciana",2872,2696,5863,6013,2,3
"G2200390","1930","Louisiana","220","Evangeline","0390","Evangeline",10089,9619,2882,2890,0,3
"G2200410","1930","Louisiana","220","Franklin","0410","Franklin",10036,9171,5642,5659,15,7
"G2200430","1930","Louisiana","220","Grant","0430","Grant",5499,5254,2532,2423,1,0
"G2200450","1930","Louisiana","220","Iberia","0450","Iberia",8713,8726,5281,5452,7,13
"G2200470","1930","Louisiana","220","Iberville","0470","Iberville",6087,5813,6216,6333,126,63
"G2200490","1930","Louisiana","220","Jackson","0490","Jackson",5100,4721,2040,1947,0,0
"G2200510","1930","Louisiana","220","Jefferson","0510","Jefferson",16384,15483,3896,4004,167,98
"G2200530","1930","Louisiana","220","Jefferson Davis","0530","Jefferson Davis",7474,7311,2495,2484,1,0
"G2200550","1930","Louisiana","220","Lafayette","0550","Lafayette",12625,12929,6423,6837,9,4
"G2200570","1930","Louisiana","220","Lafourche","0570","Lafourche",13627,13460,2674,2639,10,9
"G2200590","1930","Louisiana","220","La Salle","0590","La Salle",4924,4603,1165,941,19,16
"G2200610","1930","Louisiana","220","Lincoln","0610","Lincoln",6646,6475,4792,4909,0,0
"G2200630","1930","Louisiana","220","Livingston","0630","Livingston",7445,6614,2098,2049,0,0
"G2200650","1930","Louisiana","220","Madison","0650","Madison",2794,2401,4844,4727,34,29
"G2200670","1930","Louisiana","220","Morehouse","0670","Morehouse",5208,4865,6719,6878,15,4
"G2200690","1930","Louisiana","220","Natchitoches","0690","Natchitoches",9223,9005,9551,10019,354,325
"G2200710","1930","Louisiana","220","Orleans","0710","Orleans",158659,169070,59732,69900,859,542
"G2200730","1930","Louisiana","220","Ouachita","0730","Ouachita",18350,16850,9312,9729,64,32
"G2200750","1930","Louisiana","220","Plaquemines","0750","Plaquemines",2742,2307,2374,2156,22,7
"G2200770","1930","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",4461,4335,5991,6220,0,0
"G2200790","1930","Louisiana","220","Rapides","0790","Rapides",20349,19664,12146,12980,178,138
"G2200810","1930","Louisiana","220","Red River","0810","Red River",4310,4138,3747,3804,49,30
"G2200830","1930","Louisiana","220","Richland","0830","Richland",6874,6273,6577,6626,13,11
"G2200850","1930","Louisiana","220","Sabine","0850","Sabine",8756,8210,2710,2527,1000,907
"G2200870","1930","Louisiana","220","St Bernard","0870","St Bernard",2787,2365,673,664,22,1
"G2200890","1930","Louisiana","220","St Charles","0890","St Charles",4142,3760,2208,1991,10,0
"G2200910","1930","Louisiana","220","St Helena","0910","St Helena",2033,1848,2477,2134,0,0
"G2200930","1930","Louisiana","220","St James","0930","St James",3892,3850,3796,3754,2,44
"G2200950","1930","Louisiana","220","St John The Baptist","0950","St John The Baptist",3609,3522,3597,3350,0,0
"G2200970","1930","Louisiana","220","St Landry","0970","St Landry",15504,15047,14552,14964,6,1
"G2200990","1930","Louisiana","220","St Martin","0990","St Martin",7256,6966,3794,3751,0,0
"G2201010","1930","Louisiana","220","St Mary","1010","St Mary",7645,7390,7112,7190,30,30
"G2201030","1930","Louisiana","220","St Tammany","1030","St Tammany",7040,6806,3598,3468,11,6
"G2201050","1930","Louisiana","220","Tangipahoa","1050","Tangipahoa",15767,14812,7685,7959,4,0
"G2201070","1930","Louisiana","220","Tensas","1070","Tensas",2268,2012,5294,5501,13,8
"G2201090","1930","Louisiana","220","Terrebonne","1090","Terrebonne",10450,10041,4237,4112,510,466
"G2201110","1930","Louisiana","220","Union","1110","Union",7283,6814,3294,3340,0,0
"G2201130","1930","Louisiana","220","Vermilion","1130","Vermilion",14888,14381,2216,2197,2,0
"G2201150","1930","Louisiana","220","Vernon","1150","Vernon",8423,7960,1827,1733,58,46
"G2201170","1930","Louisiana","220","Washington","1170","Washington",10466,9716,4945,4774,3,0
"G2201190","1930","Louisiana","220","Webster","1190","Webster",8416,7951,6487,6603,1,0
"G2201210","1930","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",1827,1754,3119,3013,3,0
"G2201230","1930","Louisiana","220","West Carroll","1230","West Carroll",5837,5218,1506,1334,0,0
"G2201250","1930","Louisiana","220","West Feliciana","1250","West Feliciana",1649,919,4440,3909,6,1
"G2201270","1930","Louisiana","220","Winn","1270","Winn",5658,5411,1856,1839,2,0
"G2300010","1930","Maine","230","Androscoggin","0010","Androscoggin",34437,36695,20,25,28,9
"G2300030","1930","Maine","230","Aroostook","0030","Aroostook",45544,42184,22,17,41,35
"G2300050","1930","Maine","230","Cumberland","0050","Cumberland",65798,68399,207,177,40,24
"G2300070","1930","Maine","230","Franklin","0070","Franklin",10355,9576,4,1,3,2
"G2300090","1930","Maine","230","Hancock","0090","Hancock",15758,14948,2,1,3,9
"G2300110","1930","Maine","230","Kennebec","0110","Kennebec",35128,35479,40,29,12,3
"G2300130","1930","Maine","230","Knox","0130","Knox",13924,13686,40,26,7,10
"G2300150","1930","Maine","230","Lincoln","0150","Lincoln",7849,7643,4,1,1,0
"G2300170","1930","Maine","230","Oxford","0170","Oxford",21487,19959,22,13,2,0
"G2300190","1930","Maine","230","Penobscot","0190","Penobscot",46209,45497,152,142,213,166
"G2300210","1930","Maine","230","Piscataquis","0210","Piscataquis",9486,8717,0,1,14,13
"G2300230","1930","Maine","230","Sagadahoc","0230","Sagadahoc",8406,8455,31,26,8,1
"G2300250","1930","Maine","230","Somerset","0250","Somerset",20228,18840,5,3,15,20
"G2300270","1930","Maine","230","Waldo","0270","Waldo",10318,9948,11,5,4,0
"G2300290","1930","Maine","230","Washington","0290","Washington",19015,18342,15,10,222,222
"G2300310","1930","Maine","230","York","0310","York",36121,36752,22,22,12,5
"G2400010","1930","Maryland","240","Allegany","0010","Allegany",38586,39056,731,723,2,0
"G2400030","1930","Maryland","240","Anne Arundel","0030","Anne Arundel",22480,17560,7822,7105,191,9
"G2400050","1930","Maryland","240","Baltimore","0050","Baltimore",58426,54347,6808,4956,24,4
"G2400090","1930","Maryland","240","Calvert","0090","Calvert",2592,2417,2358,2161,0,0
"G2400110","1930","Maryland","240","Caroline","0110","Caroline",6935,6775,1906,1771,0,0
"G2400130","1930","Maryland","240","Carroll","0130","Carroll",17053,17162,897,865,1,0
