GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0101030","1990","Alabama","01","010","Morgan County","103","1030","Morgan County",88726,10042,307,366,18,,396,39,3,4,142,
"G0101050","1990","Alabama","01","010","Perry County","105","1050","Perry County",4496,8196,16,14,1,,7,23,0,0,6,
"G0101070","1990","Alabama","01","010","Pickens County","107","1070","Pickens County",11973,8625,24,27,0,,29,20,0,0,1,
"G0101090","1990","Alabama","01","010","Pike County","109","1090","Pike County",17760,9513,144,68,2,,54,35,2,0,17,
"G0101110","1990","Alabama","01","010","Randolph County","111","1110","Randolph County",15104,4672,29,21,2,,34,14,0,0,5,
"G0101130","1990","Alabama","01","010","Russell County","113","1130","Russell County",28311,18041,86,111,10,,162,47,4,6,82,
"G0101150","1990","Alabama","01","010","St. Clair County","115","1150","St. Clair County",45038,4545,134,76,7,,100,16,2,1,90,
"G0101170","1990","Alabama","01","010","Shelby County","117","1170","Shelby County",90292,7698,263,573,7,,423,20,1,2,79,
"G0101190","1990","Alabama","01","010","Sumter County","119","1190","Sumter County",4745,11313,6,29,3,,14,56,0,1,7,
"G0101210","1990","Alabama","01","010","Talladega County","121","1210","Talladega County",50696,22620,172,113,16,,274,153,2,0,61,
"G0101230","1990","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",28461,10187,62,37,8,,32,25,0,0,14,
"G0101250","1990","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",108801,39272,241,1228,32,,597,105,12,36,198,
"G0101270","1990","Alabama","01","010","Walker County","127","1270","Walker County",62863,4397,83,101,2,,179,8,1,6,30,
"G0101290","1990","Alabama","01","010","Washington County","129","1290","Washington County",10958,4612,1057,14,2,,26,11,11,0,3,
"G0101310","1990","Alabama","01","010","Wilcox County","131","1310","Wilcox County",4185,9332,6,5,0,,18,21,0,1,0,
"G0101330","1990","Alabama","01","010","Winston County","133","1330","Winston County",21871,57,42,24,0,,54,0,0,2,3,
"G0200130","1990","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",801,15,1040,423,5,,26,1,2,40,111,
"G0200160","1990","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",6130,635,1066,898,7,,230,27,10,81,394,
"G0200200","1990","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Borough",178168,14126,14126,10427,233,,4568,418,443,483,3346,
"G0200500","1990","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",2074,62,11339,90,11,,31,0,31,1,17,
"G0200600","1990","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",881,38,446,12,0,,13,0,9,0,11,
"G0200700","1990","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",1007,8,2917,25,6,,12,0,8,2,27,
"G0200900","1990","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",62201,5395,5238,1913,74,,1550,158,92,85,1014,
"G0201000","1990","Alaska","02","020","Haines Borough","100","1000","Haines Borough",1793,1,279,17,0,,9,0,0,0,18,
"G0201100","1990","Alaska","02","020","Juneau City and Borough","110","1100","Juneau Borough",21257,279,3360,1097,9,,313,13,102,57,264,
"G0201220","1990","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",36580,196,2892,398,10,,509,7,43,30,137,
"G0201300","1990","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",11182,55,1840,460,6,,134,0,58,33,60,
"G0201500","1990","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",9008,133,2097,1401,7,,281,2,29,91,260,
"G0201640","1990","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",379,0,1245,12,0,,10,0,16,0,6,
"G0201700","1990","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",36452,294,1900,277,8,,497,13,39,20,183,
"G0201800","1990","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1987,9,6132,51,3,,36,0,16,4,50,
"G0201850","1990","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",1248,37,4304,264,2,,26,4,32,21,41,
"G0201880","1990","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",824,12,5190,48,3,,17,0,19,0,0,
