GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1980,AE7AB1980,AE7AC1980,AE7AD1980,AE7AE1980,AE7AF1980,AE7AG1980,AE7AH1980,AE7AI1980,AE7AJ1980,AE7AK1980,AE7AL1980
"G0100010","1980","Alabama","01","010","Autauga County","001","0010","AUTAUGA COUNTY",24506,7176,97,85,0,,340,48,0,0,7,
"G0100030","1980","Alabama","01","010","Baldwin County","003","0030","BALDWIN COUNTY",65448,11940,413,58,42,,474,95,19,6,61,
"G0100050","1980","Alabama","01","010","Barbour County","005","0050","BARBOUR COUNTY",13542,10754,21,37,0,,119,249,0,28,6,
"G0100070","1980","Alabama","01","010","Bibb County","007","0070","BIBB COUNTY",12001,3494,2,6,0,,39,181,0,0,0,
"G0100090","1980","Alabama","01","010","Blount County","009","0090","BLOUNT COUNTY",35438,661,98,17,0,,230,0,0,6,9,
"G0100110","1980","Alabama","01","010","Bullock County","011","0110","BULLOCK COUNTY",3384,7062,0,5,0,,47,98,0,0,0,
"G0100130","1980","Alabama","01","010","Butler County","013","0130","BUTLER COUNTY",13205,8181,14,8,6,,50,216,0,0,0,
"G0100150","1980","Alabama","01","010","Calhoun County","015","0150","CALHOUN COUNTY",96502,20847,283,514,33,,880,158,0,27,517,
"G0100170","1980","Alabama","01","010","Chambers County","017","0170","CHAMBERS COUNTY",25172,13797,5,6,0,,114,97,0,0,0,
"G0100190","1980","Alabama","01","010","Cherokee County","019","0190","CHEROKEE COUNTY",17084,1524,28,14,0,,84,26,0,0,0,
"G0100210","1980","Alabama","01","010","Chilton County","021","0210","CHILTON COUNTY",26839,3583,0,8,0,,101,48,0,33,0,
"G0100230","1980","Alabama","01","010","Choctaw County","023","0230","CHOCTAW COUNTY",9436,7190,8,0,0,,69,129,0,7,0,
"G0100250","1980","Alabama","01","010","Clarke County","025","0250","CLARKE COUNTY",15675,11629,87,0,7,,89,198,0,7,10,
"G0100270","1980","Alabama","01","010","Clay County","027","0270","CLAY COUNTY",11315,2259,8,0,0,,112,9,0,0,0,
"G0100290","1980","Alabama","01","010","Cleburne County","029","0290","CLEBURNE COUNTY",11906,647,0,13,0,,12,0,0,5,12,
"G0100310","1980","Alabama","01","010","Coffee County","031","0310","COFFEE COUNTY",31408,6430,113,151,35,,249,102,7,0,38,
"G0100330","1980","Alabama","01","010","Colbert County","033","0330","COLBERT COUNTY",45122,9101,63,50,0,,132,45,0,0,6,
"G0100350","1980","Alabama","01","010","Conecuh County","035","0350","CONECUH COUNTY",9274,6404,18,0,0,,58,130,0,0,0,
"G0100370","1980","Alabama","01","010","Coosa County","037","0370","COOSA COUNTY",7418,3909,0,7,0,,2,41,0,0,0,
"G0100390","1980","Alabama","01","010","Covington County","039","0390","COVINGTON COUNTY",31620,4842,22,57,8,,247,3,0,49,2,
"G0100410","1980","Alabama","01","010","Crenshaw County","041","0410","CRENSHAW COUNTY",10380,3678,0,13,5,,19,15,0,0,0,
"G0100430","1980","Alabama","01","010","Cullman County","043","0430","CULLMAN COUNTY",60610,550,103,63,8,,284,0,0,5,19,
"G0100450","1980","Alabama","01","010","Dale County","045","0450","DALE COUNTY",38220,7746,342,464,16,,612,82,6,21,312,
"G0100470","1980","Alabama","01","010","Dallas County","047","0470","DALLAS COUNTY",24243,29057,7,50,37,,156,431,0,0,0,
"G0100490","1980","Alabama","01","010","DeKalb County","049","0490","DE KALB COUNTY",52234,912,106,27,0,,263,50,14,14,38,
"G0100510","1980","Alabama","01","010","Elmore County","051","0510","ELMORE COUNTY",33396,9410,20,58,26,,214,245,14,7,0,
