GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1790
"G0900010","1790","Connecticut","09","090","Fairfield County","001","0010","Fairfield",36290
"G0900030","1790","Connecticut","09","090","Hartford County","003","0030","Hartford",38149
"G0900050","1790","Connecticut","09","090","Litchfield County","005","0050","Litchfield",38635
"G0900070","1790","Connecticut","09","090","Middlesex County","007","0070","Middlesex",18828
"G0900090","1790","Connecticut","09","090","New Haven County","009","0090","New Haven",30703
"G0900110","1790","Connecticut","09","090","New London County","011","0110","New London",32918
"G0900130","1790","Connecticut","09","090","Tolland County","013","0130","Tolland",13251
"G0900150","1790","Connecticut","09","090","Windham County","015","0150","Windham",28881
"G1000010","1790","Delaware","10","100","Kent County","001","0010","Kent",18920
"G1000030","1790","Delaware","10","100","New Castle County","003","0030","New Castle",19688
"G1000050","1790","Delaware","10","100","Sussex County","005","0050","Sussex",20488
"G1300330","1790","Georgia","13","130","Burke County","033","0330","Burke",9467
"G1300390","1790","Georgia","13","130","Camden County","039","0390","Camden",305
"G1300510","1790","Georgia","13","130","Chatham County","051","0510","Chatham",10769
"G1301030","1790","Georgia","13","130","Effingham County","103","1030","Effingham",2424
"G1301190","1790","Georgia","13","130","Franklin County","119","1190","Franklin",1041
"G1301270","1790","Georgia","13","130","Glynn County","127","1270","Glynn",413
"G1301330","1790","Georgia","13","130","Greene County","133","1330","Greene",5405
"G1301790","1790","Georgia","13","130","Liberty County","179","1790","Liberty",5355
"G1302450","1790","Georgia","13","130","Richmond County","245","2450","Richmond",11317
"G1303030","1790","Georgia","13","130","Washington County","303","3030","Washington",4552
"G1303170","1790","Georgia","13","130","Wilkes County","317","3170","Wilkes",31500
"G2400010","1790","Maryland","24","240","Allegany County","001","0010","Allegany",4809
"G2400030","1790","Maryland","24","240","Anne Arundel County","003","0030","Anne Arundel",22598
"G2400050","1790","Maryland","24","240","Baltimore County","005","0050","Baltimore",25434
"G2400090","1790","Maryland","24","240","Calvert County","009","0090","Calvert",8652
"G2400110","1790","Maryland","24","240","Caroline County","011","0110","Caroline",9506
"G2400150","1790","Maryland","24","240","Cecil County","015","0150","Cecil",13625
