GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1950,A08AA1950,A08AB1950
"G0100010","1950","Alabama","01","010","Autauga County","001","0010","Autauga",18186,8815,9371
"G0100030","1950","Alabama","01","010","Baldwin County","003","0030","Baldwin",40997,20714,20283
"G0100050","1950","Alabama","01","010","Barbour County","005","0050","Barbour",28892,13804,15088
"G0100070","1950","Alabama","01","010","Bibb County","007","0070","Bibb",17987,8999,8988
"G0100090","1950","Alabama","01","010","Blount County","009","0090","Blount",28975,14757,14218
"G0100110","1950","Alabama","01","010","Bullock County","011","0110","Bullock",16054,7659,8395
"G0100130","1950","Alabama","01","010","Butler County","013","0130","Butler",29228,14275,14953
"G0100150","1950","Alabama","01","010","Calhoun County","015","0150","Calhoun",79539,39149,40390
"G0100170","1950","Alabama","01","010","Chambers County","017","0170","Chambers",39528,19045,20483
"G0100190","1950","Alabama","01","010","Cherokee County","019","0190","Cherokee",17634,8929,8705
"G0100210","1950","Alabama","01","010","Chilton County","021","0210","Chilton",26922,13545,13377
"G0100230","1950","Alabama","01","010","Choctaw County","023","0230","Choctaw",19152,9718,9434
"G0100250","1950","Alabama","01","010","Clarke County","025","0250","Clarke",26548,13209,13339
"G0100270","1950","Alabama","01","010","Clay County","027","0270","Clay",13929,6921,7008
"G0100290","1950","Alabama","01","010","Cleburne County","029","0290","Cleburne",11904,6040,5864
"G0100310","1950","Alabama","01","010","Coffee County","031","0310","Coffee",30720,15242,15478
"G0100330","1950","Alabama","01","010","Colbert County","033","0330","Colbert",39561,19494,20067
"G0100350","1950","Alabama","01","010","Conecuh County","035","0350","Conecuh",21776,10675,11101
"G0100370","1950","Alabama","01","010","Coosa County","037","0370","Coosa",11766,5942,5824
"G0100390","1950","Alabama","01","010","Covington County","039","0390","Covington",40373,19743,20630
"G0100410","1950","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",18981,9334,9647
"G0100430","1950","Alabama","01","010","Cullman County","043","0430","Cullman",49046,24588,24458
"G0100450","1950","Alabama","01","010","Dale County","045","0450","Dale",20828,10322,10506
"G0100470","1950","Alabama","01","010","Dallas County","047","0470","Dallas",56270,26740,29530
"G0100490","1950","Alabama","01","010","DeKalb County","049","0490","Dekalb",45048,22563,22485
"G0100510","1950","Alabama","01","010","Elmore County","051","0510","Elmore",31649,15913,15736
"G0100530","1950","Alabama","01","010","Escambia County","053","0530","Escambia",31443,15742,15701
"G0100550","1950","Alabama","01","010","Etowah County","055","0550","Etowah",93892,46018,47874
"G0100570","1950","Alabama","01","010","Fayette County","057","0570","Fayette",19388,9701,9687
"G0100590","1950","Alabama","01","010","Franklin County","059","0590","Franklin",25705,12958,12747
"G0100610","1950","Alabama","01","010","Geneva County","061","0610","Geneva",25899,12805,13094
"G0100630","1950","Alabama","01","010","Greene County","063","0630","Greene",16482,7988,8494
"G0100650","1950","Alabama","01","010","Hale County","065","0650","Hale",20832,10183,10649
"G0100670","1950","Alabama","01","010","Henry County","067","0670","Henry",18674,9189,9485
"G0100690","1950","Alabama","01","010","Houston County","069","0690","Houston",46522,22650,23872
"G0100710","1950","Alabama","01","010","Jackson County","071","0710","Jackson",38998,19605,19393
"G0100730","1950","Alabama","01","010","Jefferson County","073","0730","Jefferson",558928,268053,290875
"G0100750","1950","Alabama","01","010","Lamar County","075","0750","Lamar",16441,8331,8110
"G0100770","1950","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",54179,26698,27481
"G0100790","1950","Alabama","01","010","Lawrence County","079","0790","Lawrence",27128,13774,13354
"G0100810","1950","Alabama","01","010","Lee County","081","0810","Lee",45073,23147,21926
"G0100830","1950","Alabama","01","010","Limestone County","083","0830","Limestone",35766,17901,17865
"G0100850","1950","Alabama","01","010","Lowndes County","085","0850","Lowndes",18018,8728,9290
"G0100870","1950","Alabama","01","010","Macon County","087","0870","Macon",30561,16284,14277
"G0100890","1950","Alabama","01","010","Madison County","089","0890","Madison",72903,35613,37290
"G0100910","1950","Alabama","01","010","Marengo County","091","0910","Marengo",29494,14505,14989
"G0100930","1950","Alabama","01","010","Marion County","093","0930","Marion",27264,13673,13591
"G0100950","1950","Alabama","01","010","Marshall County","095","0950","Marshall",45090,22477,22613
"G0100970","1950","Alabama","01","010","Mobile County","097","0970","Mobile",231105,112141,118964
"G0100990","1950","Alabama","01","010","Monroe County","099","0990","Monroe",25732,12679,13053
"G0101010","1950","Alabama","01","010","Montgomery County","101","1010","Montgomery",138965,66271,72694
"G0101030","1950","Alabama","01","010","Morgan County","103","1030","Morgan",52924,25877,27047
"G0101050","1950","Alabama","01","010","Perry County","105","1050","Perry",20439,9866,10573
"G0101070","1950","Alabama","01","010","Pickens County","107","1070","Pickens",24349,12003,12346
"G0101090","1950","Alabama","01","010","Pike County","109","1090","Pike",30608,15014,15594
"G0101110","1950","Alabama","01","010","Randolph County","111","1110","Randolph",22513,11149,11364
"G0101130","1950","Alabama","01","010","Russell County","113","1130","Russell",40364,19487,20877
"G0101150","1950","Alabama","01","010","St. Clair County","115","1150","St Clair",26687,13396,13291
"G0101170","1950","Alabama","01","010","Shelby County","117","1170","Shelby",30362,14837,15525
"G0101190","1950","Alabama","01","010","Sumter County","119","1190","Sumter",23610,11481,12129
"G0101210","1950","Alabama","01","010","Talladega County","121","1210","Talladega",63639,31010,32629
"G0101230","1950","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",35074,17419,17655
"G0101250","1950","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",94092,47541,46551
"G0101270","1950","Alabama","01","010","Walker County","127","1270","Walker",63769,31791,31978
"G0101290","1950","Alabama","01","010","Washington County","129","1290","Washington",15612,7880,7732
"G0101310","1950","Alabama","01","010","Wilcox County","131","1310","Wilcox",23476,11394,12082
"G0101330","1950","Alabama","01","010","Winston County","133","1330","Winston",18250,9246,9004
"G0250015","1950","Alaska Territory",,"025","First Judicicial Dist",,"0015","First Judicicial Dist",28203,15714,12489
"G0250035","1950","Alaska Territory",,"025","Fourth Judicicial Dist",,"0035","Fourth Judicicial Dist",28650,18119,10531
"G0250075","1950","Alaska Territory",,"025","Second Judicicial Dist",,"0075","Second Judicicial Dist",12272,6669,5603
"G0250115","1950","Alaska Territory",,"025","Third Judicicial Dist",,"0115","Third Judicicial Dist",59518,38970,20548
"G0400010","1950","Arizona","04","040","Apache County","001","0010","Apache",27767,14069,13698
"G0400030","1950","Arizona","04","040","Cochise County","003","0030","Cochise",31488,15329,16159
"G0400050","1950","Arizona","04","040","Coconino County","005","0050","Coconino",23910,12303,11607
"G0400070","1950","Arizona","04","040","Gila County","007","0070","Gila",24158,12215,11943
"G0400090","1950","Arizona","04","040","Graham County","009","0090","Graham",12985,6686,6299
"G0400110","1950","Arizona","04","040","Greenlee County","011","0110","Greenlee",12805,6654,6151
"G0400130","1950","Arizona","04","040","Maricopa County","013","0130","Maricopa",331770,166149,165621
"G0400150","1950","Arizona","04","040","Mohave County","015","0150","Mohave",8510,4530,3980
"G0400170","1950","Arizona","04","040","Navajo County","017","0170","Navajo",29446,14844,14602
"G0400190","1950","Arizona","04","040","Pima County","019","0190","Pima",141216,71059,70157
"G0400210","1950","Arizona","04","040","Pinal County","021","0210","Pinal",43191,22833,20358
"G0400230","1950","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz",9344,4481,4863
"G0400250","1950","Arizona","04","040","Yavapai County","025","0250","Yavapai",24991,12978,12013
"G0400270","1950","Arizona","04","040","Yuma County","027","0270","Yuma",28006,14929,13077
"G0500010","1950","Arkansas","05","050","Arkansas County","001","0010","Arkansas",23665,11894,11771
"G0500030","1950","Arkansas","05","050","Ashley County","003","0030","Ashley",25660,13006,12654
"G0500050","1950","Arkansas","05","050","Baxter County","005","0050","Baxter",11683,5960,5723
"G0500070","1950","Arkansas","05","050","Benton County","007","0070","Benton",38076,19028,19048
"G0500090","1950","Arkansas","05","050","Boone County","009","0090","Boone",16260,8046,8214
"G0500110","1950","Arkansas","05","050","Bradley County","011","0110","Bradley",15987,8019,7968
"G0500130","1950","Arkansas","05","050","Calhoun County","013","0130","Calhoun",7132,3597,3535
"G0500150","1950","Arkansas","05","050","Carroll County","015","0150","Carroll",13244,6637,6607
"G0500170","1950","Arkansas","05","050","Chicot County","017","0170","Chicot",22306,10890,11416
