GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA2010,AE7AB2010,AE7AC2010,AE7AD2010,AE7AE2010,AE7AF2010,AE7AG2010,AE7AH2010,AE7AI2010,AE7AJ2010,AE7AK2010,AE7AL2010
"G0100010","2010","Alabama","01","010","Autauga County","001","0010","Autauga County",42154,9595,217,489,45,761,701,48,15,17,421,108
"G0100030","2010","Alabama","01","010","Baldwin County","003","0030","Baldwin County",152200,16966,1146,1419,245,2297,3953,139,70,18,3386,426
"G0100050","2010","Alabama","01","010","Barbour County","005","0050","Barbour County",12837,12820,60,131,13,209,343,55,54,5,881,49
"G0100070","2010","Alabama","01","010","Bibb County","007","0070","Bibb County",17191,5024,64,29,20,181,190,23,0,6,165,22
"G0100090","2010","Alabama","01","010","Blount County","009","0090","Blount County",50952,724,285,133,35,567,2116,37,22,22,2312,117
"G0100110","2010","Alabama","01","010","Bullock County","011","0110","Bullock County",2392,7637,20,24,5,59,115,29,3,39,564,27
"G0100130","2010","Alabama","01","010","Butler County","013","0130","Butler County",11324,9047,59,181,3,142,75,48,1,3,45,19
"G0100150","2010","Alabama","01","010","Calhoun County","015","0150","Calhoun County",87285,24177,480,924,109,1704,1555,205,60,17,1785,271
"G0100170","2010","Alabama","01","010","Chambers County","017","0170","Chambers County",19893,13206,57,173,23,327,219,51,12,5,191,58
"G0100190","2010","Alabama","01","010","Cherokee County","019","0190","Cherokee County",23929,1206,122,50,15,347,152,2,13,5,108,40
"G0100210","2010","Alabama","01","010","Chilton County","021","0210","Chilton County",35395,4171,134,136,34,353,1318,59,21,49,1820,153
"G0100230","2010","Alabama","01","010","Choctaw County","023","0230","Choctaw County",7700,5990,18,12,10,56,31,22,0,0,18,2
"G0100250","2010","Alabama","01","010","Clarke County","025","0250","Clarke County",13943,11280,96,78,9,156,127,56,7,3,58,20
"G0100270","2010","Alabama","01","010","Clay County","027","0270","Clay County",11186,2048,55,23,5,216,194,18,0,1,167,19
"G0100290","2010","Alabama","01","010","Cleburne County","029","0290","Cleburne County",13956,494,50,24,4,137,123,4,1,9,147,23
"G0100310","2010","Alabama","01","010","Coffee County","031","0310","Coffee County",36134,8257,602,680,52,1043,1196,102,43,64,1571,204
"G0100330","2010","Alabama","01","010","Colbert County","033","0330","Colbert County",43334,8702,262,238,35,764,455,66,5,11,475,81
"G0100350","2010","Alabama","01","010","Conecuh County","035","0350","Conecuh County",6764,6122,44,17,6,114,24,27,0,1,91,18
"G0100370","2010","Alabama","01","010","Coosa County","037","0370","Coosa County",7604,3556,40,14,7,88,44,26,0,17,128,15
"G0100390","2010","Alabama","01","010","Covington County","039","0390","Covington County",31751,4685,196,149,13,488,271,31,18,7,122,34
"G0100410","2010","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",10020,3241,56,190,2,193,77,13,1,7,97,9
"G0100430","2010","Alabama","01","010","Cullman County","043","0430","Cullman County",74568,821,397,357,41,768,1565,35,11,4,1718,121
"G0100450","2010","Alabama","01","010","Dale County","045","0450","Dale County",35705,9546,337,569,66,1207,1531,133,34,9,816,298
"G0100470","2010","Alabama","01","010","Dallas County","047","0470","Dallas County",12676,30314,78,150,15,278,93,109,7,10,69,21
"G0100490","2010","Alabama","01","010","DeKalb County","049","0490","DeKalb County",57997,1029,865,201,41,1286,2090,49,104,149,7010,288
"G0100510","2010","Alabama","01","010","Elmore County","051","0510","Elmore County",59449,15814,269,564,74,1004,1006,86,16,17,864,140
"G0100530","2010","Alabama","01","010","Escambia County","053","0530","Escambia County",23508,12162,1274,98,20,539,276,58,14,6,323,41
"G0100550","2010","Alabama","01","010","Etowah County","055","0550","Etowah County",82789,15716,372,687,87,1332,1034,80,76,156,1888,213
"G0100570","2010","Alabama","01","010","Fayette County","057","0570","Fayette County",14832,1958,47,37,11,152,78,11,5,0,91,19
"G0100590","2010","Alabama","01","010","Franklin County","059","0590","Franklin County",25249,1211,121,53,32,328,1071,17,94,20,3306,202
"G0100610","2010","Alabama","01","010","Geneva County","061","0610","Geneva County",22692,2523,197,72,15,371,435,16,27,3,394,45
"G0100630","2010","Alabama","01","010","Greene County","063","0630","Greene County",1562,7349,11,15,0,39,13,21,6,0,25,4
"G0100650","2010","Alabama","01","010","Hale County","065","0650","Hale County",6213,9265,23,36,7,76,53,36,2,0,37,12
"G0100670","2010","Alabama","01","010","Henry County","067","0670","Henry County",11731,4915,54,47,5,161,134,27,3,9,201,15
"G0100690","2010","Alabama","01","010","Houston County","069","0690","Houston County",69731,26038,393,849,96,1445,1322,138,53,20,1148,314
"G0100710","2010","Alabama","01","010","Jackson County","071","0710","Jackson County",47937,1771,680,194,24,1282,411,10,39,39,744,96
"G0100730","2010","Alabama","01","010","Jefferson County","073","0730","Jefferson County",340213,275511,1431,9239,531,6053,8953,1014,309,163,13827,1222
"G0100750","2010","Alabama","01","010","Lamar County","075","0750","Lamar County",12542,1635,24,5,4,174,84,8,0,1,78,9
"G0100770","2010","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",79228,9190,323,698,40,1148,884,67,15,21,937,158
"G0100790","2010","Alabama","01","010","Lawrence County","079","0790","Lawrence County",26420,3917,1928,46,25,1429,227,21,25,2,250,49
"G0100810","2010","Alabama","01","010","Lee County","081","0810","Lee County",97900,31674,397,3681,164,1860,2106,227,48,82,1709,399
"G0100830","2010","Alabama","01","010","Limestone County","083","0830","Limestone County",65112,10350,487,937,83,1222,1394,79,60,29,2783,246
"G0100850","2010","Alabama","01","010","Lowndes County","085","0850","Lowndes County",2841,8283,25,14,4,45,18,27,0,0,27,15
"G0100870","2010","Alabama","01","010","Macon County","087","0870","Macon County",3267,17631,28,78,12,204,52,98,1,0,57,24
"G0100890","2010","Alabama","01","010","Madison County","089","0890","Madison County",221445,79517,2335,8488,471,7151,6835,859,216,142,6248,1104
"G0100910","2010","Alabama","01","010","Marengo County","091","0910","Marengo County",9607,10838,31,62,1,136,144,34,3,4,139,28
"G0100930","2010","Alabama","01","010","Marion County","093","0930","Marion County",28509,1178,94,60,24,279,282,6,7,8,267,62
"G0100950","2010","Alabama","01","010","Marshall County","095","0950","Marshall County",78060,1389,570,538,63,1161,3404,105,136,43,7147,403
"G0100970","2010","Alabama","01","010","Mobile County","097","0970","Mobile County",243904,142272,3541,7664,428,5247,4743,720,140,101,3457,775
"G0100990","2010","Alabama","01","010","Monroe County","099","0990","Monroe County",12621,9581,256,71,8,311,97,33,4,5,58,23
"G0101010","2010","Alabama","01","010","Montgomery County","101","1010","Montgomery County",88099,124928,520,4876,187,2439,2557,549,69,116,4556,467
"G0101030","2010","Alabama","01","010","Morgan County","103","1030","Morgan County",92585,14059,928,734,80,1948,2819,126,114,64,5617,416
"G0101050","2010","Alabama","01","010","Perry County","105","1050","Perry County",3142,7244,17,35,4,35,62,32,0,0,12,8
"G0101070","2010","Alabama","01","010","Pickens County","107","1070","Pickens County",11027,8169,28,33,18,158,83,42,0,4,110,74
"G0101090","2010","Alabama","01","010","Pike County","109","1090","Pike County",18887,11990,185,651,14,442,257,64,7,27,327,48
"G0101110","2010","Alabama","01","010","Randolph County","111","1110","Randolph County",17280,4604,84,59,8,229,252,3,0,1,361,32
"G0101130","2010","Alabama","01","010","Russell County","113","1130","Russell County",27591,21926,189,335,55,905,858,209,30,14,636,199
"G0101150","2010","Alabama","01","010","St. Clair County","115","1150","St. Clair County",72947,7098,252,553,64,963,794,52,29,11,670,160
"G0101170","2010","Alabama","01","010","Shelby County","117","1170","Shelby County",156371,20606,458,3761,250,2072,5572,126,95,39,5123,612
"G0101190","2010","Alabama","01","010","Sumter County","119","1190","Sumter County",3304,10283,11,34,0,45,22,33,0,3,26,2
"G0101210","2010","Alabama","01","010","Talladega County","121","1210","Talladega County",53079,25953,230,335,60,963,660,102,34,10,727,138
"G0101230","2010","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",28838,11050,119,199,22,346,249,33,2,6,691,61
"G0101250","2010","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",126611,57401,455,2369,136,1735,2393,210,71,54,2857,364
"G0101270","2010","Alabama","01","010","Walker County","127","1270","Walker County",60587,3885,233,216,36,759,559,43,18,15,603,69
"G0101290","2010","Alabama","01","010","Washington County","129","1290","Washington County",11455,4360,1394,27,8,186,53,20,17,5,35,21
"G0101310","2010","Alabama","01","010","Wilcox County","131","1310","Wilcox County",3110,8420,14,5,2,47,16,45,0,0,7,4
"G0101330","2010","Alabama","01","010","Winston County","133","1330","Winston County",23237,115,139,67,4,283,172,0,24,21,352,70
"G0200130","2010","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",425,212,869,1132,1,117,235,7,7,17,83,36
"G0200160","2010","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",1745,318,841,1677,5,249,259,14,16,32,343,62
"G0200200","2010","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality",182814,15308,22047,28984,562,20050,9684,918,1083,497,6284,3595
"G0200500","2010","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",1854,65,14056,176,6,675,40,0,53,11,39,38
"G0200600","2010","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",476,0,330,11,0,156,5,0,4,0,4,11
"G0200680","2010","Alaska","02","020","Denali Borough","068","0680","Denali Borough",1614,10,64,20,5,71,23,0,1,0,9,9
"G0200700","2010","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",855,11,3431,38,1,410,23,0,39,0,11,28
"G0200900","2010","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",72259,4154,6669,2887,191,5770,2916,269,210,100,1255,901
"G0201000","2010","Alaska","02","020","Haines Borough","100","1000","Haines Borough",2062,9,227,13,13,137,24,1,3,1,8,10
"G0201050","2010","Alaska","02","020","Hoonah-Angoon Census Area","105","1050","Hoonah-Angoon Census Area",993,8,850,13,0,209,21,0,40,0,6,10
"G0201100","2010","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough",21065,259,3534,2092,40,2697,749,20,158,45,346,270
"G0201220","2010","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",45879,248,3970,725,79,2858,978,21,111,25,257,249
"G0201300","2010","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",8918,76,1831,960,14,1140,258,2,79,10,79,110
"G0201500","2010","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",7137,85,1759,2706,14,895,385,7,38,41,383,142
"G0201640","2010","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",362,9,1044,11,0,162,18,0,17,0,6,2
"G0201700","2010","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",73676,817,4735,1289,121,5056,1864,39,166,28,519,685
"G0201800","2010","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1511,27,7175,97,8,559,41,0,24,8,14,28
"G0201850","2010","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",3059,91,5046,517,7,461,88,3,54,12,60,32
"G0201880","2010","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",830,35,6102,54,3,441,16,2,19,0,14,7
"G0201950","2010","Alaska","02","020","Petersburg Census Area","195","1950","Petersburg Census Area",2649,15,603,102,13,303,62,0,11,5,29,23
"G0201980","2010","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980","Prince of Wales-Hyder Census Area",2756,17,2165,42,4,448,43,0,42,0,16,26
"G0202200","2010","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough",5641,43,1442,538,11,769,157,4,51,21,102,102
"G0202300","2010","Alaska","02","020","Skagway Municipality","230","2300","Skagway Municipality",872,0,34,6,0,35,13,0,0,0,4,4
"G0202400","2010","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",5535,71,797,75,6,311,116,5,11,7,63,32
"G0202610","2010","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",6949,45,1270,404,1,618,178,1,45,4,45,76
"G0202700","2010","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",199,1,7082,17,3,150,2,0,3,1,0,1
"G0202750","2010","Alaska","02","020","Wrangell City and Borough","275","2750","Wrangell City and Borough",1699,4,381,33,1,214,20,0,3,1,4,9
"G0202820","2010","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough",268,2,235,39,0,101,13,0,2,0,1,1
"G0202900","2010","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",1218,9,3967,20,2,306,25,1,25,0,7,8
"G0400010","2010","Arizona","04","040","Apache County","001","0010","Apache County",14568,157,51360,209,27,1084,2066,18,794,20,877,338
"G0400030","2010","Arizona","04","040","Cochise County","003","0030","Cochise County",76805,4936,989,2789,223,3061,26280,529,600,154,12766,2214
"G0400050","2010","Arizona","04","040","Coconino County","005","0050","Coconino County",74231,1495,35610,1925,192,2802,8736,134,1104,85,6798,1309
"G0400070","2010","Arizona","04","040","Gila County","007","0070","Gila County",35298,195,7615,290,38,573,5864,38,331,30,2827,498
"G0400090","2010","Arizona","04","040","Graham County","009","0090","Graham County",19483,633,5074,242,33,435,7344,50,302,10,3001,613
"G0400110","2010","Arizona","04","040","Greenlee County","011","0110","Greenlee County",4054,79,142,49,3,70,2460,10,53,2,1265,250
"G0400120","2010","Arizona","04","040","La Paz County","012","0120","La Paz County",12854,115,2201,95,11,407,1452,14,427,19,2540,354
"G0400130","2010","Arizona","04","040","Maricopa County","013","0130","Maricopa County",2240055,177490,59252,135024,5508,71047,546726,13029,19077,4991,484197,60721
"G0400150","2010","Arizona","04","040","Mohave County","015","0150","Mohave County",159378,1715,3793,2332,145,3254,14500,167,707,112,11844,2239
