GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA1990,CL5AA1990,B69AA1990,B69AB1990,B69AC1990,B84AA1990,B84AB1990,B84AC1990,B84AD1990,B84AE1990,B84AF1990
"G0100010","1990","Alabama","01","010","Autauga County","001","0010","Autauga County",9501,31073,2438,15397,3026,16729,419,16310,15432,878,8570
"G0100030","1990","Alabama","01","010","Baldwin County","003","0030","Baldwin County",28142,86069,6386,47367,10870,45624,144,45480,43005,2475,30237
"G0100050","1990","Alabama","01","010","Barbour County","005","0050","Barbour County",6687,21771,3403,10442,1857,11186,35,11151,10313,838,7639
"G0100070","1990","Alabama","01","010","Bibb County","007","0070","Bibb County",4478,14740,2122,7467,476,7199,10,7189,6725,464,5101
"G0100090","1990","Alabama","01","010","Blount County","009","0090","Blount County",11654,35495,4330,19138,1773,18538,36,18502,17568,934,11937
"G0100110","1990","Alabama","01","010","Bullock County","011","0110","Bullock County",2712,9084,1608,4443,676,4090,6,4084,3753,331,3883
"G0100130","1990","Alabama","01","010","Butler County","013","0130","Butler County",5825,19163,3074,9333,1083,8783,8,8775,7537,1238,7302
"G0100150","1990","Alabama","01","010","Calhoun County","015","0150","Calhoun County",31718,97082,9386,52793,10266,55865,4616,51249,46899,4350,34375
"G0100170","1990","Alabama","01","010","Chambers County","017","0170","Chambers County",10219,32194,4506,17074,2101,17595,19,17576,16376,1200,10914
"G0100190","1990","Alabama","01","010","Cherokee County","019","0190","Cherokee County",5860,17620,2683,9405,866,9137,2,9135,8444,691,6404
"G0100210","1990","Alabama","01","010","Chilton County","021","0210","Chilton County",9352,28883,3977,15254,1550,14549,35,14514,13648,866,10242
"G0100230","1990","Alabama","01","010","Choctaw County","023","0230","Choctaw County",4313,14312,2210,6760,836,6424,41,6383,5659,724,5510
"G0100250","1990","Alabama","01","010","Clarke County","025","0250","Clarke County",7192,24204,2866,11664,1755,11170,5,11165,10305,860,8979
"G0100270","1990","Alabama","01","010","Clay County","027","0270","Clay County",3794,11723,1600,6431,628,6127,44,6083,5784,299,4265
"G0100290","1990","Alabama","01","010","Cleburne County","029","0290","Cleburne County",3748,11426,1747,5825,529,6104,30,6074,5741,333,3712
"G0100310","1990","Alabama","01","010","Coffee County","031","0310","Coffee County",11570,35261,3896,17804,4274,19691,1616,18075,16963,1112,11545
"G0100330","1990","Alabama","01","010","Colbert County","033","0330","Colbert County",15174,45718,4946,25409,3956,23798,41,23757,22098,1659,16822
"G0100350","1990","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3898,12390,2141,6247,574,5785,0,5785,5118,667,4838
"G0100370","1990","Alabama","01","010","Coosa County","037","0370","Coosa County",3095,9801,1265,5463,456,4871,2,4869,4590,279,3670
"G0100390","1990","Alabama","01","010","Covington County","039","0390","Covington County",10474,31568,5194,16698,2198,16283,37,16246,15388,858,12009
