GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA1980,CL5AA1980,B69AA1980,B69AB1980,B69AC1980,B84AA1980,B84AB1980,B84AC1980,B84AD1980,B84AE1980,B84AF1980
"G0100010","1980","Alabama","01","010","Autauga County","001","0010","AUTAUGA COUNTY",8534,30079,4079,11244,2117,13857,359,13498,12591,907,9042
"G0100030","1980","Alabama","01","010","Baldwin County","003","0030","BALDWIN COUNTY",21560,71737,9822,30285,5498,32370,110,32260,29807,2453,25236
"G0100050","1980","Alabama","01","010","Barbour County","005","0050","BARBOUR COUNTY",6467,22388,5230,7562,1300,9455,45,9410,8642,768,8376
"G0100070","1980","Alabama","01","010","Bibb County","007","0070","BIBB COUNTY",4124,14391,3086,5315,433,5919,0,5919,5377,542,5364
"G0100090","1980","Alabama","01","010","Blount County","009","0090","BLOUNT COUNTY",10539,33913,6967,13529,1144,14869,18,14851,13713,1138,12118
"G0100110","1980","Alabama","01","010","Bullock County","011","0110","BULLOCK COUNTY",2606,9614,2257,3114,516,3622,15,3607,3264,343,3912
"G0100130","1980","Alabama","01","010","Butler County","013","0130","BUTLER COUNTY",5750,19582,4422,7158,1029,8294,18,8276,7691,585,7340
"G0100150","1980","Alabama","01","010","Calhoun County","015","0150","CALHOUN COUNTY",30884,100973,15595,42533,7213,54762,7929,46833,42549,4284,35466
"G0100170","1980","Alabama","01","010","Chambers County","017","0170","CHAMBERS COUNTY",10549,35513,7237,14161,1710,17269,27,17242,15917,1325,11534
"G0100190","1980","Alabama","01","010","Cherokee County","019","0190","CHEROKEE COUNTY",5396,17462,3815,6700,712,7994,10,7984,7393,591,6027
"G0100210","1980","Alabama","01","010","Chilton County","021","0210","CHILTON COUNTY",8653,28134,5677,11097,1158,12237,16,12221,11080,1141,10371
"G0100230","1980","Alabama","01","010","Choctaw County","023","0230","CHOCTAW COUNTY",4329,15605,3330,5237,640,5807,0,5807,5342,465,5923
"G0100250","1980","Alabama","01","010","Clarke County","025","0250","CLARKE COUNTY",7012,25238,4294,9439,1344,10306,0,10306,9483,823,9157
"G0100270","1980","Alabama","01","010","Clay County","027","0270","CLAY COUNTY",3808,12607,2484,5090,479,5636,19,5617,5272,345,4400
"G0100290","1980","Alabama","01","010","Cleburne County","029","0290","CLEBURNE COUNTY",3651,11738,2825,4169,431,5587,15,5572,5232,340,3740
"G0100310","1980","Alabama","01","010","Coffee County","031","0310","COFFEE COUNTY",10893,35373,6087,13823,2766,17215,1268,15947,14893,1054,11340
"G0100330","1980","Alabama","01","010","Colbert County","033","0330","COLBERT COUNTY",15488,49974,7893,21304,3034,23709,5,23704,21451,2253,17216
"G0100350","1980","Alabama","01","010","Conecuh County","035","0350","CONECUH COUNTY",4128,14334,3321,5159,556,5823,18,5805,5382,423,5704
"G0100370","1980","Alabama","01","010","Coosa County","037","0370","COOSA COUNTY",3093,10396,2221,4188,237,4707,4,4703,4461,242,3585
"G0100390","1980","Alabama","01","010","Covington County","039","0390","COVINGTON COUNTY",10492,32923,8504,12776,1636,16229,34,16195,15096,1099,11976
"G0100410","1980","Alabama","01","010","Crenshaw County","041","0410","CRENSHAW COUNTY",3856,12688,3484,4412,576,5446,19,5427,5100,327,5029
"G0100430","1980","Alabama","01","010","Cullman County","043","0430","CULLMAN COUNTY",17870,56778,11961,22149,2671,26289,44,26245,24130,2115,19867
"G0100450","1980","Alabama","01","010","Dale County","045","0450","DALE COUNTY",12317,40729,4967,17025,2898,22424,6741,15683,14284,1399,12493
"G0100470","1980","Alabama","01","010","Dallas County","047","0470","DALLAS COUNTY",13246,47903,7930,17642,3265,21115,48,21067,19087,1980,16889
"G0100490","1980","Alabama","01","010","DeKalb County","049","0490","DE KALB COUNTY",15471,49306,11270,18870,1808,22717,32,22685,21126,1559,17200
"G0100510","1980","Alabama","01","010","Elmore County","051","0510","ELMORE COUNTY",11444,38673,5725,16751,2567,17791,250,17541,16585,956,14094
"G0100530","1980","Alabama","01","010","Escambia County","053","0530","ESCAMBIA COUNTY",9885,33642,6533,13904,1586,14875,41,14834,13411,1423,13287
"G0100550","1980","Alabama","01","010","Etowah County","055","0550","ETOWAH COUNTY",29042,93030,15896,40343,5491,42123,90,42033,38589,3444,34775
"G0100570","1980","Alabama","01","010","Fayette County","057","0570","FAYETTE COUNTY",5312,17152,3930,6488,820,7951,0,7951,7437,514,6025
"G0100590","1980","Alabama","01","010","Franklin County","059","0590","FRANKLIN COUNTY",8258,25993,5399,10745,1029,11921,0,11921,10792,1129,9485
"G0100610","1980","Alabama","01","010","Geneva County","061","0610","GENEVA COUNTY",6860,22262,5008,8604,861,10054,124,9930,9406,524,7928
"G0100630","1980","Alabama","01","010","Greene County","063","0630","GREENE COUNTY",2539,9916,2413,2834,558,3472,12,3460,2958,502,4128
"G0100650","1980","Alabama","01","010","Hale County","065","0650","HALE COUNTY",3743,14110,3605,4255,564,5342,11,5331,4741,590,5714
"G0100670","1980","Alabama","01","010","Henry County","067","0670","HENRY COUNTY",4163,14054,3114,5120,779,6078,10,6068,5700,368,5131
"G0100690","1980","Alabama","01","010","Houston County","069","0690","HOUSTON COUNTY",20620,67531,10678,26667,5435,33269,215,33054,31495,1559,21147
"G0100710","1980","Alabama","01","010","Jackson County","071","0710","JACKSON COUNTY",14616,47755,9810,17749,1996,22118,35,22083,20148,1935,15262
"G0100730","1980","Alabama","01","010","Jefferson County","073","0730","JEFFERSON COUNTY",181254,587225,71909,265885,63229,302321,423,301898,281786,20112,209282
"G0100750","1980","Alabama","01","010","Lamar County","075","0750","LAMAR COUNTY",4608,15016,3622,5589,580,6991,28,6963,6542,421,5150
"G0100770","1980","Alabama","01","010","Lauderdale County","077","0770","LAUDERDALE COUNTY",22489,72183,11742,28594,6044,35474,56,35418,32454,2964,25306
"G0100790","1980","Alabama","01","010","Lawrence County","079","0790","LAWRENCE COUNTY",8159,28175,5578,10433,665,11586,12,11574,10332,1242,9880
"G0100810","1980","Alabama","01","010","Lee County","081","0810","LEE COUNTY",17479,57567,8267,19926,7777,33071,276,32795,30774,2021,26491
"G0100830","1980","Alabama","01","010","Limestone County","083","0830","LIMESTONE COUNTY",12690,42538,7887,15870,2277,19538,154,19384,17685,1699,14009
"G0100850","1980","Alabama","01","010","Lowndes County","085","0850","LOWNDES COUNTY",2963,12349,2421,3461,430,4288,21,4267,3755,512,4418
