GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2010,CL5AA2010
"G1801570","2010","Indiana","18","180","Tippecanoe County","157","1570","Tippecanoe County",37003,111761
"G1801590","2010","Indiana","18","180","Tipton County","159","1590","Tipton County",4517,13240
"G1801610","2010","Indiana","18","180","Union County","161","1610","Union County",2117,6320
"G1801630","2010","Indiana","18","180","Vanderburgh County","163","1630","Vanderburgh County",45118,132024
"G1801650","2010","Indiana","18","180","Vermillion County","165","1650","Vermillion County",4533,13158
"G1801670","2010","Indiana","18","180","Vigo County","167","1670","Vigo County",25607,75563
"G1801690","2010","Indiana","18","180","Wabash County","169","1690","Wabash County",8733,25514
"G1801710","2010","Indiana","18","180","Warren County","171","1710","Warren County",2416,7105
"G1801730","2010","Indiana","18","180","Warrick County","173","1730","Warrick County",17009,51452
"G1801750","2010","Indiana","18","180","Washington County","175","1750","Washington County",7799,23560
"G1801770","2010","Indiana","18","180","Wayne County","177","1770","Wayne County",18126,53081
"G1801790","2010","Indiana","18","180","Wells County","179","1790","Wells County",7684,23022
"G1801810","2010","Indiana","18","180","White County","181","1810","White County",6849,20239
"G1801830","2010","Indiana","18","180","Whitley County","183","1830","Whitley County",9228,27554
"G1900010","2010","Iowa","19","190","Adair County","001","0010","Adair County",2148,6091
"G1900030","2010","Iowa","19","190","Adams County","003","0030","Adams County",1126,3166
"G1900050","2010","Iowa","19","190","Allamakee County","005","0050","Allamakee County",3885,11378
"G1900070","2010","Iowa","19","190","Appanoose County","007","0070","Appanoose County",3529,10042
"G1900090","2010","Iowa","19","190","Audubon County","009","0090","Audubon County",1743,4903
"G1900110","2010","Iowa","19","190","Benton County","011","0110","Benton County",7373,21790
"G1900130","2010","Iowa","19","190","Black Hawk County","013","0130","Black Hawk County",32110,93936
"G1900150","2010","Iowa","19","190","Boone County","015","0150","Boone County",7134,20633
"G1900170","2010","Iowa","19","190","Bremer County","017","0170","Bremer County",6509,18757
"G1900190","2010","Iowa","19","190","Buchanan County","019","0190","Buchanan County",5661,17259
"G1900210","2010","Iowa","19","190","Buena Vista County","021","0210","Buena Vista County",5027,15773
"G1900230","2010","Iowa","19","190","Butler County","023","0230","Butler County",4323,12322
"G1900250","2010","Iowa","19","190","Calhoun County","025","0250","Calhoun County",2780,7666
"G1900270","2010","Iowa","19","190","Carroll County","027","0270","Carroll County",5593,16432
"G1900290","2010","Iowa","19","190","Cass County","029","0290","Cass County",3885,10941
"G1900310","2010","Iowa","19","190","Cedar County","031","0310","Cedar County",5181,15066
"G1900330","2010","Iowa","19","190","Cerro Gordo County","033","0330","Cerro Gordo County",11786,33142
"G1900350","2010","Iowa","19","190","Cherokee County","035","0350","Cherokee County",3384,9391
"G1900370","2010","Iowa","19","190","Chickasaw County","037","0370","Chickasaw County",3490,10082
"G1900390","2010","Iowa","19","190","Clarke County","039","0390","Clarke County",2461,7412
"G1900410","2010","Iowa","19","190","Clay County","041","0410","Clay County",4596,12980
"G1900430","2010","Iowa","19","190","Clayton County","043","0430","Clayton County",5020,14465
"G1900450","2010","Iowa","19","190","Clinton County","045","0450","Clinton County",13193,38505
"G1900470","2010","Iowa","19","190","Crawford County","047","0470","Crawford County",4361,13527
"G1900490","2010","Iowa","19","190","Dallas County","049","0490","Dallas County",17694,55129
"G1900510","2010","Iowa","19","190","Davis County","051","0510","Davis County",2300,7430
"G1900530","2010","Iowa","19","190","Decatur County","053","0530","Decatur County",2076,6194
"G1900550","2010","Iowa","19","190","Delaware County","055","0550","Delaware County",4984,14788
"G1900570","2010","Iowa","19","190","Des Moines County","057","0570","Des Moines County",10919,31398
"G1900590","2010","Iowa","19","190","Dickinson County","059","0590","Dickinson County",4857,13060
"G1900610","2010","Iowa","19","190","Dubuque County","061","0610","Dubuque County",24103,72122
"G1900630","2010","Iowa","19","190","Emmet County","063","0630","Emmet County",2684,7721
"G1900650","2010","Iowa","19","190","Fayette County","065","0650","Fayette County",5596,16032
"G1900670","2010","Iowa","19","190","Floyd County","067","0670","Floyd County",4462,12979
"G1900690","2010","Iowa","19","190","Franklin County","069","0690","Franklin County",2946,8614
"G1900710","2010","Iowa","19","190","Fremont County","071","0710","Fremont County",2085,5960
"G1900730","2010","Iowa","19","190","Greene County","073","0730","Greene County",2553,7344
"G1900750","2010","Iowa","19","190","Grundy County","075","0750","Grundy County",3604,10356
"G1900770","2010","Iowa","19","190","Guthrie County","077","0770","Guthrie County",3098,8914
"G1900790","2010","Iowa","19","190","Hamilton County","079","0790","Hamilton County",4312,12524
"G1900810","2010","Iowa","19","190","Hancock County","081","0810","Hancock County",3184,9167
"G1900830","2010","Iowa","19","190","Hardin County","083","0830","Hardin County",4706,13340
"G1900850","2010","Iowa","19","190","Harrison County","085","0850","Harrison County",4120,12168
"G1900870","2010","Iowa","19","190","Henry County","087","0870","Henry County",5236,15290
"G1900890","2010","Iowa","19","190","Howard County","089","0890","Howard County",2547,7538
"G1900910","2010","Iowa","19","190","Humboldt County","091","0910","Humboldt County",2731,7758
"G1900930","2010","Iowa","19","190","Ida County","093","0930","Ida County",1968,5628
"G1900950","2010","Iowa","19","190","Iowa County","095","0950","Iowa County",4547,13332
"G1900970","2010","Iowa","19","190","Jackson County","097","0970","Jackson County",5576,16092
"G1900990","2010","Iowa","19","190","Jasper County","099","0990","Jasper County",10080,29021
"G1901010","2010","Iowa","19","190","Jefferson County","101","1010","Jefferson County",4080,11398
"G1901030","2010","Iowa","19","190","Johnson County","103","1030","Johnson County",27883,82637
"G1901050","2010","Iowa","19","190","Jones County","105","1050","Jones County",5517,15753
"G1901070","2010","Iowa","19","190","Keokuk County","107","1070","Keokuk County",2941,8470
"G1901090","2010","Iowa","19","190","Kossuth County","109","1090","Kossuth County",4403,12460
"G1901110","2010","Iowa","19","190","Lee County","111","1110","Lee County",9584,27436
"G1901130","2010","Iowa","19","190","Linn County","113","1130","Linn County",54169,161157
"G1901150","2010","Iowa","19","190","Louisa County","115","1150","Louisa County",3066,9403
"G1901170","2010","Iowa","19","190","Lucas County","117","1170","Lucas County",2448,7224
"G1901190","2010","Iowa","19","190","Lyon County","119","1190","Lyon County",3237,9971
"G1901210","2010","Iowa","19","190","Madison County","121","1210","Madison County",4410,13359
"G1901230","2010","Iowa","19","190","Mahaska County","123","1230","Mahaska County",6044,17736
"G1901250","2010","Iowa","19","190","Marion County","125","1250","Marion County",8867,26626
"G1901270","2010","Iowa","19","190","Marshall County","127","1270","Marshall County",10452,32109
"G1901290","2010","Iowa","19","190","Mills County","129","1290","Mills County",4093,12285
"G1901310","2010","Iowa","19","190","Mitchell County","131","1310","Mitchell County",2957,8757
"G1901330","2010","Iowa","19","190","Monona County","133","1330","Monona County",2496,7071
"G1901350","2010","Iowa","19","190","Monroe County","135","1350","Monroe County",2195,6463
"G1901370","2010","Iowa","19","190","Montgomery County","137","1370","Montgomery County",2929,8362
"G1901390","2010","Iowa","19","190","Muscatine County","139","1390","Muscatine County",11458,34850
"G1901410","2010","Iowa","19","190","O'Brien County","141","1410","O'Brien County",3927,11362
"G1901430","2010","Iowa","19","190","Osceola County","143","1430","Osceola County",1787,5199
"G1901450","2010","Iowa","19","190","Page County","145","1450","Page County",4107,11559
"G1901470","2010","Iowa","19","190","Palo Alto County","147","1470","Palo Alto County",2510,7123
"G1901490","2010","Iowa","19","190","Plymouth County","149","1490","Plymouth County",6953,20855
"G1901510","2010","Iowa","19","190","Pocahontas County","151","1510","Pocahontas County",2056,5700
"G1901530","2010","Iowa","19","190","Polk County","153","1530","Polk County",108321,332839
"G1901550","2010","Iowa","19","190","Pottawattamie County","155","1550","Pottawattamie County",24515,73441
"G1901570","2010","Iowa","19","190","Poweshiek County","157","1570","Poweshiek County",4837,13738
"G1901590","2010","Iowa","19","190","Ringgold County","159","1590","Ringgold County",1364,4093
"G1901610","2010","Iowa","19","190","Sac County","161","1610","Sac County",2897,8186
"G1901630","2010","Iowa","19","190","Scott County","163","1630","Scott County",43144,128724
"G1901650","2010","Iowa","19","190","Shelby County","165","1650","Shelby County",3374,9725
"G1901670","2010","Iowa","19","190","Sioux County","167","1670","Sioux County",8614,27346
"G1901690","2010","Iowa","19","190","Story County","169","1690","Story County",18493,53602
"G1901710","2010","Iowa","19","190","Tama County","171","1710","Tama County",4821,14507
"G1901730","2010","Iowa","19","190","Taylor County","173","1730","Taylor County",1747,5001
"G1901750","2010","Iowa","19","190","Union County","175","1750","Union County",3328,9571
"G1901770","2010","Iowa","19","190","Van Buren County","177","1770","Van Buren County",2058,6114
"G1901790","2010","Iowa","19","190","Wapello County","179","1790","Wapello County",9332,27344
"G1901810","2010","Iowa","19","190","Warren County","181","1810","Warren County",12621,38088
"G1901830","2010","Iowa","19","190","Washington County","183","1830","Washington County",5874,17598
"G1901850","2010","Iowa","19","190","Wayne County","185","1850","Wayne County",1750,5154
"G1901870","2010","Iowa","19","190","Webster County","187","1870","Webster County",9584,27527
"G1901890","2010","Iowa","19","190","Winnebago County","189","1890","Winnebago County",2909,8208
"G1901910","2010","Iowa","19","190","Winneshiek County","191","1910","Winneshiek County",5193,15051
"G1901930","2010","Iowa","19","190","Woodbury County","193","1930","Woodbury County",25633,79914
"G1901950","2010","Iowa","19","190","Worth County","195","1950","Worth County",2149,6141
"G1901970","2010","Iowa","19","190","Wright County","197","1970","Wright County",3641,10363
"G2000010","2010","Kansas","20","200","Allen County","001","0010","Allen County",3587,10331
"G2000030","2010","Kansas","20","200","Anderson County","003","0030","Anderson County",2213,6630
"G2000050","2010","Kansas","20","200","Atchison County","005","0050","Atchison County",4166,12628
"G2000070","2010","Kansas","20","200","Barber County","007","0070","Barber County",1360,3840
"G2000090","2010","Kansas","20","200","Barton County","009","0090","Barton County",7350,21758
"G2000110","2010","Kansas","20","200","Bourbon County","011","0110","Bourbon County",3960,12032
"G2000130","2010","Kansas","20","200","Brown County","013","0130","Brown County",2738,8032
"G2000150","2010","Kansas","20","200","Butler County","015","0150","Butler County",17546,54621
"G2000170","2010","Kansas","20","200","Chase County","017","0170","Chase County",746,2160
"G2000190","2010","Kansas","20","200","Chautauqua County","019","0190","Chautauqua County",1009,2823
"G2000210","2010","Kansas","20","200","Cherokee County","021","0210","Cherokee County",5927,17682
"G2000230","2010","Kansas","20","200","Cheyenne County","023","0230","Cheyenne County",773,2124
"G2000250","2010","Kansas","20","200","Clark County","025","0250","Clark County",613,1764
"G2000270","2010","Kansas","20","200","Clay County","027","0270","Clay County",2380,6888
"G2000290","2010","Kansas","20","200","Cloud County","029","0290","Cloud County",2528,7175
"G2000310","2010","Kansas","20","200","Coffey County","031","0310","Coffey County",2451,7087
"G2000330","2010","Kansas","20","200","Comanche County","033","0330","Comanche County",520,1457
"G2000350","2010","Kansas","20","200","Cowley County","035","0350","Cowley County",9326,27825
"G2000370","2010","Kansas","20","200","Crawford County","037","0370","Crawford County",9285,27461
"G2000390","2010","Kansas","20","200","Decatur County","039","0390","Decatur County",841,2253
"G2000410","2010","Kansas","20","200","Dickinson County","041","0410","Dickinson County",5459,15987
"G2000430","2010","Kansas","20","200","Doniphan County","043","0430","Doniphan County",2081,6102
"G2000450","2010","Kansas","20","200","Douglas County","045","0450","Douglas County",23304,68479
"G2000470","2010","Kansas","20","200","Edwards County","047","0470","Edwards County",854,2458
"G2000490","2010","Kansas","20","200","Elk County","049","0490","Elk County",824,2271
"G2000510","2010","Kansas","20","200","Ellis County","051","0510","Ellis County",6848,19909
"G2000530","2010","Kansas","20","200","Ellsworth County","053","0530","Ellsworth County",1643,4496
"G2000550","2010","Kansas","20","200","Finney County","055","0550","Finney County",8903,30887
"G2000570","2010","Kansas","20","200","Ford County","057","0570","Ford County",7995,28031
"G2000590","2010","Kansas","20","200","Franklin County","059","0590","Franklin County",6998,21100
"G2000610","2010","Kansas","20","200","Geary County","061","0610","Geary County",8990,28204
"G2000630","2010","Kansas","20","200","Gove County","063","0630","Gove County",789,2218
"G2000650","2010","Kansas","20","200","Graham County","065","0650","Graham County",742,2004
"G2000670","2010","Kansas","20","200","Grant County","067","0670","Grant County",2072,6873
"G2000690","2010","Kansas","20","200","Gray County","069","0690","Gray County",1602,5225
"G2000710","2010","Kansas","20","200","Greeley County","071","0710","Greeley County",356,1027
"G2000730","2010","Kansas","20","200","Greenwood County","073","0730","Greenwood County",1856,5192
"G2000750","2010","Kansas","20","200","Hamilton County","075","0750","Hamilton County",704,2227
"G2000770","2010","Kansas","20","200","Harper County","077","0770","Harper County",1671,4766
"G2000790","2010","Kansas","20","200","Harvey County","079","0790","Harvey County",9311,27945
"G2000810","2010","Kansas","20","200","Haskell County","081","0810","Haskell County",1136,3728
"G2000830","2010","Kansas","20","200","Hodgeman County","083","0830","Hodgeman County",552,1579
"G2000850","2010","Kansas","20","200","Jackson County","085","0850","Jackson County",3712,11266
"G2000870","2010","Kansas","20","200","Jefferson County","087","0870","Jefferson County",5440,16170
"G2000890","2010","Kansas","20","200","Jewell County","089","0890","Jewell County",903,2417
"G2000910","2010","Kansas","20","200","Johnson County","091","0910","Johnson County",145262,447909
"G2000930","2010","Kansas","20","200","Kearny County","093","0930","Kearny County",1065,3425
"G2000950","2010","Kansas","20","200","Kingman County","095","0950","Kingman County",2151,6306
"G2000970","2010","Kansas","20","200","Kiowa County","097","0970","Kiowa County",690,1997
"G2000990","2010","Kansas","20","200","Labette County","099","0990","Labette County",5733,16855
"G2001010","2010","Kansas","20","200","Lane County","101","1010","Lane County",502,1403
"G2001030","2010","Kansas","20","200","Leavenworth County","103","1030","Leavenworth County",19309,59763
"G2001050","2010","Kansas","20","200","Lincoln County","105","1050","Lincoln County",896,2538
"G2001070","2010","Kansas","20","200","Linn County","107","1070","Linn County",2752,7943
"G2001090","2010","Kansas","20","200","Logan County","109","1090","Logan County",758,2153
"G2001110","2010","Kansas","20","200","Lyon County","111","1110","Lyon County",8138,24653
"G2001130","2010","Kansas","20","200","McPherson County","113","1130","McPherson County",7952,23360
"G2001150","2010","Kansas","20","200","Marion County","115","1150","Marion County",3452,9959
"G2001170","2010","Kansas","20","200","Marshall County","117","1170","Marshall County",2838,8154
"G2001190","2010","Kansas","20","200","Meade County","119","1190","Meade County",1239,3869
"G2001210","2010","Kansas","20","200","Miami County","121","1210","Miami County",9046,27746
"G2001230","2010","Kansas","20","200","Mitchell County","123","1230","Mitchell County",1725,4783
"G2001250","2010","Kansas","20","200","Montgomery County","125","1250","Montgomery County",9412,27562
"G2001270","2010","Kansas","20","200","Morris County","127","1270","Morris County",1735,4841
"G2001290","2010","Kansas","20","200","Morton County","129","1290","Morton County",867,2650
"G2001310","2010","Kansas","20","200","Nemaha County","131","1310","Nemaha County",2691,8208
"G2001330","2010","Kansas","20","200","Neosho County","133","1330","Neosho County",4475,13089
"G2001350","2010","Kansas","20","200","Ness County","135","1350","Ness County",874,2444
"G2001370","2010","Kansas","20","200","Norton County","137","1370","Norton County",1353,3833
"G2001390","2010","Kansas","20","200","Osage County","139","1390","Osage County",4567,13418
"G2001410","2010","Kansas","20","200","Osborne County","141","1410","Osborne County",1066,2942
"G2001430","2010","Kansas","20","200","Ottawa County","143","1430","Ottawa County",1724,5034
"G2001450","2010","Kansas","20","200","Pawnee County","145","1450","Pawnee County",1619,4636
"G2001470","2010","Kansas","20","200","Phillips County","147","1470","Phillips County",1617,4589
"G2001490","2010","Kansas","20","200","Pottawatomie County","149","1490","Pottawatomie County",5656,18277
"G2001510","2010","Kansas","20","200","Pratt County","151","1510","Pratt County",2544,7465
"G2001530","2010","Kansas","20","200","Rawlins County","153","1530","Rawlins County",715,1941
"G2001550","2010","Kansas","20","200","Reno County","155","1550","Reno County",16763,49327
"G2001570","2010","Kansas","20","200","Republic County","157","1570","Republic County",1465,3943
"G2001590","2010","Kansas","20","200","Rice County","159","1590","Rice County",2618,7749
"G2001610","2010","Kansas","20","200","Riley County","161","1610","Riley County",14010,40936
"G2001630","2010","Kansas","20","200","Rooks County","163","1630","Rooks County",1455,4145
"G2001650","2010","Kansas","20","200","Rush County","165","1650","Rush County",928,2525
"G2001670","2010","Kansas","20","200","Russell County","167","1670","Russell County",1958,5376
"G2001690","2010","Kansas","20","200","Saline County","169","1690","Saline County",14390,42934
"G2001710","2010","Kansas","20","200","Scott County","171","1710","Scott County",1353,4028
"G2001730","2010","Kansas","20","200","Sedgwick County","173","1730","Sedgwick County",126896,399815
"G2001750","2010","Kansas","20","200","Seward County","175","1750","Seward County",5498,19324
"G2001770","2010","Kansas","20","200","Shawnee County","177","1770","Shawnee County",45679,136746
"G2001790","2010","Kansas","20","200","Sheridan County","179","1790","Sheridan County",737,2106
"G2001810","2010","Kansas","20","200","Sherman County","181","1810","Sherman County",1617,4615
"G2001830","2010","Kansas","20","200","Smith County","183","1830","Smith County",1138,3067
"G2001850","2010","Kansas","20","200","Stafford County","185","1850","Stafford County",1216,3530
"G2001870","2010","Kansas","20","200","Stanton County","187","1870","Stanton County",593,1892
"G2001890","2010","Kansas","20","200","Stevens County","189","1890","Stevens County",1502,4958
"G2001910","2010","Kansas","20","200","Sumner County","191","1910","Sumner County",6574,19926
"G2001930","2010","Kansas","20","200","Thomas County","193","1930","Thomas County",2045,5999
"G2001950","2010","Kansas","20","200","Trego County","195","1950","Trego County",864,2338
"G2001970","2010","Kansas","20","200","Wabaunsee County","197","1970","Wabaunsee County",1985,5969
"G2001990","2010","Kansas","20","200","Wallace County","199","1990","Wallace County",413,1237
"G2002010","2010","Kansas","20","200","Washington County","201","2010","Washington County",1621,4705
"G2002030","2010","Kansas","20","200","Wichita County","203","2030","Wichita County",638,1897
"G2002050","2010","Kansas","20","200","Wilson County","205","2050","Wilson County",2600,7559
"G2002070","2010","Kansas","20","200","Woodson County","207","2070","Woodson County",905,2485
"G2002090","2010","Kansas","20","200","Wyandotte County","209","2090","Wyandotte County",38155,125861
"G2100010","2010","Kentucky","21","210","Adair County","001","0010","Adair County",4971,14461
"G2100030","2010","Kentucky","21","210","Allen County","003","0030","Allen County",5552,16628
"G2100050","2010","Kentucky","21","210","Anderson County","005","0050","Anderson County",6112,18085
"G2100070","2010","Kentucky","21","210","Ballard County","007","0070","Ballard County",2372,6786
"G2100090","2010","Kentucky","21","210","Barren County","009","0090","Barren County",11713,34302
"G2100110","2010","Kentucky","21","210","Bath County","011","0110","Bath County",3198,9579
"G2100130","2010","Kentucky","21","210","Bell County","013","0130","Bell County",7884,22831
"G2100150","2010","Kentucky","21","210","Boone County","015","0150","Boone County",31862,101497
"G2100170","2010","Kentucky","21","210","Bourbon County","017","0170","Bourbon County",5492,16260
"G2100190","2010","Kentucky","21","210","Boyd County","019","0190","Boyd County",13367,38737
"G2100210","2010","Kentucky","21","210","Boyle County","021","0210","Boyle County",7472,21365
"G2100230","2010","Kentucky","21","210","Bracken County","023","0230","Bracken County",2331,7022
"G2100250","2010","Kentucky","21","210","Breathitt County","025","0250","Breathitt County",3809,11328
"G2100270","2010","Kentucky","21","210","Breckinridge County","027","0270","Breckinridge County",5515,16601
"G2100290","2010","Kentucky","21","210","Bullitt County","029","0290","Bullitt County",21121,63973
"G2100310","2010","Kentucky","21","210","Butler County","031","0310","Butler County",3574,10405
"G2100330","2010","Kentucky","21","210","Caldwell County","033","0330","Caldwell County",3696,10589
"G2100350","2010","Kentucky","21","210","Calloway County","035","0350","Calloway County",9018,25330
"G2100370","2010","Kentucky","21","210","Campbell County","037","0370","Campbell County",22623,68755
"G2100390","2010","Kentucky","21","210","Carlisle County","039","0390","Carlisle County",1454,4188
"G2100410","2010","Kentucky","21","210","Carroll County","041","0410","Carroll County",2802,8498
"G2100430","2010","Kentucky","21","210","Carter County","043","0430","Carter County",7717,22955
"G2100450","2010","Kentucky","21","210","Casey County","045","0450","Casey County",4275,12742
"G2100470","2010","Kentucky","21","210","Christian County","047","0470","Christian County",18353,57822
"G2100490","2010","Kentucky","21","210","Clark County","049","0490","Clark County",9964,29182
"G2100510","2010","Kentucky","21","210","Clay County","051","0510","Clay County",5546,16563
"G2100530","2010","Kentucky","21","210","Clinton County","053","0530","Clinton County",2879,8300
"G2100550","2010","Kentucky","21","210","Crittenden County","055","0550","Crittenden County",2578,7574
"G2100570","2010","Kentucky","21","210","Cumberland County","057","0570","Cumberland County",1915,5523
"G2100590","2010","Kentucky","21","210","Daviess County","059","0590","Daviess County",25687,76483
"G2100610","2010","Kentucky","21","210","Edmonson County","061","0610","Edmonson County",3461,9993
"G2100630","2010","Kentucky","21","210","Elliott County","063","0630","Elliott County",1955,5733
"G2100650","2010","Kentucky","21","210","Estill County","065","0650","Estill County",4140,12071
"G2100670","2010","Kentucky","21","210","Fayette County","067","0670","Fayette County",69661,205041
"G2100690","2010","Kentucky","21","210","Fleming County","069","0690","Fleming County",4069,12093
"G2100710","2010","Kentucky","21","210","Floyd County","071","0710","Floyd County",11052,32175
"G2100730","2010","Kentucky","21","210","Franklin County","073","0730","Franklin County",12886,36792
"G2100750","2010","Kentucky","21","210","Fulton County","075","0750","Fulton County",1751,4951
"G2100770","2010","Kentucky","21","210","Gallatin County","077","0770","Gallatin County",2270,7068
"G2100790","2010","Kentucky","21","210","Garrard County","079","0790","Garrard County",4894,14275
"G2100810","2010","Kentucky","21","210","Grant County","081","0810","Grant County",6495,20679
"G2100830","2010","Kentucky","21","210","Graves County","083","0830","Graves County",10244,30278
"G2100850","2010","Kentucky","21","210","Grayson County","085","0850","Grayson County",7103,20916
"G2100870","2010","Kentucky","21","210","Green County","087","0870","Green County",3224,9348
"G2100890","2010","Kentucky","21","210","Greenup County","089","0890","Greenup County",10565,31030
"G2100910","2010","Kentucky","21","210","Hancock County","091","0910","Hancock County",2451,7352
"G2100930","2010","Kentucky","21","210","Hardin County","093","0930","Hardin County",28288,86038
"G2100950","2010","Kentucky","21","210","Harlan County","095","0950","Harlan County",8165,24136
"G2100970","2010","Kentucky","21","210","Harrison County","097","0970","Harrison County",5274,15653
"G2100990","2010","Kentucky","21","210","Hart County","099","0990","Hart County",4928,15041
"G2101010","2010","Kentucky","21","210","Henderson County","101","1010","Henderson County",12537,36711
"G2101030","2010","Kentucky","21","210","Henry County","103","1030","Henry County",4293,12815
"G2101050","2010","Kentucky","21","210","Hickman County","105","1050","Hickman County",1345,3832
"G2101070","2010","Kentucky","21","210","Hopkins County","107","1070","Hopkins County",13108,38005
"G2101090","2010","Kentucky","21","210","Jackson County","109","1090","Jackson County",3843,11219
"G2101110","2010","Kentucky","21","210","Jefferson County","111","1110","Jefferson County",188982,563026
"G2101130","2010","Kentucky","21","210","Jessamine County","113","1130","Jessamine County",13029,39787
"G2101150","2010","Kentucky","21","210","Johnson County","115","1150","Johnson County",6596,19282
"G2101170","2010","Kentucky","21","210","Kenton County","117","1170","Kenton County",40837,126121
"G2101190","2010","Kentucky","21","210","Knott County","119","1190","Knott County",4473,13155
"G2101210","2010","Kentucky","21","210","Knox County","121","1210","Knox County",8632,25897
"G2101230","2010","Kentucky","21","210","Larue County","123","1230","Larue County",3942,11570
"G2101250","2010","Kentucky","21","210","Laurel County","125","1250","Laurel County",16442,48998
"G2101270","2010","Kentucky","21","210","Lawrence County","127","1270","Lawrence County",4474,13424
"G2101290","2010","Kentucky","21","210","Lee County","129","1290","Lee County",1975,5655
"G2101310","2010","Kentucky","21","210","Leslie County","131","1310","Leslie County",3168,9313
"G2101330","2010","Kentucky","21","210","Letcher County","133","1330","Letcher County",6964,20309
"G2101350","2010","Kentucky","21","210","Lewis County","135","1350","Lewis County",3957,11575
"G2101370","2010","Kentucky","21","210","Lincoln County","137","1370","Lincoln County",6970,20636
"G2101390","2010","Kentucky","21","210","Livingston County","139","1390","Livingston County",2767,7813
"G2101410","2010","Kentucky","21","210","Logan County","141","1410","Logan County",7471,22197
"G2101430","2010","Kentucky","21","210","Lyon County","143","1430","Lyon County",2174,5827
"G2101450","2010","Kentucky","21","210","McCracken County","145","1450","McCracken County",17891,51079
"G2101470","2010","Kentucky","21","210","McCreary County","147","1470","McCreary County",4492,13504
"G2101490","2010","Kentucky","21","210","McLean County","149","1490","McLean County",2740,7954
"G2101510","2010","Kentucky","21","210","Madison County","151","1510","Madison County",20899,60958
"G2101530","2010","Kentucky","21","210","Magoffin County","153","1530","Magoffin County",3835,11320
"G2101550","2010","Kentucky","21","210","Marion County","155","1550","Marion County",5073,15415
"G2101570","2010","Kentucky","21","210","Marshall County","157","1570","Marshall County",9278,26087
"G2101590","2010","Kentucky","21","210","Martin County","159","1590","Martin County",3160,9539
"G2101610","2010","Kentucky","21","210","Mason County","161","1610","Mason County",4791,14161
"G2101630","2010","Kentucky","21","210","Meade County","163","1630","Meade County",7851,24508
"G2101650","2010","Kentucky","21","210","Menifee County","165","1650","Menifee County",1724,5101
"G2101670","2010","Kentucky","21","210","Mercer County","167","1670","Mercer County",6053,17678
"G2101690","2010","Kentucky","21","210","Metcalfe County","169","1690","Metcalfe County",2802,8308
"G2101710","2010","Kentucky","21","210","Monroe County","171","1710","Monroe County",3002,8852
"G2101730","2010","Kentucky","21","210","Montgomery County","173","1730","Montgomery County",7264,21530
"G2101750","2010","Kentucky","21","210","Morgan County","175","1750","Morgan County",3497,10170
"G2101770","2010","Kentucky","21","210","Muhlenberg County","177","1770","Muhlenberg County",8581,24868
"G2101790","2010","Kentucky","21","210","Nelson County","179","1790","Nelson County",11885,35832
"G2101810","2010","Kentucky","21","210","Nicholas County","181","1810","Nicholas County",1956,5818
"G2101830","2010","Kentucky","21","210","Ohio County","183","1830","Ohio County",6595,19893
"G2101850","2010","Kentucky","21","210","Oldham County","185","1850","Oldham County",15748,50364
"G2101870","2010","Kentucky","21","210","Owen County","187","1870","Owen County",3023,9070
"G2101890","2010","Kentucky","21","210","Owsley County","189","1890","Owsley County",1293,3824
"G2101910","2010","Kentucky","21","210","Pendleton County","191","1910","Pendleton County",4061,12493
"G2101930","2010","Kentucky","21","210","Perry County","193","1930","Perry County",7857,23318
"G2101950","2010","Kentucky","21","210","Pike County","195","1950","Pike County",18550,53515
"G2101970","2010","Kentucky","21","210","Powell County","197","1970","Powell County",3403,10298
"G2101990","2010","Kentucky","21","210","Pulaski County","199","1990","Pulaski County",17705,51088
"G2102010","2010","Kentucky","21","210","Robertson County","201","2010","Robertson County",635,1852
"G2102030","2010","Kentucky","21","210","Rockcastle County","203","2030","Rockcastle County",4793,14114
"G2102050","2010","Kentucky","21","210","Rowan County","205","2050","Rowan County",5487,15902
"G2102070","2010","Kentucky","21","210","Russell County","207","2070","Russell County",4989,14151
"G2102090","2010","Kentucky","21","210","Scott County","209","2090","Scott County",12665,38899
"G2102110","2010","Kentucky","21","210","Shelby County","211","2110","Shelby County",11307,34182
"G2102130","2010","Kentucky","21","210","Simpson County","213","2130","Simpson County",4733,14146
"G2102150","2010","Kentucky","21","210","Spencer County","215","2150","Spencer County",4898,15039
"G2102170","2010","Kentucky","21","210","Taylor County","217","2170","Taylor County",6641,19223
"G2102190","2010","Kentucky","21","210","Todd County","219","2190","Todd County",3354,10493
"G2102210","2010","Kentucky","21","210","Trigg County","221","2210","Trigg County",4183,12005
"G2102230","2010","Kentucky","21","210","Trimble County","223","2230","Trimble County",2435,7315
"G2102250","2010","Kentucky","21","210","Union County","225","2250","Union County",3852,11336
"G2102270","2010","Kentucky","21","210","Warren County","227","2270","Warren County",27762,83612
"G2102290","2010","Kentucky","21","210","Washington County","229","2290","Washington County",3189,9553
"G2102310","2010","Kentucky","21","210","Wayne County","231","2310","Wayne County",5913,16977
"G2102330","2010","Kentucky","21","210","Webster County","233","2330","Webster County",3716,11088
"G2102350","2010","Kentucky","21","210","Whitley County","235","2350","Whitley County",9551,28655
"G2102370","2010","Kentucky","21","210","Wolfe County","237","2370","Wolfe County",2065,5978
