GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA1970,CL5AA1970,B69AA1970,B69AB1970,B69AC1970,B84AA1970,B84AB1970,B84AC1970,B84AD1970,B84AE1970,B84AF1970
"G0100010","1970","Alabama","01","010","Autauga County","001","0010","Autauga",5962,23309,4298,7003,767,8692,352,8340,8118,222,6655
"G0100030","1970","Alabama","01","010","Baldwin County","003","0030","Baldwin",15044,55705,11419,18067,2038,21517,123,21394,20469,925,18351
"G0100050","1970","Alabama","01","010","Barbour County","005","0050","Barbour",5622,21058,5943,5000,861,8208,25,8183,7893,290,7004
"G0100070","1970","Alabama","01","010","Bibb County","007","0070","Bibb",3433,12992,3499,3413,302,4658,4,4654,4364,290,4473
"G0100090","1970","Alabama","01","010","Blount County","009","0090","Blount",7428,25613,6974,7769,404,9563,5,9558,9157,401,9242
"G0100110","1970","Alabama","01","010","Bullock County","011","0110","Bullock",2654,10963,3164,2344,314,3685,0,3685,3466,219,3783
"G0100130","1970","Alabama","01","010","Butler County","013","0130","Butler",5492,20564,5942,5369,541,8045,0,8045,7738,307,6980
"G0100150","1970","Alabama","01","010","Calhoun County","015","0150","Calhoun",25948,91907,18481,29681,3921,41483,4756,36727,35154,1573,30467
"G0100170","1970","Alabama","01","010","Chambers County","017","0170","Chambers",9427,34030,8728,10631,847,15253,13,15240,14848,392,9842
"G0100190","1970","Alabama","01","010","Cherokee County","019","0190","Cherokee",4275,14846,4188,4256,329,5952,17,5935,5566,369,5040
"G0100210","1970","Alabama","01","010","Chilton County","021","0210","Chilton",6766,23640,6848,6780,415,8601,18,8583,8130,453,8912
"G0100230","1970","Alabama","01","010","Choctaw County","023","0230","Choctaw",3974,15655,3984,4036,362,4902,7,4895,4671,224,5842
"G0100250","1970","Alabama","01","010","Clarke County","025","0250","Clarke",6488,25251,5516,7228,738,8650,26,8624,8349,275,8483
"G0100270","1970","Alabama","01","010","Clay County","027","0270","Clay",3352,11891,3041,3807,311,4677,0,4677,4529,148,4131
"G0100290","1970","Alabama","01","010","Cleburne County","029","0290","Cleburne",2995,10450,2990,2911,162,4216,17,4199,4132,67,3420
"G0100310","1970","Alabama","01","010","Coffee County","031","0310","Coffee",9330,33012,7215,9768,1040,13781,1076,12705,12218,487,9889
"G0100330","1970","Alabama","01","010","Colbert County","033","0330","Colbert",13073,47063,8844,16343,1554,17553,38,17515,16319,1196,16017
"G0100350","1970","Alabama","01","010","Conecuh County","035","0350","Conecuh",3813,14606,4184,3746,342,5296,9,5287,4869,418,5200
"G0100370","1970","Alabama","01","010","Coosa County","037","0370","Coosa",2734,10116,2411,3101,196,3969,0,3969,3766,203,3316
"G0100390","1970","Alabama","01","010","Covington County","039","0390","Covington",9265,31685,9669,9148,918,13506,66,13440,13082,358,10633
"G0100410","1970","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",3523,12327,3893,3382,296,4677,18,4659,4506,153,4660
"G0100430","1970","Alabama","01","010","Cullman County","043","0430","Cullman",14242,49044,12557,15229,1113,19415,6,19409,18699,710,17295
"G0100450","1970","Alabama","01","010","Dale County","045","0450","Dale",12417,43455,5624,13573,1895,24442,13237,11205,10780,425,12876
"G0100470","1970","Alabama","01","010","Dallas County","047","0470","Dallas",12814,50318,10336,13661,2329,19416,1952,17464,16652,812,16015
"G0100490","1970","Alabama","01","010","DeKalb County","049","0490","De Kalb",11771,39863,11444,11645,884,14547,14,14533,14060,473,15049
"G0100510","1970","Alabama","01","010","Elmore County","051","0510","Elmore",8210,30483,6595,10289,967,12132,51,12081,11697,384,10695
"G0100530","1970","Alabama","01","010","Escambia County","053","0530","Escambia",8325,31027,7688,10074,886,11956,5,11951,11239,712,11715
"G0100550","1970","Alabama","01","010","Etowah County","055","0550","Etowah",25625,88193,18570,31440,2765,34842,68,34774,32231,2543,31630
"G0100570","1970","Alabama","01","010","Fayette County","057","0570","Fayette",4463,15345,4291,4742,360,6172,10,6162,5782,380,5303
"G0100590","1970","Alabama","01","010","Franklin County","059","0590","Franklin",6651,22595,5809,7320,467,8654,4,8650,7966,684,8375
"G0100610","1970","Alabama","01","010","Geneva County","061","0610","Geneva",6002,20665,5907,5946,554,8812,102,8710,8512,198,6758
"G0100630","1970","Alabama","01","010","Greene County","063","0630","Greene",2355,9877,2914,2046,342,2881,4,2877,2737,140,3824
"G0100650","1970","Alabama","01","010","Hale County","065","0650","Hale",3539,14877,4208,3226,391,4407,5,4402,4263,139,5623
"G0100670","1970","Alabama","01","010","Henry County","067","0670","Henry",3466,12517,3346,3550,349,4896,11,4885,4785,100,4414
"G0100690","1970","Alabama","01","010","Houston County","069","0690","Houston",14896,52908,11143,17068,2133,23114,217,22897,22236,661,15387
"G0100710","1970","Alabama","01","010","Jackson County","071","0710","Jackson",10551,37371,10236,10334,716,14394,15,14379,13428,951,12811
"G0100730","1970","Alabama","01","010","Jefferson County","073","0730","Jefferson",166466,592286,106412,214308,33827,248842,573,248269,237843,10426,200644
"G0100750","1970","Alabama","01","010","Lamar County","075","0750","Lamar",3962,13459,4023,3954,284,5598,0,5598,5347,251,4561
"G0100770","1970","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",18007,63697,13022,20434,3016,25095,22,25073,23818,1255,21682
"G0100790","1970","Alabama","01","010","Lawrence County","079","0790","Lawrence",6928,26088,6711,6646,328,9499,5,9494,8888,606,8269
"G0100810","1970","Alabama","01","010","Lee County","081","0810","Lee",14004,50780,8874,13154,4386,23981,219,23762,22955,807,19724
"G0100830","1970","Alabama","01","010","Limestone County","083","0830","Limestone",10578,39209,8742,11134,1309,15385,40,15345,14653,692,12394
"G0100850","1970","Alabama","01","010","Lowndes County","085","0850","Lowndes",2602,12206,2962,2306,275,3464,0,3464,3298,166,4117
"G0100870","1970","Alabama","01","010","Macon County","087","0870","Macon",4991,19610,5532,4960,1810,7518,32,7486,7119,367,10051
"G0100890","1970","Alabama","01","010","Madison County","089","0890","Madison",46764,173718,20484,54398,17289,75003,4522,70481,67398,3083,45704
"G0100910","1970","Alabama","01","010","Marengo County","091","0910","Marengo",5535,22253,5407,5693,761,7708,5,7703,7322,381,7527
"G0100930","1970","Alabama","01","010","Marion County","093","0930","Marion",6698,22423,6707,6449,484,8974,9,8965,8582,383,7926
"G0100950","1970","Alabama","01","010","Marshall County","095","0950","Marshall",14799,51160,12456,16071,1573,20136,37,20099,19254,845,17407
"G0100970","1970","Alabama","01","010","Mobile County","097","0970","Mobile",76880,293004,54202,94444,12072,113564,1154,112410,106191,6219,95268
"G0100990","1970","Alabama","01","010","Monroe County","099","0990","Monroe",5017,19738,4923,5072,604,7188,0,7188,6900,288,6385
"G0101010","1970","Alabama","01","010","Montgomery County","101","1010","Montgomery",41144,151532,22664,53769,11119,67138,3508,63630,61134,2496,45879
"G0101030","1970","Alabama","01","010","Morgan County","103","1030","Morgan",20431,73029,12904,24484,3418,28830,76,28754,27670,1084,22915
"G0101050","1970","Alabama","01","010","Perry County","105","1050","Perry",3398,13750,4003,2962,531,4814,10,4804,4614,190,5281
"G0101070","1970","Alabama","01","010","Pickens County","107","1070","Pickens",4972,19111,4922,5410,496,7251,7,7244,6840,404,6379
"G0101090","1970","Alabama","01","010","Pike County","109","1090","Pike",5962,21528,5342,6332,886,9697,33,9664,9303,361,7994
"G0101110","1970","Alabama","01","010","Randolph County","111","1110","Randolph",4960,17153,5049,5238,399,7027,0,7027,6848,179,6053
"G0101130","1970","Alabama","01","010","Russell County","113","1130","Russell",11027,42598,11487,10499,682,17229,468,16761,15951,810,12438
"G0101150","1970","Alabama","01","010","St. Clair County","115","1150","St Clair",7273,26457,6586,7924,471,9554,13,9541,9150,391,9316
"G0101170","1970","Alabama","01","010","Shelby County","117","1170","Shelby",9573,34806,7363,10807,1123,13887,26,13861,13324,537,12023
"G0101190","1970","Alabama","01","010","Sumter County","119","1190","Sumter",3723,15112,4146,3246,592,4889,7,4882,4595,287,6314
"G0101210","1970","Alabama","01","010","Talladega County","121","1210","Talladega",16041,60512,13777,17681,1675,24047,47,24000,22663,1337,18927
