GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0101270","2008-2012","Alabama","01","010","Walker County","127","1270","Walker County, Alabama",37408,1438
"G0101290","2008-2012","Alabama","01","010","Washington County","129","1290","Washington County, Alabama",42256,3131
"G0101310","2008-2012","Alabama","01","010","Wilcox County","131","1310","Wilcox County, Alabama",24212,2894
"G0101330","2008-2012","Alabama","01","010","Winston County","133","1330","Winston County, Alabama",32830,3239
"G0200130","2008-2012","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough, Alaska",58125,5781
"G0200160","2008-2012","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area, Alaska",77292,4209
"G0200200","2008-2012","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality, Alaska",76495,1213
"G0200500","2008-2012","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area, Alaska",52349,3413
"G0200600","2008-2012","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough, Alaska",79931,23160
"G0200680","2008-2012","Alaska","02","020","Denali Borough","068","0680","Denali Borough, Alaska",74044,11169
"G0200700","2008-2012","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area, Alaska",56857,4276
"G0200900","2008-2012","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough, Alaska",69485,2148
"G0201000","2008-2012","Alaska","02","020","Haines Borough","100","1000","Haines Borough, Alaska",50208,7137
"G0201050","2008-2012","Alaska","02","020","Hoonah-Angoon Census Area","105","1050","Hoonah-Angoon Census Area, Alaska",48942,7193
"G0201100","2008-2012","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough, Alaska",78947,3346
"G0201220","2008-2012","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough, Alaska",59421,2090
"G0201300","2008-2012","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough, Alaska",59736,5220
