GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA2000
"G0201500","2000","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",54636
"G0201640","2000","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",36442
"G0201700","2000","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",51221
"G0201800","2000","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",41250
"G0201850","2000","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",63173
"G0201880","2000","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",45976
"G0202010","2000","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010","Prince of Wales-Outer Ketchikan Census Area",40636
"G0202200","2000","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough",51901
"G0202320","2000","Alaska","02","020","Skagway-Hoonah-Angoon","232","2320","Skagway-Hoonah-Angoon Census Area",40879
"G0202400","2000","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",38776
"G0202610","2000","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",48734
"G0202700","2000","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",30184
"G0202800","2000","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg Census Area",46434
"G0202820","2000","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough",46786
"G0202900","2000","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",28666
"G0400010","2000","Arizona","04","040","Apache County","001","0010","Apache County",23344
"G0400030","2000","Arizona","04","040","Cochise County","003","0030","Cochise County",32105
"G0400050","2000","Arizona","04","040","Coconino County","005","0050","Coconino County",38256
"G0400070","2000","Arizona","04","040","Gila County","007","0070","Gila County",30917
"G0400090","2000","Arizona","04","040","Graham County","009","0090","Graham County",29668
"G0400110","2000","Arizona","04","040","Greenlee County","011","0110","Greenlee County",39384
"G0400120","2000","Arizona","04","040","La Paz County","012","0120","La Paz County",25839
"G0400130","2000","Arizona","04","040","Maricopa County","013","0130","Maricopa County",45358
"G0400150","2000","Arizona","04","040","Mohave County","015","0150","Mohave County",31521
"G0400170","2000","Arizona","04","040","Navajo County","017","0170","Navajo County",28569
"G0400190","2000","Arizona","04","040","Pima County","019","0190","Pima County",36758
"G0400210","2000","Arizona","04","040","Pinal County","021","0210","Pinal County",35856
"G0400230","2000","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",29710
"G0400250","2000","Arizona","04","040","Yavapai County","025","0250","Yavapai County",34901
"G0400270","2000","Arizona","04","040","Yuma County","027","0270","Yuma County",32182
"G0500010","2000","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",30316
"G0500030","2000","Arkansas","05","050","Ashley County","003","0030","Ashley County",31758
"G0500050","2000","Arkansas","05","050","Baxter County","005","0050","Baxter County",29106
"G0500070","2000","Arkansas","05","050","Benton County","007","0070","Benton County",40281
"G0500090","2000","Arkansas","05","050","Boone County","009","0090","Boone County",29988
"G0500110","2000","Arkansas","05","050","Bradley County","011","0110","Bradley County",24821
"G0500130","2000","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",28438
"G0500150","2000","Arkansas","05","050","Carroll County","015","0150","Carroll County",27924
"G0500170","2000","Arkansas","05","050","Chicot County","017","0170","Chicot County",22024
"G0500190","2000","Arkansas","05","050","Clark County","019","0190","Clark County",28845
"G0500210","2000","Arkansas","05","050","Clay County","021","0210","Clay County",25345
"G0500230","2000","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",31531
"G0500250","2000","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",32405
"G0500270","2000","Arkansas","05","050","Columbia County","027","0270","Columbia County",27640
"G0500290","2000","Arkansas","05","050","Conway County","029","0290","Conway County",31209
"G0500310","2000","Arkansas","05","050","Craighead County","031","0310","Craighead County",32425
"G0500330","2000","Arkansas","05","050","Crawford County","033","0330","Crawford County",32871
"G0500350","2000","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",30109
"G0500370","2000","Arkansas","05","050","Cross County","037","0370","Cross County",29362
"G0500390","2000","Arkansas","05","050","Dallas County","039","0390","Dallas County",26608
"G0500410","2000","Arkansas","05","050","Desha County","041","0410","Desha County",24121
"G0500430","2000","Arkansas","05","050","Drew County","043","0430","Drew County",28627
"G0500450","2000","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",38204
"G0500470","2000","Arkansas","05","050","Franklin County","047","0470","Franklin County",30848
"G0500490","2000","Arkansas","05","050","Fulton County","049","0490","Fulton County",25529
"G0500510","2000","Arkansas","05","050","Garland County","051","0510","Garland County",31724
"G0500530","2000","Arkansas","05","050","Grant County","053","0530","Grant County",37182
"G0500550","2000","Arkansas","05","050","Greene County","055","0550","Greene County",30828
"G0500570","2000","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",28622
"G0500590","2000","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",31543
"G0500610","2000","Arkansas","05","050","Howard County","061","0610","Howard County",28699
"G0500630","2000","Arkansas","05","050","Independence County","063","0630","Independence County",31920
"G0500650","2000","Arkansas","05","050","Izard County","065","0650","Izard County",25670
"G0500670","2000","Arkansas","05","050","Jackson County","067","0670","Jackson County",25081
"G0500690","2000","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",31327
"G0500710","2000","Arkansas","05","050","Johnson County","071","0710","Johnson County",27910
"G0500730","2000","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",24831
"G0500750","2000","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",27139
"G0500770","2000","Arkansas","05","050","Lee County","077","0770","Lee County",20510
"G0500790","2000","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",29607
"G0500810","2000","Arkansas","05","050","Little River County","081","0810","Little River County",29417
"G0500830","2000","Arkansas","05","050","Logan County","083","0830","Logan County",28344
"G0500850","2000","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",40314
"G0500870","2000","Arkansas","05","050","Madison County","087","0870","Madison County",27895
"G0500890","2000","Arkansas","05","050","Marion County","089","0890","Marion County",26737
"G0500910","2000","Arkansas","05","050","Miller County","091","0910","Miller County",30951
"G0500930","2000","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",27479
"G0500950","2000","Arkansas","05","050","Monroe County","095","0950","Monroe County",22632
"G0500970","2000","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",28421
"G0500990","2000","Arkansas","05","050","Nevada County","099","0990","Nevada County",26962
"G0501010","2000","Arkansas","05","050","Newton County","101","1010","Newton County",24756
"G0501030","2000","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",29341
"G0501050","2000","Arkansas","05","050","Perry County","105","1050","Perry County",31083
"G0501070","2000","Arkansas","05","050","Phillips County","107","1070","Phillips County",22231
"G0501090","2000","Arkansas","05","050","Pike County","109","1090","Pike County",27695
"G0501110","2000","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",26558
"G0501130","2000","Arkansas","05","050","Polk County","113","1130","Polk County",25180
"G0501150","2000","Arkansas","05","050","Pope County","115","1150","Pope County",32069
"G0501170","2000","Arkansas","05","050","Prairie County","117","1170","Prairie County",29990
"G0501190","2000","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",38120
"G0501210","2000","Arkansas","05","050","Randolph County","121","1210","Randolph County",27583
"G0501230","2000","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",26146
"G0501250","2000","Arkansas","05","050","Saline County","125","1250","Saline County",42569
"G0501270","2000","Arkansas","05","050","Scott County","127","1270","Scott County",26412
"G0501290","2000","Arkansas","05","050","Searcy County","129","1290","Searcy County",21397
"G0501310","2000","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",33889
"G0501330","2000","Arkansas","05","050","Sevier County","133","1330","Sevier County",30144
"G0501350","2000","Arkansas","05","050","Sharp County","135","1350","Sharp County",25152
"G0501370","2000","Arkansas","05","050","Stone County","137","1370","Stone County",22209
"G0501390","2000","Arkansas","05","050","Union County","139","1390","Union County",29809
"G0501410","2000","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",27004
"G0501430","2000","Arkansas","05","050","Washington County","143","1430","Washington County",34691
"G0501450","2000","Arkansas","05","050","White County","145","1450","White County",32203
"G0501470","2000","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",22099
"G0501490","2000","Arkansas","05","050","Yell County","149","1490","Yell County",28916
"G0600010","2000","California","06","060","Alameda County","001","0010","Alameda County",55946
"G0600030","2000","California","06","060","Alpine County","003","0030","Alpine County",41875
"G0600050","2000","California","06","060","Amador County","005","0050","Amador County",42280
"G0600070","2000","California","06","060","Butte County","007","0070","Butte County",31924
"G0600090","2000","California","06","060","Calaveras County","009","0090","Calaveras County",41022
"G0600110","2000","California","06","060","Colusa County","011","0110","Colusa County",35062
"G0600130","2000","California","06","060","Contra Costa County","013","0130","Contra Costa County",63675
"G0600150","2000","California","06","060","Del Norte County","015","0150","Del Norte County",29642
"G0600170","2000","California","06","060","El Dorado County","017","0170","El Dorado County",51484
"G0600190","2000","California","06","060","Fresno County","019","0190","Fresno County",34725
"G0600210","2000","California","06","060","Glenn County","021","0210","Glenn County",32107
"G0600230","2000","California","06","060","Humboldt County","023","0230","Humboldt County",31226
"G0600250","2000","California","06","060","Imperial County","025","0250","Imperial County",31870
"G0600270","2000","California","06","060","Inyo County","027","0270","Inyo County",35006
"G0600290","2000","California","06","060","Kern County","029","0290","Kern County",35446
"G0600310","2000","California","06","060","Kings County","031","0310","Kings County",35749
"G0600330","2000","California","06","060","Lake County","033","0330","Lake County",29627
"G0600350","2000","California","06","060","Lassen County","035","0350","Lassen County",36310
"G0600370","2000","California","06","060","Los Angeles County","037","0370","Los Angeles County",42189
"G0600390","2000","California","06","060","Madera County","039","0390","Madera County",36286
"G0600410","2000","California","06","060","Marin County","041","0410","Marin County",71306
"G0600430","2000","California","06","060","Mariposa County","043","0430","Mariposa County",34626
"G0600450","2000","California","06","060","Mendocino County","045","0450","Mendocino County",35996
"G0600470","2000","California","06","060","Merced County","047","0470","Merced County",35532
"G0600490","2000","California","06","060","Modoc County","049","0490","Modoc County",27522
"G0600510","2000","California","06","060","Mono County","051","0510","Mono County",44992
"G0600530","2000","California","06","060","Monterey County","053","0530","Monterey County",48305
"G0600550","2000","California","06","060","Napa County","055","0550","Napa County",51738
"G0600570","2000","California","06","060","Nevada County","057","0570","Nevada County",45864
"G0600590","2000","California","06","060","Orange County","059","0590","Orange County",58820
"G0600610","2000","California","06","060","Placer County","061","0610","Placer County",57535
"G0600630","2000","California","06","060","Plumas County","063","0630","Plumas County",36351
"G0600650","2000","California","06","060","Riverside County","065","0650","Riverside County",42887
"G0600670","2000","California","06","060","Sacramento County","067","0670","Sacramento County",43816
"G0600690","2000","California","06","060","San Benito County","069","0690","San Benito County",57469
"G0600710","2000","California","06","060","San Bernardino County","071","0710","San Bernardino County",42066
"G0600730","2000","California","06","060","San Diego County","073","0730","San Diego County",47067
"G0600750","2000","California","06","060","San Francisco County","075","0750","San Francisco County",55221
"G0600770","2000","California","06","060","San Joaquin County","077","0770","San Joaquin County",41282
"G0600790","2000","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo County",42428
"G0600810","2000","California","06","060","San Mateo County","081","0810","San Mateo County",70819
"G0600830","2000","California","06","060","Santa Barbara County","083","0830","Santa Barbara County",46677
"G0600850","2000","California","06","060","Santa Clara County","085","0850","Santa Clara County",74335
"G0600870","2000","California","06","060","Santa Cruz County","087","0870","Santa Cruz County",53998
"G0600890","2000","California","06","060","Shasta County","089","0890","Shasta County",34335
"G0600910","2000","California","06","060","Sierra County","091","0910","Sierra County",35827
"G0600930","2000","California","06","060","Siskiyou County","093","0930","Siskiyou County",29530
"G0600950","2000","California","06","060","Solano County","095","0950","Solano County",54099
"G0600970","2000","California","06","060","Sonoma County","097","0970","Sonoma County",53076
"G0600990","2000","California","06","060","Stanislaus County","099","0990","Stanislaus County",40101
"G0601010","2000","California","06","060","Sutter County","101","1010","Sutter County",38375
"G0601030","2000","California","06","060","Tehama County","103","1030","Tehama County",31206
"G0601050","2000","California","06","060","Trinity County","105","1050","Trinity County",27711
"G0601070","2000","California","06","060","Tulare County","107","1070","Tulare County",33983
"G0601090","2000","California","06","060","Tuolumne County","109","1090","Tuolumne County",38725
"G0601110","2000","California","06","060","Ventura County","111","1110","Ventura County",59666
"G0601130","2000","California","06","060","Yolo County","113","1130","Yolo County",40769
"G0601150","2000","California","06","060","Yuba County","115","1150","Yuba County",30460
"G0800010","2000","Colorado","08","080","Adams County","001","0010","Adams County",47323
"G0800030","2000","Colorado","08","080","Alamosa County","003","0030","Alamosa County",29447
"G0800050","2000","Colorado","08","080","Arapahoe County","005","0050","Arapahoe County",53570
"G0800070","2000","Colorado","08","080","Archuleta County","007","0070","Archuleta County",37901
"G0800090","2000","Colorado","08","080","Baca County","009","0090","Baca County",28099
"G0800110","2000","Colorado","08","080","Bent County","011","0110","Bent County",28125
"G0800130","2000","Colorado","08","080","Boulder County","013","0130","Boulder County",55861
"G0800150","2000","Colorado","08","080","Chaffee County","015","0150","Chaffee County",34368
"G0800170","2000","Colorado","08","080","Cheyenne County","017","0170","Cheyenne County",37054
"G0800190","2000","Colorado","08","080","Clear Creek County","019","0190","Clear Creek County",50997
"G0800210","2000","Colorado","08","080","Conejos County","021","0210","Conejos County",24744
"G0800230","2000","Colorado","08","080","Costilla County","023","0230","Costilla County",19531
"G0800250","2000","Colorado","08","080","Crowley County","025","0250","Crowley County",26803
"G0800270","2000","Colorado","08","080","Custer County","027","0270","Custer County",34731
"G0800290","2000","Colorado","08","080","Delta County","029","0290","Delta County",32785
"G0800310","2000","Colorado","08","080","Denver County","031","0310","Denver County",39500
"G0800330","2000","Colorado","08","080","Dolores County","033","0330","Dolores County",32196
"G0800350","2000","Colorado","08","080","Douglas County","035","0350","Douglas County",82929
"G0800370","2000","Colorado","08","080","Eagle County","037","0370","Eagle County",62682
"G0800390","2000","Colorado","08","080","Elbert County","039","0390","Elbert County",62480
"G0800410","2000","Colorado","08","080","El Paso County","041","0410","El Paso County",46844
"G0800430","2000","Colorado","08","080","Fremont County","043","0430","Fremont County",34150
"G0800450","2000","Colorado","08","080","Garfield County","045","0450","Garfield County",47016
"G0800470","2000","Colorado","08","080","Gilpin County","047","0470","Gilpin County",51942
"G0800490","2000","Colorado","08","080","Grand County","049","0490","Grand County",47759
"G0800510","2000","Colorado","08","080","Gunnison County","051","0510","Gunnison County",36916
"G0800530","2000","Colorado","08","080","Hinsdale County","053","0530","Hinsdale County",37279
"G0800550","2000","Colorado","08","080","Huerfano County","055","0550","Huerfano County",25775
"G0800570","2000","Colorado","08","080","Jackson County","057","0570","Jackson County",31821
"G0800590","2000","Colorado","08","080","Jefferson County","059","0590","Jefferson County",57339
"G0800610","2000","Colorado","08","080","Kiowa County","061","0610","Kiowa County",30494
"G0800630","2000","Colorado","08","080","Kit Carson County","063","0630","Kit Carson County",33152
"G0800650","2000","Colorado","08","080","Lake County","065","0650","Lake County",37691
"G0800670","2000","Colorado","08","080","La Plata County","067","0670","La Plata County",40159
"G0800690","2000","Colorado","08","080","Larimer County","069","0690","Larimer County",48655
"G0800710","2000","Colorado","08","080","Las Animas County","071","0710","Las Animas County",28273
"G0800730","2000","Colorado","08","080","Lincoln County","073","0730","Lincoln County",31914
"G0800750","2000","Colorado","08","080","Logan County","075","0750","Logan County",32724
"G0800770","2000","Colorado","08","080","Mesa County","077","0770","Mesa County",35864
"G0800790","2000","Colorado","08","080","Mineral County","079","0790","Mineral County",34844
"G0800810","2000","Colorado","08","080","Moffat County","081","0810","Moffat County",41528
"G0800830","2000","Colorado","08","080","Montezuma County","083","0830","Montezuma County",32083
"G0800850","2000","Colorado","08","080","Montrose County","085","0850","Montrose County",35234
"G0800870","2000","Colorado","08","080","Morgan County","087","0870","Morgan County",34568
"G0800890","2000","Colorado","08","080","Otero County","089","0890","Otero County",29738
"G0800910","2000","Colorado","08","080","Ouray County","091","0910","Ouray County",42019
"G0800930","2000","Colorado","08","080","Park County","093","0930","Park County",51899
"G0800950","2000","Colorado","08","080","Phillips County","095","0950","Phillips County",32177
"G0800970","2000","Colorado","08","080","Pitkin County","097","0970","Pitkin County",59375
