GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA1990
"G0100010","1990","Alabama","01","010","Autauga County","001","0010","Autauga County",28337
"G0100030","1990","Alabama","01","010","Baldwin County","003","0030","Baldwin County",25712
"G0100050","1990","Alabama","01","010","Barbour County","005","0050","Barbour County",19389
"G0100070","1990","Alabama","01","010","Bibb County","007","0070","Bibb County",19775
"G0100090","1990","Alabama","01","010","Blount County","009","0090","Blount County",22382
"G0100110","1990","Alabama","01","010","Bullock County","011","0110","Bullock County",14745
"G0100130","1990","Alabama","01","010","Butler County","013","0130","Butler County",16054
"G0100150","1990","Alabama","01","010","Calhoun County","015","0150","Calhoun County",23802
"G0100170","1990","Alabama","01","010","Chambers County","017","0170","Chambers County",21256
"G0100190","1990","Alabama","01","010","Cherokee County","019","0190","Cherokee County",21368
"G0100210","1990","Alabama","01","010","Chilton County","021","0210","Chilton County",21627
"G0100230","1990","Alabama","01","010","Choctaw County","023","0230","Choctaw County",17115
"G0100250","1990","Alabama","01","010","Clarke County","025","0250","Clarke County",19067
"G0100270","1990","Alabama","01","010","Clay County","027","0270","Clay County",19252
"G0100290","1990","Alabama","01","010","Cleburne County","029","0290","Cleburne County",21158
"G0100310","1990","Alabama","01","010","Coffee County","031","0310","Coffee County",23905
"G0100330","1990","Alabama","01","010","Colbert County","033","0330","Colbert County",22378
"G0100350","1990","Alabama","01","010","Conecuh County","035","0350","Conecuh County",15992
"G0100370","1990","Alabama","01","010","Coosa County","037","0370","Coosa County",20279
"G0100390","1990","Alabama","01","010","Covington County","039","0390","Covington County",18394
"G0100410","1990","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",16460
"G0100430","1990","Alabama","01","010","Cullman County","043","0430","Cullman County",21672
"G0100450","1990","Alabama","01","010","Dale County","045","0450","Dale County",24091
"G0100470","1990","Alabama","01","010","Dallas County","047","0470","Dallas County",16493
"G0100490","1990","Alabama","01","010","DeKalb County","049","0490","DeKalb County",20135
"G0100510","1990","Alabama","01","010","Elmore County","051","0510","Elmore County",26341
"G0100530","1990","Alabama","01","010","Escambia County","053","0530","Escambia County",18472
"G0100550","1990","Alabama","01","010","Etowah County","055","0550","Etowah County",22314
"G0100570","1990","Alabama","01","010","Fayette County","057","0570","Fayette County",19844
"G0100590","1990","Alabama","01","010","Franklin County","059","0590","Franklin County",17907
"G0100610","1990","Alabama","01","010","Geneva County","061","0610","Geneva County",20027
"G0100630","1990","Alabama","01","010","Greene County","063","0630","Greene County",11990
"G0100650","1990","Alabama","01","010","Hale County","065","0650","Hale County",14508
"G0100670","1990","Alabama","01","010","Henry County","067","0670","Henry County",22130
"G0100690","1990","Alabama","01","010","Houston County","069","0690","Houston County",24813
"G0100710","1990","Alabama","01","010","Jackson County","071","0710","Jackson County",21910
"G0100730","1990","Alabama","01","010","Jefferson County","073","0730","Jefferson County",25858
"G0100750","1990","Alabama","01","010","Lamar County","075","0750","Lamar County",20618
"G0100770","1990","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",23690
"G0100790","1990","Alabama","01","010","Lawrence County","079","0790","Lawrence County",21519
"G0100810","1990","Alabama","01","010","Lee County","081","0810","Lee County",21227
"G0100830","1990","Alabama","01","010","Limestone County","083","0830","Limestone County",26875
"G0100850","1990","Alabama","01","010","Lowndes County","085","0850","Lowndes County",15584
